Provincias;Municipios;Secciones;Sexo;Nivel de formación alcanzado;Periodo;Total
09 Burgos;09003 Adrada de Haza;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;23
09 Burgos;09003 Adrada de Haza;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;23
09 Burgos;09003 Adrada de Haza;;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;20
09 Burgos;09003 Adrada de Haza;;Hombres;Educación superior;2023;16
09 Burgos;09003 Adrada de Haza;;Hombres;Educación superior;2022;14
09 Burgos;09003 Adrada de Haza;;Hombres;Educación superior;2021;15
09 Burgos;09003 Adrada de Haza;;Mujeres;Total;2023;95
09 Burgos;09003 Adrada de Haza;;Mujeres;Total;2022;95
09 Burgos;09003 Adrada de Haza;;Mujeres;Total;2021;93
09 Burgos;09003 Adrada de Haza;;Mujeres;Educación primaria e inferior;2023;26
09 Burgos;09003 Adrada de Haza;;Mujeres;Educación primaria e inferior;2022;28
09 Burgos;09003 Adrada de Haza;;Mujeres;Educación primaria e inferior;2021;32
09 Burgos;09003 Adrada de Haza;;Mujeres;Primera etapa de Educación Secundaria y similar;2023;18
09 Burgos;09003 Adrada de Haza;;Mujeres;Primera etapa de Educación Secundaria y similar;2022;19
09 Burgos;09003 Adrada de Haza;;Mujeres;Primera etapa de Educación Secundaria y similar;2021;17
09 Burgos;09003 Adrada de Haza;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;21
09 Burgos;09003 Adrada de Haza;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;19
09 Burgos;09003 Adrada de Haza;;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;15
09 Burgos;09003 Adrada de Haza;;Mujeres;Educación superior;2023;30
09 Burgos;09003 Adrada de Haza;;Mujeres;Educación superior;2022;29
09 Burgos;09003 Adrada de Haza;;Mujeres;Educación superior;2021;29
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Total;2023;185
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Total;2022;185
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Total;2021;184
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Educación primaria e inferior;2023;46
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Educación primaria e inferior;2022;47
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Educación primaria e inferior;2021;54
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Primera etapa de Educación Secundaria y similar;2023;49
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Primera etapa de Educación Secundaria y similar;2022;53
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Primera etapa de Educación Secundaria y similar;2021;51
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;44
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;42
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;35
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Educación superior;2023;46
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Educación superior;2022;43
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Total;Educación superior;2021;44
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Total;2023;90
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Total;2022;90
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Total;2021;91
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Educación primaria e inferior;2023;20
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Educación primaria e inferior;2022;19
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Educación primaria e inferior;2021;22
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2023;31
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2022;34
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Primera etapa de Educación Secundaria y similar;2021;34
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;23
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;23
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2021;20
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Educación superior;2023;16
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Educación superior;2022;14
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Hombres;Educación superior;2021;15
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Total;2023;95
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Total;2022;95
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Total;2021;93
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Educación primaria e inferior;2023;26
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Educación primaria e inferior;2022;28
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Educación primaria e inferior;2021;32
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2023;18
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2022;19
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Primera etapa de Educación Secundaria y similar;2021;17
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2023;21
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Segunda etapa de Educación Secundaria y Educación Postsecundaria no Superior;2022;19
