Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por persona;2020;14.409
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por persona;2019;14.058
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por persona;2018;13.556
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por persona;2017;13.094
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por persona;2016;12.885
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por persona;2015;12.936
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por hogar;2023;31.970
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por hogar;2022;29.821
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por hogar;2021;30.806
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por hogar;2020;29.138
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por hogar;2019;29.409
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por hogar;2018;28.499
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por hogar;2017;28.160
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por hogar;2016;26.420
24001 Acebedo;2400101 Acebedo distrito 01;2400101001 Acebedo sección 01001;Renta bruta media por hogar;2015;26.626
24002 Algadefe;;;Renta neta media por persona;2023;15.359
24002 Algadefe;;;Renta neta media por persona;2022;13.659
24002 Algadefe;;;Renta neta media por persona;2021;12.402
24002 Algadefe;;;Renta neta media por persona;2020;12.218
24002 Algadefe;;;Renta neta media por persona;2019;11.193
24002 Algadefe;;;Renta neta media por persona;2018;11.094
24002 Algadefe;;;Renta neta media por persona;2017;10.915
24002 Algadefe;;;Renta neta media por persona;2016;10.589
24002 Algadefe;;;Renta neta media por persona;2015;9.598
24002 Algadefe;;;Renta neta media por hogar;2023;39.382
24002 Algadefe;;;Renta neta media por hogar;2022;34.206
24002 Algadefe;;;Renta neta media por hogar;2021;31.794
24002 Algadefe;;;Renta neta media por hogar;2020;29.323
24002 Algadefe;;;Renta neta media por hogar;2019;27.981
24002 Algadefe;;;Renta neta media por hogar;2018;28.031
24002 Algadefe;;;Renta neta media por hogar;2017;28.358
24002 Algadefe;;;Renta neta media por hogar;2016;27.105
24002 Algadefe;;;Renta neta media por hogar;2015;25.287
24002 Algadefe;;;Media de la renta por unidad de consumo;2023;22.875
24002 Algadefe;;;Media de la renta por unidad de consumo;2022;20.121
