Municipios;Distritos;Secciones;Indicadores de renta media y mediana;Periodo;Total
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por hogar;2022;27.695
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por hogar;2021;26.439
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por hogar;2020;26.406
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por hogar;2019;25.015
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por hogar;2018;23.692
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por hogar;2017;22.487
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por hogar;2016;21.553
05002 Adrada, La;0500201 Adrada, La distrito 01;;Renta bruta media por hogar;2015;20.974
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por persona;2023;11.058
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por persona;2022;10.590
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por persona;2021;10.285
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por persona;2020;9.887
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por persona;2019;8.902
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por persona;2018;8.691
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por persona;2017;8.403
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por persona;2016;7.811
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por persona;2015;7.725
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por hogar;2023;24.631
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por hogar;2022;23.135
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por hogar;2021;22.576
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por hogar;2020;22.529
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por hogar;2019;20.895
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por hogar;2018;20.336
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por hogar;2017;19.471
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por hogar;2016;18.430
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Renta neta media por hogar;2015;18.363
05002 Adrada, La;0500201 Adrada, La distrito 01;0500201001 Adrada, La sección 01001;Media de la renta por unidad de consumo;2023;15.714
