CUSEC,dist_min_infantil_y_primaria_km,n_infantil_y_primaria_1km,n_infantil_y_primaria_5km,n_infantil_y_primaria_15km,n_infantil_y_primaria_30km,disp_ponderada_infantil_y_primaria,dist_min_adultos_e_idiomas_km,n_adultos_e_idiomas_1km,n_adultos_e_idiomas_5km,n_adultos_e_idiomas_15km,n_adultos_e_idiomas_30km,disp_ponderada_adultos_e_idiomas,dist_min_secundaria_y_bachillerato_km,n_secundaria_y_bachillerato_1km,n_secundaria_y_bachillerato_5km,n_secundaria_y_bachillerato_15km,n_secundaria_y_bachillerato_30km,disp_ponderada_secundaria_y_bachillerato,dist_min_educación_especial_km,n_educación_especial_1km,n_educación_especial_5km,n_educación_especial_15km,n_educación_especial_30km,disp_ponderada_educación_especial,dist_min_formación_profesional_km,n_formación_profesional_1km,n_formación_profesional_5km,n_formación_profesional_15km,n_formación_profesional_30km,disp_ponderada_formación_profesional
0505702001,2.605166481969447,0,2,7,33,5.300000000000001,5.77852707485942,0,0,1,4,0.6000000000000001,2.605166481969447,0,1,3,12,2.1,27.803898705471468,0,0,0,1,0.1,27.803898705471468,0,0,0,1,0.1
0505702002,0.0,2,2,7,21,4.9,7.1368424392892615,0,0,1,2,0.4,0.0,1,1,3,8,2.1,29.77084279518477,0,0,0,1,0.1,29.77084279518477,0,0,0,1,0.1
0505801001,13.175930133864862,0,0,2,16,2.0,25.77808272888699,0,0,0,1,0.1,24.27127117491635,0,0,0,2,0.2,37.64193318463388,0,0,0,0,0.0,27.67297074376519,0,0,0,1,0.1
0505901001,0.0,1,1,4,29,4.4,25.023765012704853,0,0,0,3,0.30000000000000004,24.9712063796821,0,0,0,6,0.6000000000000001,26.730648725513202,0,0,0,1,0.1,20.5041002523579,0,0,0,2,0.2
0506001001,4.414145848852871,0,1,5,21,3.4,16.966124507439574,0,0,0,3,0.30000000000000004,7.0447846264277585,0,0,1,5,0.7,46.08396430851468,0,0,0,0,0.0,35.717426163215364,0,0,0,0,0.0
0506101001,2.7358600745664035,0,2,20,30,7.6,5.005024920253317,0,0,2,2,0.6,5.311951610373433,0,0,5,6,1.6,6.422533029382624,0,0,1,1,0.3,0.0,1,1,2,2,1.3
0506201001,4.609606008811413,0,1,3,19,2.8,22.02558818118722,0,0,0,3,0.30000000000000004,5.115327661353095,0,0,1,4,0.6000000000000001,34.053000929415035,0,0,0,0,0.0,30.4041000307171,0,0,0,0,0.0
0506301001,6.642416822021494,0,0,2,15,1.9,25.07192081550946,0,0,0,1,0.1,9.221394627245614,0,0,1,3,0.5,50.52422692635924,0,0,0,0,0.0,38.73832599670216,0,0,0,0,0.0
0506401001,6.479822969950389,0,0,4,18,2.6,20.14975342260328,0,0,0,3,0.30000000000000004,6.479822969950389,0,0,1,4,0.6000000000000001,35.65757057971798,0,0,0,0,0.0,32.95940398270162,0,0,0,0,0.0
0506501001,0.0,1,1,3,19,3.2,18.69078740938324,0,0,0,1,0.1,7.3986325498038905,0,0,1,4,0.6000000000000001,34.36146295625559,0,0,0,0,0.0,29.99405976319172,0,0,0,1,0.1
0506601001,5.046555295818353,0,0,9,19,3.6999999999999997,9.122684490939355,0,0,1,1,0.3,10.844631044515438,0,0,1,2,0.4,48.48277556331515,0,0,0,0,0.0,10.844631044515438,0,0,1,1,0.3
0506701001,4.063450018090806,0,1,3,29,3.8,22.455543012317015,0,0,0,3,0.30000000000000004,22.29813382225488,0,0,0,6,0.6000000000000001,24.240642157859376,0,0,0,1,0.1,18.31858013671194,0,0,0,2,0.2
0506901001,8.234824008113863,0,0,4,16,2.4000000000000004,15.418061427414024,0,0,0,3,0.30000000000000004,9.89041623848178,0,0,2,3,0.7,38.57752558141032,0,0,0,0,0.0,36.34046288179694,0,0,0,0,0.0
0507001001,7.904491490406795,0,0,5,21,3.1,7.904491490406795,0,0,2,5,0.9,7.904491490406795,0,0,2,8,1.2000000000000002,50.13111238915949,0,0,0,0,0.0,25.09504315211542,0,0,0,2,0.2
0507201001,2.8311124175158056,0,2,4,17,3.0999999999999996,6.032346233437627,0,0,2,3,0.7,2.8311124175158056,0,1,2,6,1.2999999999999998,41.54002709467152,0,0,0,0,0.0,22.607124278501935,0,0,0,1,0.1
0507301001,6.729703467750474,0,0,7,21,3.5,10.728572445202857,0,0,1,1,0.3,10.692330493854369,0,0,2,4,0.8,47.488092499014,0,0,0,0,0.0,39.99308310967284,0,0,0,0,0.0
0507401001,0.0,1,1,3,18,3.1,19.930525338851563,0,0,0,3,0.30000000000000004,0.0,1,1,1,4,1.3,39.114640552865254,0,0,0,0,0.0,35.519252102748794,0,0,0,0,0.0
0507501001,4.8622499397445,0,2,8,22,4.4,7.308685793296365,0,0,1,2,0.4,4.8622499397445,0,1,2,4,1.0999999999999999,45.196129060205834,0,0,0,0,0.0,36.54267323016803,0,0,0,0,0.0
0507601001,0.0,1,1,19,33,7.8,5.722335153322704,0,0,2,2,0.6,5.763779316736095,0,0,5,6,1.6,6.454457564955966,0,0,1,1,0.3,2.7358600745664035,0,1,2,2,0.8999999999999999
0507701001,7.520849397943486,0,0,4,18,2.6,17.751806029613284,0,0,0,3,0.30000000000000004,7.520849397943486,0,0,1,4,0.6000000000000001,40.974767133064304,0,0,0,0,0.0,34.79918398994912,0,0,0,0,0.0
0507801001,9.517267454433723,0,0,4,23,3.1,16.84259518511415,0,0,0,3,0.30000000000000004,11.738052508199845,0,0,1,4,0.6000000000000001,46.635000922369116,0,0,0,0,0.0,29.045617066732856,0,0,0,1,0.1
0507901001,6.502653360083669,0,0,5,26,3.6,18.792347246991998,0,0,0,2,0.2,18.675276202074233,0,0,0,6,0.6000000000000001,20.554650608368554,0,0,0,1,0.1,14.551752119010079,0,0,1,2,0.4
0508001001,13.116496939855784,0,0,1,12,1.4000000000000001,20.929859026833835,0,0,0,1,0.1,19.62228029878595,0,0,0,3,0.30000000000000004,39.67260701843753,0,0,0,0,0.0,33.33689106037866,0,0,0,0,0.0
0508101001,15.05898439671466,0,0,0,14,1.4000000000000001,25.516291709915425,0,0,0,1,0.1,18.928897686997573,0,0,0,2,0.2,42.370399746378354,0,0,0,0,0.0,27.38841347506321,0,0,0,1,0.1
0508201001,3.4967782620108747,0,1,10,27,5.0,18.984028273915005,0,0,0,2,0.2,17.67375677830567,0,0,0,4,0.4,44.04832019926306,0,0,0,0,0.0,19.700441917343785,0,0,0,1,0.1
0508301001,4.357918000154086,0,1,20,35,7.8,9.927780215933677,0,0,2,2,0.6,9.813166171844712,0,0,5,6,1.6,10.297274002903103,0,0,1,1,0.3,6.671709956333816,0,0,2,2,0.6
0508401001,8.413373147249777,0,0,7,23,3.7,9.769252737177743,0,0,2,2,0.6,9.769252737177743,0,0,2,5,0.9,58.88927769707199,0,0,0,0,0.0,14.763289250524789,0,0,1,1,0.3
0508501001,9.835931461936784,0,0,3,14,2.0,10.944167633679246,0,0,1,2,0.4,10.944167633679246,0,0,1,4,0.6000000000000001,73.91489157063957,0,0,0,0,0.0,18.55518506458842,0,0,0,1,0.1
0508601001,4.906210164653093,0,1,5,18,3.0999999999999996,5.664154940038717,0,0,1,1,0.3,8.913099270876366,0,0,2,4,0.8,45.413488064672514,0,0,0,0,0.0,40.160384894394426,0,0,0,0,0.0
0508701001,8.156302458855574,0,0,6,31,4.3,19.62965616649571,0,0,0,4,0.4,18.852363456459756,0,0,0,9,0.9,20.93870774302314,0,0,0,1,0.1,20.534549655684494,0,0,0,2,0.2
0508801001,7.120311971026811,0,0,3,31,3.7,23.449140490536433,0,0,0,3,0.30000000000000004,18.127849968519573,0,0,0,8,0.8,27.636974055431377,0,0,0,1,0.1,22.128110597559623,0,0,0,2,0.2
0508901001,5.088917037961814,0,0,8,14,3.0,5.1448772492886725,0,0,1,1,0.3,5.088917037961814,0,0,2,2,0.6,61.310579956245434,0,0,0,0,0.0,5.088917037961814,0,0,1,1,0.3
0509001001,7.659623793697635,0,0,5,17,2.7,11.176529527564078,0,0,2,3,0.7,7.659623793697635,0,0,2,6,1.0,36.17290405098236,0,0,0,0,0.0,26.814908967824906,0,0,0,1,0.1
0509201001,10.546850601236223,0,0,4,30,3.8,22.35058195970173,0,0,0,4,0.4,19.294920297039006,0,0,0,9,0.9,23.788300235337623,0,0,0,1,0.1,23.655043040204575,0,0,0,2,0.2
0509301001,8.277658974768594,0,0,11,35,5.7,13.684536346884295,0,0,1,3,0.5,14.551622723924515,0,0,4,12,2.0,13.493918641171646,0,0,1,1,0.3,13.493918641171646,0,0,1,2,0.4
0509401001,8.636865568616326,0,0,3,13,1.9,15.609356909523305,0,0,0,1,0.1,15.282422111587223,0,0,0,3,0.30000000000000004,35.42618713591999,0,0,0,0,0.0,29.969909750523495,0,0,0,1,0.1
