CUSEC,dist_min_BUS_km,disp_ponderada_BUS,dist_min_RAIL_km,disp_ponderada_RAIL,n_lineas_bus,n_lineas_rail,n_lineas_total
2410501001,0.0,33.7,3.7986154762555966,3.5,3,0,3
2410601001,41.168110917627104,0.0,32.70146523874886,0.0,0,0,0
2410701001,5.290638273437195,6.4,14.35175311392942,0.6000000000000001,0,0,0
2410801001,5.015123977640066,3.9,10.959835047417455,0.9,0,0,0
2410901001,24.725992266704516,0.30000000000000004,29.72375611381871,0.1,0,0,0
2411001001,19.154597970918037,0.9,23.81927518839599,0.30000000000000004,0,0,0
2411201001,23.82410348729401,0.1,32.011309534023596,0.0,0,0,0
2411301001,6.77139184877527,5.5,23.249102308160612,0.4,0,0,0
2411401001,27.508781945632677,0.2,0.0,2.4,0,3,3
2411401002,29.960182252822342,0.1,6.221064724791525,2.1,0,0,0
2411401003,23.740333218049418,9.200000000000001,0.0,3.8,0,3,3
2411501001,1.1565514952180371,4.6,1.2037159777098878,1.5,0,0,0
2411501002,1.2505610631227007,4.6,1.1941534019467053,1.5,0,0,0
2411501003,2.013807755991193,4.3999999999999995,1.6337678608236919,1.7,0,0,0
2411501004,1.7224605320313657,4.6,1.4317603121950564,1.5,0,0,0
2411501005,1.4035449944251426,4.6,1.1696112534072078,1.5,0,0,0
2411501006,0.0,5.4,4.0851890462069536,1.5,2,0,2
2411501007,1.5111754103776602,4.6,1.4717142724508774,1.7,0,0,0
2411501008,1.0188970134130468,4.6,1.372248790657084,1.5,0,0,0
2411501009,1.307003047960175,4.6,1.5688027404132379,1.7,0,0,0
2411501010,2.0214467608255986,4.6,2.415042852180919,1.7,0,0,0
2411501011,1.3703851742791207,4.6,0.6749825015281512,1.9000000000000001,0,0,0
2411501012,1.6158085754094036,4.6,1.4417076469241015,1.7,0,0,0
2411502001,0.7916189633320877,5.3,1.4051868614118472,1.7,0,0,0
2411502002,0.8977388098774789,5.000000000000001,0.6199099012443042,2.1,0,0,0
2411502003,0.5869235273198845,5.3,0.39724878470555275,2.1,0,0,0
2411502004,0.37888505208719797,5.3,0.5838332313622533,2.1,0,0,0
2411502005,0.0,5.3,0.9472633491827922,2.1,4,0,4
2411502006,0.7090570038355098,5.3,0.4958109731359857,2.1,0,0,0
2411502007,0.31544569846378756,5.3,0.7188990456256085,2.1,0,0,0
2411502008,0.9472633491827922,5.3,0.0,2.1,0,18,18
2411502009,0.558021855063637,5.3,0.9520354684949521,2.1,0,0,0
2411502010,0.379200786005624,5.3,0.9281487030433389,2.1,0,0,0
2411502011,0.6058805328792813,5.3,1.50000443966539,1.7,0,0,0
2411502012,0.8299811739882077,5.3,0.2617949393501243,2.1,0,0,0
2411502013,0.8519304155076876,5.3,0.27090556086352896,2.1,0,0,0
2411502014,0.6992157399150319,5.3,0.8669924363966077,2.1,0,0,0
2411502015,0.5595703464369473,5.3,1.0419541752693122,1.7,0,0,0
2411502016,0.7281504703391389,5.7,1.523776374360441,1.7,0,0,0
2411502017,0.6104877795360617,5.3,1.548707982933401,1.7,0,0,0
2411503001,1.5287964920197434,4.6,1.2831039882841757,1.7,0,0,0
2411503002,0.692634325528651,5.3,0.6777444985974419,2.1,0,0,0
2411503003,1.4077626812391266,4.6,1.5367407150785404,1.7,0,0,0
2411503004,1.586780925637608,4.6,2.497663520055877,1.7,0,0,0
2411503005,1.8790506570931194,4.6,2.1098362892744142,1.7,0,0,0
2411503006,1.1286103371500344,4.8999999999999995,1.3697880126745645,1.7,0,0,0
2411503007,5.016209159867801,3.6,5.2509307997924335,1.0999999999999999,0,0,0
2411504001,3.441889874679942,4.1,2.535759934460267,1.5,0,0,0
2411504002,5.543662300604159,3.5,4.787322330867512,1.5,0,0,0
2411505001,0.0,5.3,2.2910813975621607,1.7,2,0,2
2411505002,1.12779081217336,5.2,4.406405252375445,1.7,0,0,0
2411505003,1.9540062895584231,5.2,3.7350051744152815,1.7,0,0,0
2411505004,1.486345574387711,4.8999999999999995,2.337110218835337,1.9,0,0,0
2411505005,3.4565530328230705,5.2,5.712173291681618,1.4,0,0,0
2411505006,0.8274089165459939,5.000000000000001,2.384263748640942,1.7,0,0,0
2411505007,0.0,5.799999999999999,4.868845671130437,1.7,3,0,3
2411506001,11.573119974125914,2.3,10.742878964881456,0.8,0,0,0
2411601001,40.82334631719865,0.0,37.36837208088032,0.0,0,0,0
2411701001,14.66186780439233,2.7,31.906396897242264,0.0,0,0,0
2411801001,14.820762307319683,0.7,0.0,2.6,0,2,2
2411901001,9.597409929949826,3.2,7.685341861932027,1.0999999999999999,0,0,0
2412001001,15.561687826739313,0.4,8.0375884910537,1.2000000000000002,0,0,0
2412101001,44.49937970137743,0.0,13.952333369092644,0.8,0,0,0
2412201001,20.196424035745217,1.0,12.701433579850026,0.7,0,0,0
2412301001,13.291891382438063,2.3000000000000003,13.156647445108586,1.2000000000000002,0,0,0
2412401001,10.29931672089338,2.9,25.357434146731713,0.2,0,0,0
2412501001,16.469643166149528,1.4000000000000001,15.45703124173378,0.4,0,0,0
2412701001,0.0,5.800000000000001,16.145262865133045,0.5,2,0,2
2412901001,33.467649516298,0.0,8.854413518789954,1.2,0,0,0
2413001001,24.193254873901868,0.2,16.88314810831613,0.8,0,0,0
