CUSEC_origen;centro_id;CUSEC_servicio;distancia
0501901002;141;0501904005;6985,786
0501901002;1527;0501904005;6985,786
0501901002;1358;0501904006;6673,369
0501901002;363;0501904009;6501,744
0501901002;263;0501904011;8162,918
0501901002;1256;0501905004;7797,767
0501901002;722;0501906001;6334,124
0501901002;1108;0501906002;7201,117
0501901002;1274;0501906005;6244,461
0501901002;637;0501906008;6240,178
0501901002;1359;0501906008;6240,178
0501901002;621;0507601001;8235,568
0501901002;626;0512801001;9946,414
0501901002;620;0522001001;14960,752
0501901002;702;0501906006;6446,727
0501901002;309;0505901001;20127,512
0501901002;1411;0506501001;26198,616
0501901002;302;0513501001;25284,010
0501901002;1415;0513801001;16846,543
0501901002;320;0515801001;25712,762
0501901002;1414;0516101001;28204,541
0501901002;1140;0520401001;26150,272
0501901002;1009;0523801001;21967,406
0501901002;156;4022501001;28901,273
0501902001;718;0501902002;558,912
0501902001;1517;0501904002;492,711
0501902001;141;0501904005;705,201
0501902001;1527;0501904005;705,201
0501902001;1358;0501904006;453,605
0501902001;363;0501904009;861,013
0501902001;722;0501906001;242,932
0501902001;1274;0501906005;591,203
0501902001;702;0501906006;737,152
0501902001;119;0501903002;4544,449
0501902001;263;0501904011;1798,236
0501902001;1256;0501905004;1486,586
0501902001;1108;0501906002;1018,724
0501902001;637;0501906008;1206,445
0501902001;1359;0501906008;1206,445
0501902001;438;0501901002;6381,455
0501902001;312;0504901001;9558,504
0501902001;621;0507601001;6214,946
0501902001;626;0512801001;12254,517
0501902001;120;0502201002;29352,570
0501902001;1524;0502201002;29352,570
0501902001;309;0505901001;25325,896
0501902001;136;0510201002;26375,468
0501902001;302;0513501001;28354,595
0501902001;1415;0513801001;18849,135
0501902001;320;0515801001;21869,756
0501902001;1414;0516101001;22299,806
0501902001;674;0516301002;28185,825
0501902001;1269;0516301002;28185,825
0501902001;127;0516802001;27705,966
0501902001;1140;0520401001;27990,208
0501902001;620;0522001001;21321,380
0501902001;1009;0523801001;22537,318
0501902001;156;4022501001;25943,088
0501902002;718;0501902002;0,000
0501902002;1517;0501904002;952,493
0501902002;141;0501904005;691,343
0501902002;1527;0501904005;691,343
0501902002;1358;0501904006;681,884
0501902002;1256;0501905004;949,947
0501902002;722;0501906001;526,955
0501902002;1108;0501906002;467,868
0501902002;1274;0501906005;688,626
0501902002;702;0501906006;625,777
0501902002;119;0501903002;4652,885
0501902002;363;0501904009;1228,689
0501902002;263;0501904011;1427,337
0501902002;637;0501906008;1139,665
0501902002;1359;0501906008;1139,665
0501902002;438;0501901002;6859,436
0501902002;312;0504901001;9840,862
0501902002;621;0507601001;6594,080
0501902002;626;0512801001;12301,486
0501902002;120;0502201002;29098,114
0501902002;1524;0502201002;29098,114
0501902002;309;0505901001;25884,626
0501902002;136;0510201002;25869,919
0501902002;302;0513501001;28870,209
0501902002;1415;0513801001;19336,596
0501902002;320;0515801001;21895,247
0501902002;1414;0516101001;21745,515
0501902002;674;0516301002;28065,602
0501902002;1269;0516301002;28065,602
0501902002;127;0516802001;27147,126
0501902002;1140;0520401001;27904,721
0501902002;620;0522001001;21773,929
0501902002;1009;0523801001;22941,170
0501902002;1001;4014601001;29556,989
0501902002;156;4022501001;25492,884
0501903001;1517;0501904002;805,513
0501903001;1358;0501904006;961,882
0501903001;722;0501906001;474,434
0501903001;1274;0501906005;534,138
0501903001;702;0501906006;784,235
0501903001;718;0501902002;1001,353
0501903001;119;0501903002;4085,596
0501903001;141;0501904005;1245,216
0501903001;1527;0501904005;1245,216
0501903001;363;0501904009;1185,801
0501903001;263;0501904011;2342,144
0501903001;1256;0501905004;1949,619
0501903001;1108;0501906002;1394,132
0501903001;637;0501906008;1041,823
0501903001;1359;0501906008;1041,823
0501903001;438;0501901002;5862,210
0501903001;312;0504901001;9018,237
0501903001;621;0507601001;6333,188
0501903001;626;0512801001;11812,361
0501903001;120;0502201002;29891,134
0501903001;1524;0502201002;29891,134
0501903001;309;0505901001;24971,206
0501903001;136;0510201002;26871,256
0501903001;302;0513501001;28205,519
0501903001;1415;0513801001;18766,360
0501903001;320;0515801001;22287,026
0501903001;1414;0516101001;22701,459
0501903001;674;0516301002;28679,951
0501903001;1269;0516301002;28679,951
0501903001;127;0516802001;28049,806
0501903001;1140;0520401001;27629,480
0501903001;620;0522001001;20789,560
0501903001;1009;0523801001;22592,154
0501903001;156;4022501001;25979,729
0501903002;119;0501903002;0,000
0501903002;438;0501901002;4889,161
0501903002;718;0501902002;4652,885
0501903002;1517;0501904002;4890,902
0501903002;1358;0501904006;4997,866
0501903002;722;0501906001;4331,325
0501903002;1108;0501906002;4677,679
0501903002;1274;0501906005;4012,763
0501903002;637;0501906008;3526,330
0501903002;1359;0501906008;3526,330
0501903002;702;0501906006;4027,298
0501903002;141;0501904005;5222,474
0501903002;1527;0501904005;5222,474
0501903002;363;0501904009;5265,205
0501903002;263;0501904011;6020,044
0501903002;1256;0501905004;5255,718
0501903002;312;0504901001;5567,606
0501903002;621;0507601001;9830,288
