CUSEC,dist_min_inclusión_social_km,n_inclusión_social_1km,n_inclusión_social_5km,n_inclusión_social_15km,n_inclusión_social_30km,disp_ponderada_inclusión_social,dist_min_población_general_km,n_población_general_1km,n_población_general_5km,n_población_general_15km,n_población_general_30km,disp_ponderada_población_general,dist_min_toxicomanías_y_adicciones_km,n_toxicomanías_y_adicciones_1km,n_toxicomanías_y_adicciones_5km,n_toxicomanías_y_adicciones_15km,n_toxicomanías_y_adicciones_30km,disp_ponderada_toxicomanías_y_adicciones,dist_min_personas_con_discapacidad_km,n_personas_con_discapacidad_1km,n_personas_con_discapacidad_5km,n_personas_con_discapacidad_15km,n_personas_con_discapacidad_30km,disp_ponderada_personas_con_discapacidad,dist_min_familia_km,n_familia_1km,n_familia_5km,n_familia_15km,n_familia_30km,disp_ponderada_familia,dist_min_mujer_km,n_mujer_1km,n_mujer_5km,n_mujer_15km,n_mujer_30km,disp_ponderada_mujer,dist_min_infancia_y_juventud_km,n_infancia_y_juventud_1km,n_infancia_y_juventud_5km,n_infancia_y_juventud_15km,n_infancia_y_juventud_30km,disp_ponderada_infancia_y_juventud,dist_min_voluntariado_km,n_voluntariado_1km,n_voluntariado_5km,n_voluntariado_15km,n_voluntariado_30km,disp_ponderada_voluntariado,dist_min_personas_mayores_km,n_personas_mayores_1km,n_personas_mayores_5km,n_personas_mayores_15km,n_personas_mayores_30km,disp_ponderada_personas_mayores
3411201001,6.698850626033178,0,0,2,3,0.7,41.61662050867857,0,0,0,0,0.0,41.61662050867857,0,0,0,0,0.0,41.97778375286305,0,0,0,0,0.0,41.61662050867857,0,0,0,0,0.0,17.285152305661217,0,0,0,1,0.1,41.61662050867857,0,0,0,0,0.0,41.61662050867857,0,0,0,0,0.0,15.117955097807409,0,0,0,6,0.6000000000000001
3411301001,14.91699748427848,0,0,1,4,0.6000000000000001,65.07975524372223,0,0,0,0,0.0,33.85311042620297,0,0,0,0,0.0,62.630169866953814,0,0,0,0,0.0,65.02731889085106,0,0,0,0,0.0,24.98371355246382,0,0,0,1,0.1,64.86643257753452,0,0,0,0,0.0,65.07975524372223,0,0,0,0,0.0,33.85311042620297,0,0,0,0,0.0
3411401001,14.285993049690717,0,0,2,4,0.8,75.14665177895482,0,0,0,0,0.0,24.067729589110584,0,0,0,2,0.2,69.07390491111704,0,0,0,0,0.0,72.15511124825744,0,0,0,0,0.0,32.775597436765324,0,0,0,0,0.0,70.87294124606922,0,0,0,0,0.0,75.14665177895482,0,0,0,0,0.0,28.25715652368497,0,0,0,5,0.5
3411601001,8.298204399385243,0,0,1,3,0.5,42.03929861650371,0,0,0,0,0.0,42.03929861650371,0,0,0,0,0.0,43.07957111804658,0,0,0,0,0.0,42.03929861650371,0,0,0,0,0.0,39.78248483502405,0,0,0,0,0.0,42.03929861650371,0,0,0,0,0.0,42.03929861650371,0,0,0,0,0.0,26.977449535565867,0,0,0,1,0.1
3412001001,0.9982719601998936,6,14,16,16,11.4,0.2757662815218848,9,12,12,12,10.8,0.9982719601998936,2,6,6,6,4.4,0.9982719601998936,2,3,3,3,2.6,0.2757662815218848,2,3,3,3,2.6,0.9982719601998936,2,5,5,5,3.8,0.2757662815218848,2,5,6,6,4.1,1.7499997713670254,0,1,1,1,0.6,0.2757662815218848,6,10,10,15,8.9
3412001003,1.3253518201762262,0,14,16,16,9.0,0.5485482964686752,5,12,12,12,9.2,1.3253518201762262,0,6,6,6,3.5999999999999996,1.3253518201762262,0,3,3,3,1.7999999999999998,0.5485482964686752,1,3,3,3,2.2,1.3253518201762262,0,5,5,5,3.0,0.5485482964686752,1,5,6,6,3.6999999999999997,2.0228108688615696,0,1,1,1,0.6,0.5485482964686752,1,10,10,15,6.8999999999999995
3412001004,1.297084601902443,0,14,16,16,9.0,0.4569232479102817,5,12,12,12,9.2,1.297084601902443,0,6,6,6,3.5999999999999996,1.297084601902443,0,3,3,3,1.7999999999999998,0.4569232479102817,1,3,3,3,2.2,1.297084601902443,0,5,5,5,3.0,0.4569232479102817,1,5,6,6,3.6999999999999997,1.9054516024812622,0,1,1,1,0.6,0.4569232479102817,1,10,10,15,6.8999999999999995
3412001005,1.2735613318272434,0,14,16,16,9.0,0.395704901407725,5,12,12,12,9.2,1.2735613318272434,0,6,6,6,3.5999999999999996,1.2735613318272434,0,3,3,3,1.7999999999999998,0.395704901407725,1,3,3,3,2.2,1.2735613318272434,0,5,5,5,3.0,0.395704901407725,1,5,6,6,3.6999999999999997,1.8039045114883443,0,1,1,1,0.6,0.395704901407725,1,10,10,15,6.8999999999999995
3412002001,1.022425687880057,0,14,16,16,9.0,0.5213552423811589,5,12,12,12,9.2,1.022425687880057,0,6,6,6,3.5999999999999996,1.022425687880057,0,3,3,3,1.7999999999999998,0.5213552423811589,1,3,3,3,2.2,1.022425687880057,0,5,5,5,3.0,0.5213552423811589,1,5,6,6,3.6999999999999997,1.9465645902140025,0,1,1,1,0.6,0.5213552423811589,1,10,10,15,6.8999999999999995
3412002002,1.3332257913922376,0,14,16,16,9.0,0.6421918088158115,5,12,12,12,9.2,1.3332257913922376,0,6,6,6,3.5999999999999996,1.3332257913922376,0,3,3,3,1.7999999999999998,0.6421918088158115,1,3,3,3,2.2,1.3332257913922376,0,5,5,5,3.0,0.6421918088158115,1,5,6,6,3.6999999999999997,2.125208965396629,0,1,1,1,0.6,0.6421918088158115,1,10,10,15,6.8999999999999995
