CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;pct_reformado_2000;Seccion_id
3421001001;130;248,077;1899;0,03;0,59;5,98;1531
3421101001;165;302,23;1956;0,01;0,52;31,82;1532
3421301001;85;226,824;1919;0,04;0,53;11,29;1533
3421401001;193;216,668;1986;0,02;0,67;17,53;1534
3421501001;142;286,746;1972;0,02;0,51;49,6;1535
3421601001;86;311,593;1960;0,01;0,57;38,1;1536
3421701001;946;181,95;1998;0,01;0,58;11,21;1537
3421801001;424;299,042;1981;0,01;0,58;23,64;1538
3422001001;116;314,181;1985;0,02;0,59;20,45;1539
3422101001;179;260,503;1946;0,02;0,53;13,91;1540
3422201001;93;287,903;2000;0,02;0,57;65,33;1541
3422301001;167;289,683;1920;0,03;0,6;39,04;1542
3422401001;41;326,22;1954;0,01;0,63;66,67;1543
3422501001;669;184,901;1977;0,02;0,56;6,05;1544
3422501002;1047;134,963;1989;0,01;0,59;0,71;1545
3422501003;822;137,276;1995;0,01;0,41;0,45;1546
3422501004;589;134,664;1991;0,01;0,5;0,23;1547
3422701001;35;298,943;1951;0,02;0,47;48,48;1548
3422801001;120;272,442;1991;0,02;0,62;21,65;1549
3422901001;55;335,945;1942;0,02;0,56;25,49;1550
3423001001;22;392,955;1962;0,02;0,53;19,05;1551
3423101001;258;256,326;1904;0,03;0,51;51,61;1552
3423201001;642;260,78;1986;0,02;0,66;8,1;1553
3423301001;182;273,22;1967;0,01;0,48;33,14;1554
3423401001;100;278,92;1987;0,02;0,51;20,88;1555
3423601001;190;283,353;1904;0,03;0,57;25;1556
3423701001;367;313,022;1981;0,02;0,56;15,88;1557
3423801001;311;202,521;1957;0,02;0,65;8,99;1558
3424001001;52;400,519;1974;0,02;0,51;45,83;1559
3424101001;25;315,6;1969;0,01;0,64;12,5;1560
3424201001;58;259,121;1969;0,01;0,66;17,39;1561
3424301001;311;229,18;1950;0,03;0,66;11,27;1562
3424501001;217;233,756;1988;0,02;0,58;48,08;1563
3424601001;83;303,024;1969;0,01;0,55;18,52;1564
3490101001;987;205,047;1966;0,01;0,75;21,88;1565
3490201001;170;364,412;1942;0,02;0,55;30,2;1566
3490301001;269;265,346;1893;0,03;0,54;32,66;1567
3490401001;433;332,594;1942;0,02;0,54;43,54;1568
3700101001;225;204,796;1961;0,02;0,48;30,93;1569
3700201001;217;169,401;1983;0,02;0,48;8,43;1570
3700301001;185;204,768;1958;0,02;0,54;26,99;1571
3700401001;20;166,1;1991;0,02;0,83;29,41;1572
3700501001;190;188,368;1958;0,02;0,63;25,57;1573
3700601001;135;136,963;1975;0,02;0,68;21,9;1574
3700701001;507;215,996;1950;0,03;0,58;11,4;1575
3700801001;1064;161,589;1990;0,02;0,65;3,09;1576
3700801002;1023;140,019;1983;0,02;0,63;3,97;1577
3700801003;1140;132,56;1992;0,01;0,57;2,87;1578
3700901001;187;203,305;1972;0,01;0,51;6,25;1579
3701001001;977;194,277;1976;0,02;0,65;12,47;1580
3701101001;215;184,633;1968;0,02;0,52;16,22;1581
3701201001;78;232,346;1955;0,03;0,76;21,05;1582
3701301001;120;158,533;1971;0,02;0,48;22,58;1583
3701401001;1037;190,453;1975;0,02;0,53;18,96;1584
3701501001;319;229,875;1958;0,02;0,61;18,52;1585
3701601001;468;167,237;1987;0,01;0,6;0,68;1586
3701701001;170;203,365;1974;0,02;0,56;4,07;1587
3701801001;136;174,647;1977;0,01;0,52;17,7;1588
3701901001;120;260,233;1963;0,02;0,52;33,02;1589
3702001001;376;224,801;1974;0,02;0,51;13,45;1590
3702101001;83;234,289;1962;0,02;0,73;17,11;1591
3702201001;226;190,19;1960;0,02;0,66;18,13;1592
3702301001;1246;211,712;2003;0,01;0,52;4,92;1593
3702401001;121;217,165;1965;0,02;0,58;13,48;1594
3702501001;148;164,378;1956;0,01;0,62;38,41;1595
3702601001;223;192,901;1963;0,01;0,64;27,18;1596
3702701001;199;187,533;1977;0,02;0,58;12,75;1597
3702801001;160;203,156;1971;0,02;0,57;22,22;1598
3702901001;137;186,759;1952;0,02;0,82;36,11;1599
3703001001;50;265,44;1962;0,02;0,52;47,62;1600
