Municipios;Distritos;Secciones;Sexo;Distribución de la renta por unidad de consumo;Periodo;Total
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2021;9,7
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2020;11,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2019;13,8
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2018;17,5
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2017;22,1
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2016;28,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Hombres;Población con ingresos por unidad de consumo por debajo de 10.000 Euros;2015;29,2
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2023;1,7
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2022;1,6
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2021;1,3
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2020;1,4
40001 Abades;4000101 Abades distrito 01;4000101001 Abades sección 01001;Mujeres;Población con ingresos por unidad de consumo por debajo de 5.000 Euros;2019;2,8
