CP,lat,lon,CUSEC
09410,41.7282,-3.428925,0911201001
09430,41.8391,-3.3475,0917401001
09440,41.8222,-3.836,0936901001
09441,41.7772,-3.8252,0936901001
09442,41.8189,-3.8432,0938001001
09443,41.71856666666667,-3.7910333333333335,0915201001
09450,41.738575,-3.591675,0916401001
09451,41.838499999999996,-3.42148,0902001001
09453,41.81733333333333,-3.5573333333333337,0940301001
09454,41.7609,-3.4025499999999997,0917401001
09460,41.5756,-3.6974,0921801001
09461,41.5284,-3.7542,0914001001
09462,41.56882,-3.7877400000000003,0922801001
09463,41.6213,-3.8306,0915501001
09471,41.612775,-3.602875,0942101001
09490,41.6953,-3.473275,0933701001
09491,41.63745,-3.548175,0942101001
09493,41.596450000000004,-3.74115,0906501001
09500,42.9294,-3.488,0920901002
09510,43.01381111111111,-3.2719444444444448,0990801001
09511,42.95375,-3.133672222222222,0990801001
09512,42.96337777777778,-3.347688888888889,0920901003
09513,42.86175,-3.56135,0990201001
09514,42.996308,-3.44216,0920901003
09515,42.873304545454545,-3.4476727272727272,0920901003
09530,42.7345,-3.415,0923801001
09540,42.79805,-3.4051,0939401001
09549,42.85723636363636,-3.3393727272727274,0921301001
09550,42.9374,-3.573,0990301001
09551,42.812375,-3.6713750000000003,0901401001
09553,42.97412,-3.53566,0990301003
09554,42.9034,-3.5606500000000003,0990301003
09555,42.9769,-3.5703400000000003,0990301003
09556,42.95381666666666,-3.5972666666666666,0990301003
09557,42.97374615384615,-3.6600769230769234,0921501001
09558,42.899499999999996,-3.6834307692307693,0940901001
09559,42.799057142857144,-3.567052380952381,0921701001
09560,43.0775,-3.5536,0912401001
09566,43.063457142857146,-3.5656571428571424,0912401001
09567,43.06635,-3.58055,0912401001
09568,43.03685294117647,-3.6307529411764707,0921501001
09569,43.06506875,-3.49075625,0921401001
09570,42.9897,-3.9508,0902501001
09571,42.964822222222224,-3.9080444444444447,0941301001
09572,42.93754137931034,-3.7870344827586204,0901101001
09573,43.02496666666667,-3.797633333333333,0921601001
09574,43.0068875,-3.7425625,0921601001
09580,43.1002,-3.2825,0941001001
09585,43.11078666666666,-3.2344133333333334,0941003001
09586,43.1546,-3.2707,0941003001
09587,43.11136666666667,-3.341241666666667,0941002001
09588,43.08824,-3.185513333333333,0941003001
09589,43.07776666666667,-3.3092238095238096,0941002001
09591,42.47967,-3.6198099999999998,0990601001
09592,42.586557142857146,-3.5155571428571433,0907101001
09593,42.7276947368421,-3.465457894736842,0932901001
09594,42.9053,-3.4206,0921301001
09600,42.0224,-3.2863,0933001001
09610,41.92874285714286,-3.461171428571429,0935801001
09611,41.9787,-3.3215000000000003,0945001001
09612,41.92526,-3.29636,0926801001
09613,42.04911111111111,-3.303977777777778,0922301001
09614,42.113350000000004,-3.1541,0941401001
09615,42.12202,-3.20292,0922601001
09616,41.9523,-3.5358,0937801001
09617,41.9735,-3.4814,0935601001
09618,42.0201,-3.2975,0933001001
09619,41.8537,-3.2265,0916301001
09620,42.24685,-3.67399,0933201001
09640,42.12660666666667,-3.4037333333333333,0943001001
09641,42.1301,-3.5684,0911901001
09642,42.13833333333333,-3.513033333333333,0920001001
09645,42.1667,-3.5169,0938801001
09646,42.1392,-3.4369,0919101001
09647,42.174,-3.5341,0931401001
09649,42.2014,-3.4389000000000003,0924801001
09650,42.109700000000004,-3.4158999999999997,0906601001
09651,42.1234,-3.4455,0919101001
09652,42.3805,-3.9335,0944901001
09653,42.3616,-3.9305,0918101001
09654,42.3932,-3.8957,0918101001
09660,41.8705,-3.1761,0930201001
09670,41.9829,-3.0377,0928901002
09679,42.0605,-2.9972,0923201001
09680,41.9639,-3.1279,0924601001
09690,41.9503,-3.078,0942501001
09691,41.9706,-3.2172,0908401001
09692,41.9367,-3.0409,0906701001
09693,41.9562,-2.9884,0930901001
24001,42.6,-5.5703,2408904007
