Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;20
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;20
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;18
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Otra situación de inactividad;2023;29
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Otra situación de inactividad;2022;24
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Otra situación de inactividad;2021;24
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Estudiante;2023;4
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Estudiante;2022;11
09 Burgos;09003 Adrada de Haza;0900301001 Adrada de Haza sección 01001;Mujeres;Estudiante;2021;10
09 Burgos;09006 Aguas Cándidas;;Total;Total;2023;56
09 Burgos;09006 Aguas Cándidas;;Total;Total;2022;57
09 Burgos;09006 Aguas Cándidas;;Total;Total;2021;51
09 Burgos;09006 Aguas Cándidas;;Total;Ocupado/a;2023;17
09 Burgos;09006 Aguas Cándidas;;Total;Ocupado/a;2022;16
09 Burgos;09006 Aguas Cándidas;;Total;Ocupado/a;2021;15
09 Burgos;09006 Aguas Cándidas;;Total;Parado/a;2023;3
09 Burgos;09006 Aguas Cándidas;;Total;Parado/a;2022;2
09 Burgos;09006 Aguas Cándidas;;Total;Parado/a;2021;5
09 Burgos;09006 Aguas Cándidas;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;23
09 Burgos;09006 Aguas Cándidas;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;25
09 Burgos;09006 Aguas Cándidas;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;21
09 Burgos;09006 Aguas Cándidas;;Total;Otra situación de inactividad;2023;11
09 Burgos;09006 Aguas Cándidas;;Total;Otra situación de inactividad;2022;13
09 Burgos;09006 Aguas Cándidas;;Total;Otra situación de inactividad;2021;10
09 Burgos;09006 Aguas Cándidas;;Total;Estudiante;2023;2
09 Burgos;09006 Aguas Cándidas;;Total;Estudiante;2022;1
09 Burgos;09006 Aguas Cándidas;;Total;Estudiante;2021;0
09 Burgos;09006 Aguas Cándidas;;Hombres;Total;2023;38
09 Burgos;09006 Aguas Cándidas;;Hombres;Total;2022;37
09 Burgos;09006 Aguas Cándidas;;Hombres;Total;2021;31
09 Burgos;09006 Aguas Cándidas;;Hombres;Ocupado/a;2023;15
09 Burgos;09006 Aguas Cándidas;;Hombres;Ocupado/a;2022;13
09 Burgos;09006 Aguas Cándidas;;Hombres;Ocupado/a;2021;12
09 Burgos;09006 Aguas Cándidas;;Hombres;Parado/a;2023;2
09 Burgos;09006 Aguas Cándidas;;Hombres;Parado/a;2022;2
09 Burgos;09006 Aguas Cándidas;;Hombres;Parado/a;2021;5
09 Burgos;09006 Aguas Cándidas;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;15
09 Burgos;09006 Aguas Cándidas;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;16
09 Burgos;09006 Aguas Cándidas;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;12
09 Burgos;09006 Aguas Cándidas;;Hombres;Otra situación de inactividad;2023;4
09 Burgos;09006 Aguas Cándidas;;Hombres;Otra situación de inactividad;2022;5
09 Burgos;09006 Aguas Cándidas;;Hombres;Otra situación de inactividad;2021;2
09 Burgos;09006 Aguas Cándidas;;Hombres;Estudiante;2023;2
09 Burgos;09006 Aguas Cándidas;;Hombres;Estudiante;2022;1
09 Burgos;09006 Aguas Cándidas;;Hombres;Estudiante;2021;0
09 Burgos;09006 Aguas Cándidas;;Mujeres;Total;2023;18
09 Burgos;09006 Aguas Cándidas;;Mujeres;Total;2022;20
09 Burgos;09006 Aguas Cándidas;;Mujeres;Total;2021;20
09 Burgos;09006 Aguas Cándidas;;Mujeres;Ocupado/a;2023;2
09 Burgos;09006 Aguas Cándidas;;Mujeres;Ocupado/a;2022;3
09 Burgos;09006 Aguas Cándidas;;Mujeres;Ocupado/a;2021;3
09 Burgos;09006 Aguas Cándidas;;Mujeres;Parado/a;2023;1
09 Burgos;09006 Aguas Cándidas;;Mujeres;Parado/a;2022;0
