Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Hombres;Estudiante;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Total;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Total;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Total;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Ocupado/a;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Ocupado/a;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Ocupado/a;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Parado/a;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Parado/a;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Parado/a;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Otra situación de inactividad;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Otra situación de inactividad;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Otra situación de inactividad;2021;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Estudiante;2023;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Estudiante;2022;.
40 Segovia;40002 Adrada de Pirón;4000201001 Adrada de Pirón sección 01001;Mujeres;Estudiante;2021;.
40 Segovia;40003 Adrados;;Total;Total;2023;119
40 Segovia;40003 Adrados;;Total;Total;2022;118
40 Segovia;40003 Adrados;;Total;Total;2021;122
40 Segovia;40003 Adrados;;Total;Ocupado/a;2023;41
40 Segovia;40003 Adrados;;Total;Ocupado/a;2022;40
40 Segovia;40003 Adrados;;Total;Ocupado/a;2021;38
40 Segovia;40003 Adrados;;Total;Parado/a;2023;2
40 Segovia;40003 Adrados;;Total;Parado/a;2022;5
40 Segovia;40003 Adrados;;Total;Parado/a;2021;6
40 Segovia;40003 Adrados;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;47
40 Segovia;40003 Adrados;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;46
40 Segovia;40003 Adrados;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;48
40 Segovia;40003 Adrados;;Total;Otra situación de inactividad;2023;27
40 Segovia;40003 Adrados;;Total;Otra situación de inactividad;2022;25
40 Segovia;40003 Adrados;;Total;Otra situación de inactividad;2021;29
40 Segovia;40003 Adrados;;Total;Estudiante;2023;2
40 Segovia;40003 Adrados;;Total;Estudiante;2022;2
40 Segovia;40003 Adrados;;Total;Estudiante;2021;1
40 Segovia;40003 Adrados;;Hombres;Total;2023;70
40 Segovia;40003 Adrados;;Hombres;Total;2022;67
40 Segovia;40003 Adrados;;Hombres;Total;2021;74
40 Segovia;40003 Adrados;;Hombres;Ocupado/a;2023;29
40 Segovia;40003 Adrados;;Hombres;Ocupado/a;2022;28
40 Segovia;40003 Adrados;;Hombres;Ocupado/a;2021;27
40 Segovia;40003 Adrados;;Hombres;Parado/a;2023;1
40 Segovia;40003 Adrados;;Hombres;Parado/a;2022;4
40 Segovia;40003 Adrados;;Hombres;Parado/a;2021;5
40 Segovia;40003 Adrados;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;37
40 Segovia;40003 Adrados;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;34
40 Segovia;40003 Adrados;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;39
40 Segovia;40003 Adrados;;Hombres;Otra situación de inactividad;2023;3
40 Segovia;40003 Adrados;;Hombres;Otra situación de inactividad;2022;1
40 Segovia;40003 Adrados;;Hombres;Otra situación de inactividad;2021;3
40 Segovia;40003 Adrados;;Hombres;Estudiante;2023;0
40 Segovia;40003 Adrados;;Hombres;Estudiante;2022;0
40 Segovia;40003 Adrados;;Hombres;Estudiante;2021;0
40 Segovia;40003 Adrados;;Mujeres;Total;2023;49
40 Segovia;40003 Adrados;;Mujeres;Total;2022;51
40 Segovia;40003 Adrados;;Mujeres;Total;2021;48
