Provincias;Municipios;Secciones;Sexo;Relación con la actividad;Periodo;Total
34 Palencia;34003 Abia de las Torres;;Total;Total;2023;152
34 Palencia;34003 Abia de las Torres;;Total;Total;2022;160
34 Palencia;34003 Abia de las Torres;;Total;Total;2021;156
34 Palencia;34003 Abia de las Torres;;Total;Ocupado/a;2023;86
34 Palencia;34003 Abia de las Torres;;Total;Ocupado/a;2022;85
34 Palencia;34003 Abia de las Torres;;Total;Ocupado/a;2021;85
34 Palencia;34003 Abia de las Torres;;Total;Parado/a;2023;5
34 Palencia;34003 Abia de las Torres;;Total;Parado/a;2022;4
34 Palencia;34003 Abia de las Torres;;Total;Parado/a;2021;3
34 Palencia;34003 Abia de las Torres;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;31
34 Palencia;34003 Abia de las Torres;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;31
34 Palencia;34003 Abia de las Torres;;Total;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;30
34 Palencia;34003 Abia de las Torres;;Total;Otra situación de inactividad;2023;25
34 Palencia;34003 Abia de las Torres;;Total;Otra situación de inactividad;2022;32
34 Palencia;34003 Abia de las Torres;;Total;Otra situación de inactividad;2021;29
34 Palencia;34003 Abia de las Torres;;Total;Estudiante;2023;5
34 Palencia;34003 Abia de las Torres;;Total;Estudiante;2022;8
34 Palencia;34003 Abia de las Torres;;Total;Estudiante;2021;9
34 Palencia;34003 Abia de las Torres;;Hombres;Total;2023;86
34 Palencia;34003 Abia de las Torres;;Hombres;Total;2022;89
34 Palencia;34003 Abia de las Torres;;Hombres;Total;2021;86
34 Palencia;34003 Abia de las Torres;;Hombres;Ocupado/a;2023;59
34 Palencia;34003 Abia de las Torres;;Hombres;Ocupado/a;2022;59
34 Palencia;34003 Abia de las Torres;;Hombres;Ocupado/a;2021;58
34 Palencia;34003 Abia de las Torres;;Hombres;Parado/a;2023;2
34 Palencia;34003 Abia de las Torres;;Hombres;Parado/a;2022;2
34 Palencia;34003 Abia de las Torres;;Hombres;Parado/a;2021;1
34 Palencia;34003 Abia de las Torres;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;22
34 Palencia;34003 Abia de las Torres;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;22
34 Palencia;34003 Abia de las Torres;;Hombres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;20
34 Palencia;34003 Abia de las Torres;;Hombres;Otra situación de inactividad;2023;2
34 Palencia;34003 Abia de las Torres;;Hombres;Otra situación de inactividad;2022;4
34 Palencia;34003 Abia de las Torres;;Hombres;Otra situación de inactividad;2021;4
34 Palencia;34003 Abia de las Torres;;Hombres;Estudiante;2023;1
34 Palencia;34003 Abia de las Torres;;Hombres;Estudiante;2022;2
34 Palencia;34003 Abia de las Torres;;Hombres;Estudiante;2021;3
34 Palencia;34003 Abia de las Torres;;Mujeres;Total;2023;66
34 Palencia;34003 Abia de las Torres;;Mujeres;Total;2022;71
34 Palencia;34003 Abia de las Torres;;Mujeres;Total;2021;70
34 Palencia;34003 Abia de las Torres;;Mujeres;Ocupado/a;2023;27
34 Palencia;34003 Abia de las Torres;;Mujeres;Ocupado/a;2022;26
34 Palencia;34003 Abia de las Torres;;Mujeres;Ocupado/a;2021;27
34 Palencia;34003 Abia de las Torres;;Mujeres;Parado/a;2023;3
34 Palencia;34003 Abia de las Torres;;Mujeres;Parado/a;2022;2
34 Palencia;34003 Abia de las Torres;;Mujeres;Parado/a;2021;2
34 Palencia;34003 Abia de las Torres;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2023;9
34 Palencia;34003 Abia de las Torres;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2022;9
34 Palencia;34003 Abia de las Torres;;Mujeres;Perceptor/a pensión de incapacidad, jubilación, prejubilación;2021;10
34 Palencia;34003 Abia de las Torres;;Mujeres;Otra situación de inactividad;2023;23
34 Palencia;34003 Abia de las Torres;;Mujeres;Otra situación de inactividad;2022;28
34 Palencia;34003 Abia de las Torres;;Mujeres;Otra situación de inactividad;2021;25
34 Palencia;34003 Abia de las Torres;;Mujeres;Estudiante;2023;4
34 Palencia;34003 Abia de las Torres;;Mujeres;Estudiante;2022;6
34 Palencia;34003 Abia de las Torres;;Mujeres;Estudiante;2021;6
34 Palencia;34003 Abia de las Torres;3400301001 Abia de las Torres sección 01001;Total;Total;2023;152
34 Palencia;34003 Abia de las Torres;3400301001 Abia de las Torres sección 01001;Total;Total;2022;160
34 Palencia;34003 Abia de las Torres;3400301001 Abia de las Torres sección 01001;Total;Total;2021;156
34 Palencia;34003 Abia de las Torres;3400301001 Abia de las Torres sección 01001;Total;Ocupado/a;2023;86
34 Palencia;34003 Abia de las Torres;3400301001 Abia de las Torres sección 01001;Total;Ocupado/a;2022;85
34 Palencia;34003 Abia de las Torres;3400301001 Abia de las Torres sección 01001;Total;Ocupado/a;2021;85
34 Palencia;34003 Abia de las Torres;3400301001 Abia de las Torres sección 01001;Total;Parado/a;2023;5
