Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población menor de 18 años;2022;1,9
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población menor de 18 años;2021;5,3
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población menor de 18 años;2020;7
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población menor de 18 años;2019;6,1
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población menor de 18 años;2018;6,8
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población menor de 18 años;2017;6,3
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población menor de 18 años;2016;5,9
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población menor de 18 años;2015;4,4
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población de 65 y más años;2023;48,7
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población de 65 y más años;2022;47,2
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población de 65 y más años;2021;46,5
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población de 65 y más años;2020;42,1
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población de 65 y más años;2019;41,6
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población de 65 y más años;2018;41,6
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población de 65 y más años;2017;41,4
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población de 65 y más años;2016;41,2
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población de 65 y más años;2015;40,7
37002 Agallas;3700201 Agallas distrito 01;;Tamaño medio del hogar;2023;1,8
37002 Agallas;3700201 Agallas distrito 01;;Tamaño medio del hogar;2022;1,7
37002 Agallas;3700201 Agallas distrito 01;;Tamaño medio del hogar;2021;1,8
37002 Agallas;3700201 Agallas distrito 01;;Tamaño medio del hogar;2020;1,8
37002 Agallas;3700201 Agallas distrito 01;;Tamaño medio del hogar;2019;1,8
37002 Agallas;3700201 Agallas distrito 01;;Tamaño medio del hogar;2018;1,8
37002 Agallas;3700201 Agallas distrito 01;;Tamaño medio del hogar;2017;1,9
37002 Agallas;3700201 Agallas distrito 01;;Tamaño medio del hogar;2016;2
37002 Agallas;3700201 Agallas distrito 01;;Tamaño medio del hogar;2015;1,9
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de hogares unipersonales;2023;52,4
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de hogares unipersonales;2022;59
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de hogares unipersonales;2021;57,1
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de hogares unipersonales;2020;54,8
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de hogares unipersonales;2019;48,5
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de hogares unipersonales;2018;48,2
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de hogares unipersonales;2017;47
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de hogares unipersonales;2016;43,3
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de hogares unipersonales;2015;43,5
37002 Agallas;3700201 Agallas distrito 01;;Población;2023;113
37002 Agallas;3700201 Agallas distrito 01;;Población;2022;106
37002 Agallas;3700201 Agallas distrito 01;;Población;2021;114
37002 Agallas;3700201 Agallas distrito 01;;Población;2020;114
37002 Agallas;3700201 Agallas distrito 01;;Población;2019;131
37002 Agallas;3700201 Agallas distrito 01;;Población;2018;128
37002 Agallas;3700201 Agallas distrito 01;;Población;2017;129
37002 Agallas;3700201 Agallas distrito 01;;Población;2016;136
37002 Agallas;3700201 Agallas distrito 01;;Población;2015;135
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población española;2023;100
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población española;2022;100
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población española;2021;99,2
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población española;2020;99,2
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población española;2019;99,4
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población española;2018;99,4
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población española;2017;99,5
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población española;2016;99,5
37002 Agallas;3700201 Agallas distrito 01;;Porcentaje de población española;2015;99,5
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Edad media de la población;2023;59,6
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Edad media de la población;2022;59,3
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Edad media de la población;2021;58
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Edad media de la población;2020;56,1
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Edad media de la población;2019;57
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Edad media de la población;2018;57
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Edad media de la población;2017;56,7
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Edad media de la población;2016;56,1
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Edad media de la población;2015;55,9
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población menor de 18 años;2023;0,9
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población menor de 18 años;2022;1,9
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población menor de 18 años;2021;5,3
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población menor de 18 años;2020;7
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población menor de 18 años;2019;6,1
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población menor de 18 años;2018;6,8
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población menor de 18 años;2017;6,3
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población menor de 18 años;2016;5,9
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población menor de 18 años;2015;4,4
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población de 65 y más años;2023;48,7
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población de 65 y más años;2022;47,2
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población de 65 y más años;2021;46,5
37002 Agallas;3700201 Agallas distrito 01;3700201001 Agallas sección 01001;Porcentaje de población de 65 y más años;2020;42,1
