Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
09003 Adrada de Haza;;;Porcentaje de población española;2022;92,1
09003 Adrada de Haza;;;Porcentaje de población española;2021;93,5
09003 Adrada de Haza;;;Porcentaje de población española;2020;93,9
09003 Adrada de Haza;;;Porcentaje de población española;2019;94,1
09003 Adrada de Haza;;;Porcentaje de población española;2018;96,1
09003 Adrada de Haza;;;Porcentaje de población española;2017;95
09003 Adrada de Haza;;;Porcentaje de población española;2016;95,9
09003 Adrada de Haza;;;Porcentaje de población española;2015;95,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Edad media de la población;2023;51,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Edad media de la población;2022;50,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Edad media de la población;2021;50,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Edad media de la población;2020;50,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Edad media de la población;2019;51,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Edad media de la población;2018;51,7
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Edad media de la población;2017;51,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Edad media de la población;2016;52,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Edad media de la población;2015;51,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población menor de 18 años;2023;6,8
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población menor de 18 años;2022;8,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población menor de 18 años;2021;8,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población menor de 18 años;2020;9,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población menor de 18 años;2019;8,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población menor de 18 años;2018;6,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población menor de 18 años;2017;8,7
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población menor de 18 años;2016;8,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población menor de 18 años;2015;9,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población de 65 y más años;2023;30,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población de 65 y más años;2022;30,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población de 65 y más años;2021;30,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población de 65 y más años;2020;28,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población de 65 y más años;2019;30,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población de 65 y más años;2018;31,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población de 65 y más años;2017;32,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población de 65 y más años;2016;33
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de población de 65 y más años;2015;32,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Tamaño medio del hogar;2023;2,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Tamaño medio del hogar;2022;2,1
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Tamaño medio del hogar;2021;2,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Tamaño medio del hogar;2020;2,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Tamaño medio del hogar;2019;2,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Tamaño medio del hogar;2018;2,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Tamaño medio del hogar;2017;2,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Tamaño medio del hogar;2016;2,3
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Tamaño medio del hogar;2015;2,2
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de hogares unipersonales;2023;39,4
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de hogares unipersonales;2022;41,5
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de hogares unipersonales;2021;39,6
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de hogares unipersonales;2020;40,9
09003 Adrada de Haza;0900301 Adrada de Haza distrito 01;;Porcentaje de hogares unipersonales;2019;38,2
