Municipios;Distritos;Secciones;Indicadores demográficos;Periodo;Total
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población menor de 18 años;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población menor de 18 años;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población menor de 18 años;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población menor de 18 años;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población de 65 y más años;2023;24,4
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población de 65 y más años;2022;29
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población de 65 y más años;2021;23,7
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población de 65 y más años;2020;29,7
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población de 65 y más años;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población de 65 y más años;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población de 65 y más años;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población de 65 y más años;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población de 65 y más años;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Tamaño medio del hogar;2023;2,2
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Tamaño medio del hogar;2022;2,1
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Tamaño medio del hogar;2021;2,1
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Tamaño medio del hogar;2020;1,9
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Tamaño medio del hogar;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Tamaño medio del hogar;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Tamaño medio del hogar;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Tamaño medio del hogar;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Tamaño medio del hogar;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de hogares unipersonales;2023;36,8
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de hogares unipersonales;2022;50
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de hogares unipersonales;2021;50
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de hogares unipersonales;2020;52,6
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de hogares unipersonales;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de hogares unipersonales;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de hogares unipersonales;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de hogares unipersonales;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de hogares unipersonales;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Población;2023;41
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Población;2022;38
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Población;2021;38
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Población;2020;37
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Población;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Población;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Población;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Población;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Población;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población española;2023;100
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población española;2022;97,4
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población española;2021;97,4
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población española;2020;97,4
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población española;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población española;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población española;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población española;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;;Porcentaje de población española;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Edad media de la población;2023;47,2
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Edad media de la población;2022;50,1
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Edad media de la población;2021;50,7
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Edad media de la población;2020;52,7
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Edad media de la población;2019;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Edad media de la población;2018;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Edad media de la población;2017;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Edad media de la población;2016;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Edad media de la población;2015;.
40002 Adrada de Pirón;4000201 Adrada de Pirón distrito 01;4000201001 Adrada de Pirón sección 01001;Porcentaje de población menor de 18 años;2023;12,2
