servicio_id;distancia;Seccion_id
24;1392,186;50
764;1392,186;50
1200;1392,186;50
2056;1392,186;50
2909;1392,186;50
3498;1392,186;50
4993;1392,186;50
6220;1392,186;50
52;6421,501;50
333;6421,501;50
1204;6421,501;50
2054;6421,501;50
3487;6421,501;50
3494;6421,501;50
4437;6421,501;50
4994;6421,501;50
5317;6421,501;50
5320;6421,501;50
7189;6421,501;50
335;5984,409;50
1203;5984,409;50
2057;5984,409;50
2058;5984,409;50
3481;5984,409;50
7187;5984,409;50
7195;5984,409;50
7736;5984,409;50
1215;12668,643;50
23;1564,772;51
26;1564,772;51
329;1564,772;51
334;1564,772;51
339;1564,772;51
2055;1564,772;51
2338;1564,772;51
3480;1564,772;51
5005;1564,772;51
5322;1564,772;51
6218;1564,772;51
6224;1564,772;51
24;1271,863;51
764;1271,863;51
1200;1271,863;51
2056;1271,863;51
2909;1271,863;51
3498;1271,863;51
4993;1271,863;51
6220;1271,863;51
52;6244,461;51
333;6244,461;51
1204;6244,461;51
2054;6244,461;51
3487;6244,461;51
3494;6244,461;51
4437;6244,461;51
4994;6244,461;51
5317;6244,461;51
5320;6244,461;51
7189;6244,461;51
335;6193,699;51
1203;6193,699;51
2057;6193,699;51
2058;6193,699;51
3481;6193,699;51
7187;6193,699;51
7195;6193,699;51
7736;6193,699;51
1215;12634,789;51
24;674,195;52
764;674,195;52
1200;674,195;52
2056;674,195;52
2909;674,195;52
3498;674,195;52
4993;674,195;52
6220;674,195;52
23;1788,573;52
26;1788,573;52
329;1788,573;52
334;1788,573;52
339;1788,573;52
2055;1788,573;52
2338;1788,573;52
3480;1788,573;52
5005;1788,573;52
5322;1788,573;52
6218;1788,573;52
6224;1788,573;52
52;6240,178;52
333;6240,178;52
1204;6240,178;52
2054;6240,178;52
3487;6240,178;52
3494;6240,178;52
4437;6240,178;52
4994;6240,178;52
5317;6240,178;52
5320;6240,178;52
7189;6240,178;52
335;6718,869;52
1203;6718,869;52
2057;6718,869;52
2058;6718,869;52
3481;6718,869;52
7187;6718,869;52
7195;6718,869;52
7736;6718,869;52
1215;12112,215;52
23;1150,617;53
26;1150,617;53
329;1150,617;53
334;1150,617;53
339;1150,617;53
2055;1150,617;53
2338;1150,617;53
3480;1150,617;53
5005;1150,617;53
5322;1150,617;53
6218;1150,617;53
6224;1150,617;53
24;1492,860;53
764;1492,860;53
1200;1492,860;53
2056;1492,860;53
2909;1492,860;53
3498;1492,860;53
4993;1492,860;53
6220;1492,860;53
52;6647,688;53
333;6647,688;53
1204;6647,688;53
2054;6647,688;53
3487;6647,688;53
3494;6647,688;53
4437;6647,688;53
4994;6647,688;53
5317;6647,688;53
5320;6647,688;53
7189;6647,688;53
335;5788,265;53
1203;5788,265;53
2057;5788,265;53
2058;5788,265;53
3481;5788,265;53
7187;5788,265;53
7195;5788,265;53
7736;5788,265;53
1215;12640,890;53
23;1171,015;54
26;1171,015;54
329;1171,015;54
334;1171,015;54
339;1171,015;54
2055;1171,015;54
2338;1171,015;54
3480;1171,015;54
5005;1171,015;54
5322;1171,015;54
6218;1171,015;54
6224;1171,015;54
24;1156,056;54
764;1156,056;54
1200;1156,056;54
2056;1156,056;54
2909;1156,056;54
3498;1156,056;54
4993;1156,056;54
6220;1156,056;54
52;6678,332;54
