CUSEC;dist_min_ceas_km;disp_ponderada_ceas;dist_min_especializada_km;disp_ponderada_especializada;dist_min_primaria_km;disp_ponderada_primaria;dist_min_infantil_y_primaria_km;disp_ponderada_infantil_y_primaria;dist_min_adultos_e_idiomas_km;disp_ponderada_adultos_e_idiomas;dist_min_secundaria_y_bachillerato_km;dist_min_educación_especial_km;disp_ponderada_educación_especial;dist_min_formación_profesional_km;disp_ponderada_formación_profesional;dist_min_inclusión_social_km;disp_ponderada_inclusión_social;dist_min_población_general_km;disp_ponderada_población_general;dist_min_toxicomanías_y_adicciones_km;disp_ponderada_toxicomanías_y_adicciones;dist_min_personas_con_discapacidad_km;disp_ponderada_personas_con_discapacidad;dist_min_familia_km;disp_ponderada_familia;dist_min_mujer_km;disp_ponderada_mujer;dist_min_infancia_y_juventud_km;disp_ponderada_infancia_y_juventud;dist_min_voluntariado_km;disp_ponderada_voluntariado;dist_min_personas_mayores_km;disp_ponderada_personas_mayores;Seccion_id
0905601002;0;1,3;28,998;0,1;3,427;1,8;3,427;1,7;0;1;3,445;39,869;0;30,38;0;30,38;0;30,38;0;29,994;0,1;30,38;0;30,38;0;30,38;0;35,98;0;35,98;0;30,38;0;376
0905601003;3,427;1,1;31,609;0;0;2,7;0;2,3;3,427;0,6;3,326;37,455;0;33,167;0;31,434;0;33,167;0;30,121;0;31,434;0;31,434;0;31,434;0;33,534;0;33,534;0;33,167;0;377
0905601004;2,611;1;27,983;0,1;3,642;1,9;3,642;1,5;2,611;0,6;5,514;41,089;0;29,58;0,1;29,58;0,6;29,58;0,2;29,58;0,4;29,58;0,7;29,58;0,2;29,58;0,1;37,171;0;37,171;0;29,58;0,4;378
0905701001;6,687;1,1;4,802;0,6;7,084;1,7;6,845;3,5;6,687;0,7;7,344;64,973;0;5,187;0,3;5,187;1,8;5,187;0,6;5,187;1,2;5,187;2,1;5,187;0,6;5,187;0,3;61,117;0;61,117;0;5,187;1,2;379
0905801001;7,859;3,3;9,107;0,9;7,739;5,2;3,703;10,9;9,487;0,9;7,102;9,978;0,3;3,173;1,5;7,43;16,4;7,932;2,4;7,43;2,5;7,43;7;7,43;3,7;7,43;2,9;7,43;2,1;7,932;0,6;13,701;1,5;380
0905901001;0,281;7,6;1,134;1,8;0,588;11,4;0,425;20,4;0,503;2,2;0,498;0,787;1;0,159;2,5;0,229;35;0,229;5,2;1,241;5,8;0,229;13,9;1,477;7,5;1,477;5,7;1,241;3,9;1,477;1,2;4,662;3;381
0905901002;0,291;6,8;0,993;2,2;0,55;11,4;0,469;20;0,469;2,2;0,578;0,891;1;0;2,5;0,369;35;0,369;5,2;1,225;5,8;0,369;13,9;1,337;7,5;1,337;5,7;1,225;3,9;1,337;1,2;4,708;3;382
0905902001;0,253;6,4;1,234;1,8;0,375;11,4;0,215;20,4;0,443;2,2;0,684;0,498;1;0,41;2,5;0,36;35;0,36;5,2;1,075;5,8;0,36;13,9;1,747;7,5;1,747;5,7;1,075;3,9;1,747;1,2;4,398;3;383
0905902002;0,208;6,4;1,11;1,8;0,522;10,2;0;20;0,278;2,2;0,882;0,437;1;0,485;2,5;0,56;35,8;0,56;5,2;0,861;6,2;0,56;13,9;1,777;7,5;1,777;5,7;0,861;4,3;1,777;1,2;4,238;3;384
0905902003;0,339;6,4;1,061;1,8;0,662;11;0,188;20;0,257;2,2;1,068;0,432;1;0,629;2,5;0,674;35,8;0,747;5,2;0,674;6,2;0,747;13,9;1,856;7,5;1,856;5,7;0,674;4,3;1,856;1,2;4,079;3;385
0905902004;0;6,4;0,981;2,2;0,627;10,6;0,208;20;0,229;2,2;0,777;0,641;1;0,291;2,5;0,479;35,8;0,479;5,2;0,961;6,2;0,479;13,9;1,57;7,5;1,57;5,7;0,961;4,3;1,57;1,2;4,418;3;386
0905902005;0,229;6,4;0,834;2,2;0,794;10,6;0;20;0;2,2;1,002;0,674;1;0,469;2,5;0,708;35,8;0,708;5,2;0,755;6,2;0,708;13,9;1,606;7,5;1,606;5,7;0,755;4,3;1,606;1,2;4,273;3;387
0905903001;0,598;7,6;1,162;1,8;0,277;11,4;0,738;20,7;0,78;2,2;0,404;1,149;0,6;0,313;2,5;0,409;28,7;0,409;4,6;1,535;4,9;0,409;11,5;1,186;5,7;1,186;5,1;1,535;2,7;1,186;0,9;5,014;1,5;388
0905903002;0,358;7,6;1,181;1,8;0;11,4;0,548;19,4;0,99;2,2;0,58;1,421;0,6;0,55;2,5;0,679;33,1;0,679;6,6;1,733;4,9;0,679;14,3;0,943;7,7;0,943;7,1;1,733;2,7;0,943;1,3;5,255;1,5;389
0905903003;0,325;6;0,874;2,2;0,548;10,6;0;18,7;1,116;1,8;1,114;1,713;0,6;0,846;2,5;0,497;29,9;0,497;6,2;1,744;4,8;0,497;13,9;0,497;7,7;0,497;7,1;1,744;2,7;0,497;1,3;5,327;1,5;390
0905903004;0,594;6;1,208;1,8;0,679;10,6;0,211;18,4;1,606;1,8;1,52;2,21;0,6;1,337;2,1;0;29,9;0;6,2;2,194;4,8;0;13,9;0;7,7;0;7,1;2,194;2,7;0;1,3;5,77;1,5;391
0905903005;3,6;4,5;3,367;1,2;3,568;7,3;0;15,4;4,179;1,2;4,497;4,851;0,6;4,15;2,1;0;28,6;3,017;4,2;0;5,6;0;13,7;0;6,1;0;5,9;0;3,1;3,017;0,9;7,31;1,5;392
0905903006;0,981;6,4;0;2,2;1,181;9,8;0,834;18,4;0,834;2,2;1,543;1,493;0,6;0,993;2,5;1,085;31,8;1,208;4,8;1,085;5,8;1,208;13,5;1,208;7,5;1,208;5,7;1,085;3,9;1,208;1,2;4,598;3;393
0905903007;0;6;1,164;1,8;0,358;10,6;0,325;19;1,221;1,8;0,928;1,734;0,6;0,843;2,5;0,594;29,9;0,594;6,2;1,92;4,8;0,594;13,9;0,594;7,7;0,594;7,1;1,92;2,7;0,594;1,3;5,488;1,5;394
0905903008;0,437;6;1,048;1,8;0,698;10,6;0;18,1;1,397;1,8;1,343;2;0,6;1,129;2,1;0,211;29,9;0,211;6,2;1,998;4,8;0,211;13,9;0,211;7,7;0,211;7,1;1,998;2,7;0,211;1,3;5,579;1,5;395
0905903009;1,115;5,6;1,421;1,8;1,105;9,2;0,697;17,8;2,003;1,8;2,038;2,645;0,6;1,804;2,1;0,522;29,9;0,522;6,2;2,49;4,8;0,522;13,9;0,522;7,7;0,522;7,1;2,49;2,7;0,522;1,3;6,014;1,5;396
0905903010;0,844;6;0,949;2,2;1,076;9,8;0,421;18,1;1,537;1,8;1,703;2,191;0,6;1,384;2,1;0,405;29,9;0,405;6,2;2,011;4,8;0,405;13,9;0,405;7,7;0,405;7,1;2,011;2,7;0,405;1,3;5,547;1,5;397
0905903011;1,049;5,6;0,557;2,2;1,231;9,8;0,727;18,4;1,3;1,8;1,738;1,974;0,6;1,29;2,1;0,82;29,9;0,82;6,2;1,641;4,8;0,82;13,9;0,82;7,7;0,82;7,1;1,641;2,7;0,82;1,3;5,125;1,5;398
0905904001;0,48;6,4;0,506;2,2;0,939;10,2;0,335;20;0,335;2,2;1,137;1,006;0,6;0,56;2,5;0,85;35,8;0,901;5,2;0,85;6,2;0,901;13,9;1,361;7,5;1,361;5,7;0,85;4,3;1,361;1,2;4,432;3;399
0905904002;0,775;6,4;0,822;2,2;0,607;10,6;0,394;20,4;0,55;2,2;0,874;0,902;1;0,874;2,9;0,277;32,6;1,25;4,8;0,277;6,2;1,25;13,5;1,917;7,5;1,917;5,7;0,277;4,3;1,917;1,2;3,858;3;400
0905904003;0,395;6,8;0,746;2,2;0,575;10,6;0,451;20,4;0,451;2,2;0,8;1,036;0,6;0,256;2,5;0,625;35;0,625;5,2;1,165;5,8;0,625;13,9;1,178;7,5;1,178;5,7;1,165;3,9;1,178;1,2;4,719;3;401
0905904004;0,518;6,8;0,819;2,2;0,373;10,2;0,457;19,6;0,705;2,2;0,774;1,261;0,6;0,391;2,5;0,704;39,4;0,704;7,2;1,409;5,8;0,704;16,7;0,951;9,5;0,951;7,7;1,409;3,9;0,951;1,6;4,971;3;402
0905905001;0,455;6,4;0,811;2,2;0,842;11;0,233;20;0,233;2,2;1,063;0,703;1;0,701;2,5;0,527;35,8;0,931;5,2;0,527;6,2;0,931;13,9;1,746;7,5;1,746;5,7;0,527;4,3;1,746;1,2;4,076;3;403
0905905002;0,557;6,8;0,898;2,2;0,713;11;0,167;21,2;0,35;2,6;0,93;0,675;1;0,819;3,3;0,406;32,6;1,021;4,8;0,406;6,2;1,021;13,5;1,874;7,5;1,874;5,7;0,406;4,3;1,874;1,2;3,944;3;404
0905905003;0,664;6;1,419;1,8;0,236;11,4;0,422;19,6;0,664;2,2;0,422;1,271;0,6;0,422;2,9;0,464;32,6;1,871;4,8;0,464;6,2;1,871;13,5;2,592;7,5;2,592;5,7;0,464;4,3;2,592;1,2;3,182;3;405
0905905004;0,699;6,8;0,995;2,2;0,559;10,6;0,21;21,2;0,502;2,6;0,777;0,697;1;0,777;3,3;0,264;32,6;1,152;4,8;0,264;6,2;1,152;13,5;2,018;7,5;2,018;5,7;0,264;4,3;2,018;1,2;3,79;3;406
0905905005;0,531;6,8;1,05;1,8;0,723;11;0;21,2;0,375;2,6;0,895;0,511;1;0,816;3,3;0,465;35,8;0,959;5,2;0,465;6,2;0,959;13,9;1,968;7,5;1,968;5,7;0,465;4,3;1,968;1,2;3,901;3;407
0905905006;0,44;6,4;1,208;1,8;0,588;11;0,228;20;0,404;2,2;1,009;0,287;1;0,725;2,5;0,704;35,8;0,775;5,2;0,704;6,2;0,775;13,9;1,99;7,5;1,99;5,7;0,704;4,3;1,99;1,2;3,998;3;408
0905905007;0,653;6,8;1,474;1,8;0,714;11,4;0;21,2;0,653;2,6;0,653;0,347;1;0,735;2,9;0,643;32,6;1,121;4,8;0,643;6,2;1,121;13,5;2,358;7,5;2,358;5,7;0,643;4,3;2,358;1,2;3,629;3;409
0905905008;0,603;6;1,724;1,8;0,765;11,4;0,25;20,6;0,603;2,6;0,603;0,442;1;0,763;2,9;0,845;31,1;1,261;4,8;0,845;5,6;1,261;12;2,587;7,2;2,587;5,1;0,845;4;2,587;1,2;3,498;3;410
0905905009;0,808;6;1,88;1,8;0,773;10,6;0,439;20,2;0,808;2,2;0,808;0,447;1;0,991;2,9;1,071;30,3;1,226;4,8;1,071;5,2;1,226;12;2,656;7,2;2,656;5,1;1,071;3,6;2,656;1,2;3,6;3;411
0905905010;0,609;6;2,072;1,8;0,645;10,6;0,605;18,6;0,609;2,2;0,609;0,766;1;0,84;2,9;1,121;30,3;1,572;4,8;1,121;5,2;1,572;12;2,946;7,2;2,946;5,1;1,121;3,6;2,946;1,2;3,247;3;412
0905905011;0,757;6,8;2,268;1,8;0,735;10,6;0,757;18,6;0,757;2,6;0,757;0,92;1;0,998;2,9;1,317;30,3;1,703;4,8;1,317;5,2;1,703;12;3,12;7,2;3,12;5,1;1,317;3,6;3,12;1,2;3,192;3;413
0905905012;0,805;6;1,79;1,8;0,6;12,2;0,588;20;0,805;2,2;0,588;1,626;0,6;0,588;2,9;0,88;34,7;2,276;4,8;0,88;8,3;2,276;13,8;2,814;7,8;2,814;6;0,88;4,3;2,814;1,2;2,814;3;414
0905905013;0;6;1,823;1,8;0,253;12,6;0;19,8;0;2,2;0;0,988;1;0,245;2,9;0,744;31,1;1,771;4,8;0,744;5,6;1,771;12;2,874;7,2;2,874;5,1;0,744;4;2,874;1,2;2,99;3;415
0905905014;1,486;4,7;3,234;1,8;1,316;8,6;0,795;15,9;2,382;1,8;1,152;4,11;0,6;3,3;2,1;0,658;37,5;0,658;4,1;0,658;8,5;0,658;13,4;0,658;8,4;0,658;4,7;0,658;5,2;0,658;1,3;0,658;5;416
0905905015;0,748;6,8;1,502;1,8;0,643;11;0,164;21,2;0,724;2,6;0,801;0,188;1;0,897;2,9;0,774;35,8;0,992;5,2;0,774;6,2;0,992;13,9;2,31;7,5;2,31;5,7;0,774;4,3;2,31;1,2;3,757;3;417
0905905016;0,727;6,8;1,167;1,8;0,541;11,4;0,198;21,2;0,57;2,6;0,697;0,562;1;0,697;2,9;0,339;32,6;1,139;4,8;0,339;6,2;1,139;13,5;2,147;7,5;2,147;5,7;0,339;4,3;2,147;1,2;3,703;3;418
0905905017;0,245;6;1,68;1,8;0,294;12,2;0;20;0,245;2,2;0;1,083;0,6;0;2,9;0,599;32,6;1,812;4,8;0,599;6,2;1,812;13,5;2,784;7,5;2,784;5,7;0,599;4,3;2,784;1,2;3,014;3;419
0905905018;0,632;6,8;1,259;1,8;0,719;11;0,209;21,2;0,536;2,6;0,8;0,355;1;0,823;3,3;0,546;35,8;0,989;5,2;0,546;6,2;0,989;13,9;2,143;7,5;2,143;5,7;0,546;4,3;2,143;1,2;3,79;3;420
0905905019;0,4;6;1,527;1,8;0,489;11,4;0,269;21,2;0,4;2,6;0,4;0,617;1;0,466;2,9;0,532;32,6;1,374;4,8;0,532;6,2;1,374;13,5;2,51;7,5;2,51;5,7;0,532;4,3;2,51;1,2;3,39;3;421
0905905020;0,744;6,8;1,085;1,8;0,331;11;0,465;21,2;0,744;2,6;0,599;0,901;1;0,599;2,9;0;32,6;1,416;4,8;0;6,2;1,416;13,5;2,194;7,5;2,194;5,7;0;4,3;2,194;1,2;3,584;3;422
0905905021;0,754;6,8;1,078;1,8;0,441;10,6;0,299;21,2;0,62;2,6;0,66;0,737;1;0,66;2,9;0,17;32,6;1,256;4,8;0,17;6,2;1,256;13,5;2,129;7,5;2,129;5,7;0,17;4,3;2,129;1,2;3,672;3;423
0905905022;0,63;6,8;1,201;1,8;0,359;11;0,366;21,2;0,63;2,6;0,546;0,726;1;0,546;2,9;0,198;32,6;1,32;4,8;0,198;6,2;1,32;13,5;2,25;7,5;2,25;5,7;0,198;4,3;2,25;1,2;3,56;3;424
0905905023;0,49;6;1,334;1,8;0,262;11,4;0,404;21,2;0,49;2,6;0,404;0,78;1;0,404;2,9;0,274;32,6;1,434;4,8;0,274;6,2;1,434;13,5;2,395;7,5;2,395;5,7;0,274;4,3;2,395;1,2;3,417;3;425
0905905024;0,41;6,8;2,215;1,8;0,234;12,6;0,41;19,8;0,41;2,6;0,41;1,171;0,6;0,631;2,9;1,148;32,4;1,99;4,8;1,148;7,3;1,99;12,3;2,771;7,5;2,771;5,4;1,148;3,6;2,771;1,2;2,771;3;426
0905905025;0,586;6,8;1,376;1,8;0,555;11,4;0,17;21,2;0,586;2,6;0,586;0,488;1;0,617;2,9;0,477;32,6;1,199;4,8;0,477;6,2;1,199;13,5;2,328;7,5;2,328;5,7;0,477;4,3;2,328;1,2;3,576;3;427
0905905026;0,641;6,8;1,493;1,8;0,455;10,2;0,247;20,8;0,674;2,6;0,988;0;1;0,891;2,5;0,82;35,8;0,82;5,2;0,901;6,2;0,82;13,9;2,21;7,5;2,21;5,7;0,901;4,3;2,21;1,2;3,936;3;428
0905905027;0,407;6,4;1,325;1,8;0,363;10,2;0;20;0,49;2,2;0,916;0,247;1;0,645;2,5;0,596;35,8;0,596;5,2;0,932;6,2;0,596;13,9;1,97;7,5;1,97;5,7;0,932;4,3;1,97;1,2;4,152;3;429
0905905028;0,634;6,4;1,543;1,8;0,326;10,2;0,228;20;0,711;2,2;1,027;0,134;1;0,854;2,5;0,731;35;0,731;5,2;1,025;5,8;0,731;13,9;2,187;7,5;2,187;5,7;1,025;3,9;2,187;1,2;4,045;3;430
0905905029;0,454;6;1,642;1,8;0,652;11,8;0,226;21,2;0,454;2,6;0,454;0,537;1;0,589;2,9;0,694;32,6;1,339;4,8;0,694;6,2;1,339;13,5;2,572;7,5;2,572;5,7;0,694;4,3;2,572;1,2;3,409;3;431
0905905030;0,473;6;2,054;1,8;0,262;12,6;0,417;20,2;0,473;2,2;0,417;1,454;0,6;0,417;2,9;0,993;33,2;2,215;4,8;0,993;7,7;2,215;12,3;2,599;7,5;2,599;5,4;0,993;4;2,599;1,2;2,599;3;432
0905905031;0,681;6;2,007;1,8;0,522;12,6;0,533;20,4;0,681;2,2;0,533;1,616;0,6;0,533;2,9;1,007;33,9;2,334;4,8;1,007;7,9;2,334;13,8;2,594;7,8;2,594;6;1,007;3,9;2,594;1,2;2,594;3;433
0905905032;0,499;6;1,396;1,8;0;11,4;0,294;19,6;0,499;2,2;0,294;1,042;0,6;0,294;2,9;0,331;32,6;1,679;4,8;0,331;6,2;1,679;13,5;2,524;7,5;2,524;5,7;0,331;4,3;2,524;1,2;3,252;3;434
0905905033;0,977;6;2,053;1,8;0,544;11,8;0,2;18,7;1,081;1,8;0,586;2,069;0,6;1,034;2,1;1,574;32,4;2,016;4,8;1,574;7,3;2,016;12,3;2,016;7,5;2,016;5,4;1,574;3,6;2,016;1,2;2,016;3;435
0905905034;0,684;6;1,79;1,8;0,823;11,4;0,323;20,2;0,684;2,2;0,684;0,432;1;0,856;2,9;0,94;31,1;1,245;4,8;0,94;5,6;1,245;12;2,617;7,2;2,617;5,1;0,94;4;2,617;1,2;3,535;3;436
0905905035;1,299;4,7;2,589;1,8;0,811;9;0,652;15,9;2,318;1,8;1,062;3,936;0,6;3,014;2,1;0;37,5;0;4,1;0;8,5;0;13,4;0;8,4;0;4,7;0;5,2;0;1,3;0;5;437
0905905036;0,634;6,8;1,352;1,8;0,658;11;0,192;21,2;0,584;2,6;0,835;0,232;1;0,892;3,3;0,669;35,8;0,936;5,2;0,669;6,2;0,936;13,9;2,181;7,5;2,181;5,7;0,669;4,3;2,181;1,2;3,818;3;438
0905905037;0,884;6,8;1,713;1,8;0,598;10,2;0,353;20,2;0,884;2,6;0,884;0,248;1;1,029;2,1;0,992;31,1;1,032;4,8;0,992;5,6;1,032;12;2,458;7,2;2,458;5,1;0,992;4;2,458;1,2;3,761;3;439
0905905038;2,574;5;0;2,6;2,046;9,5;1,774;16,2;2,898;1,8;2,514;3,768;0,6;2,718;2,1;2,589;32,7;2,589;4,8;2,589;7,3;2,589;12,3;2,589;7,5;2,589;5,4;2,589;3,9;2,589;1,2;2,589;3;440
0905905039;0,253;6,8;2,07;1,8;0;12,6;0,253;20,2;0,253;2,6;0,253;1,187;0,6;0,423;2,9;0,988;33,2;1,99;4,8;0,988;7,7;1,99;12,3;2,759;7,5;2,759;5,4;0,988;4;2,759;1,2;2,759;3;441
0905905040;0,467;6,8;2,129;1,8;0,433;12,6;0,467;19,4;0,467;2,6;0,467;0,944;1;0,711;2,9;1,11;30,3;1,762;4,8;1,11;5,2;1,762;12;3,024;7,2;3,024;5,1;1,11;3,6;3,024;1,2;3,024;3;442
0905905041;0,791;6;2,187;1,8;0,399;11,8;0;19,1;0,979;2,2;0,389;2,106;0,6;1,119;2,1;1,688;32,4;1,897;4,8;1,688;7,3;1,897;12,3;1,897;7,5;1,897;5,4;1,688;3,6;1,897;1,2;1,897;3;443
0905905042;0,916;6;1,747;1,8;0,861;11,4;0,381;18,7;1,444;1,8;0,769;2,522;0,6;1,473;2,1;1,673;32,4;1,673;4,8;1,673;7,3;1,673;12,3;1,673;7,5;1,673;5,4;1,673;3,6;1,673;1,2;1,673;3;444
0905905043;1,168;5,6;1,774;1,8;0,821;11,4;0;18,7;1,247;1,8;0,851;2,221;0,6;1,147;2,1;1,621;32,4;2,051;4,8;1,621;7,3;2,051;12,3;2,051;7,5;2,051;5,4;1,621;3,6;2,051;1,2;2,051;3;445
0905905044;0,461;6,8;2,218;1,8;0;12,6;0,26;20,2;0,461;2,6;0,461;1,429;0,6;0,538;2,9;1,136;32,4;2,226;4,8;1,136;7,3;2,226;12,3;2,529;7,5;2,529;5,4;1,136;3,6;2,529;1,2;2,529;3;446
0905905045;0,715;6,8;2,472;1,8;0;11,8;0;20,6;0,647;2,6;0,517;1,662;0,6;0,793;2,9;1,392;32,4;2,28;4,8;1,392;7,3;2,28;12,3;2,28;7,5;2,28;5,4;1,392;3,6;2,28;1,2;2,28;3;447
0905905046;1,187;4,7;3,032;1,8;1,053;8,6;0,496;16,2;2,104;1,8;0,857;3,821;0,6;3;2,1;0,547;37,5;0,547;4,1;0,547;8,5;0,547;13,4;0,547;8,4;0,547;4,7;0,547;5,2;0,547;1,3;0,547;5;448
0905905047;0,772;6;2,046;1,8;0;9,9;0,657;16,8;1,766;1,8;0,775;3,226;0,6;2,248;2,1;0,811;40,8;0,811;5,6;0,811;8,5;0,811;15,5;0,811;9,9;0,811;6,2;0,811;5,2;0,811;1,6;0,811;5;449
0905905048;3,374;3,8;4,329;1,5;2,965;7,5;2,664;12,2;4,308;1,2;3,06;6,024;0,3;5,158;1;0;28,9;2,159;3;0;9,8;0;10,3;0;6,4;0;4,3;2,159;3,3;2,159;0,9;2,159;3;450
0905905049;0,372;6,4;2,792;1,8;0,913;11,8;0,521;18,2;0,468;2,2;1,076;1,496;0,6;1,31;2,1;1,773;32,4;2,275;4,8;1,773;7,3;2,275;12,3;2,767;7,5;2,767;5,4;1,773;3,6;2,767;1,2;2,767;3;451
0905905050;1,031;5,6;1,904;1,8;0,688;11,4;0,155;18,7;1,196;1,8;0,697;2,181;0,6;1,125;2,1;1,638;32,4;1,981;4,8;1,638;7,3;1,981;12,3;1,981;7,5;1,981;5,4;1,638;3,6;1,981;1,2;1,981;3;452
0905905051;0,644;6;1,93;1,8;0,502;10,6;0,649;18,7;1,436;1,8;0,733;2,755;0,6;1,753;2,1;1,304;32,4;1,304;4,8;1,304;7,3;1,304;12,3;1,304;7,5;1,304;5,4;1,304;3,6;1,304;1,2;1,304;3;453
0905905052;1,059;4,7;2,339;1,8;0,487;9,9;0,539;16,2;2,09;1,8;0,889;3,656;0,6;2,71;2,1;0,325;37,5;0,325;4,1;0,325;8,5;0,325;13,4;0,325;8,4;0,325;4,7;0,325;5,2;0,325;1,3;0,325;5;454
0905906001;0,479;7,2;1,36;1,8;0,493;11,4;0,56;20;0,708;2,2;0,325;0,82;1;0,369;2,5;0;35;0;5,2;1,416;5,8;0;13,9;1,592;7,5;1,592;5,7;1,416;3,9;1,592;1,2;4,748;3;455
0905906002;0,583;7,2;1,54;1,8;0,4;11,4;0,517;19,9;0,882;2,2;0,254;0,891;1;0,548;2,5;0,183;35;0,183;5,2;1,567;5,8;0,183;13,9;1,699;7,5;1,699;5,7;1,567;3,9;1,699;1,2;4,826;3;456
0905906003;0,617;7,6;1,349;1,8;0,463;11,4;0,752;20,3;0,834;2,2;0,194;1,056;0,6;0,391;2,5;0,243;35;0,243;5,2;1,578;5,8;0,243;13,9;1,4;7,5;1,4;5,7;1,578;3,9;1,4;1,2;4,974;3;457
0905906004;0,495;7,6;1,543;1,8;0,301;11,4;0,594;19,5;1,002;1,8;0;1,128;0,6;0,578;2,5;0,325;28,7;0,325;4,6;1,731;4,9;0,325;11,5;1,52;5,7;1,52;5,1;1,731;2,7;1,52;0,9;5,063;1,5;458
0905906005;0,399;7,2;1,781;1,8;0,267;11,4;0,277;19,5;1,111;1,8;0,348;1,017;0,6;0,788;2,5;0,425;35;0,425;5,2;1,769;5,8;0,425;13,9;1,867;7,5;1,867;5,7;1,769;3,9;1,867;1,2;4,925;3;459
0905906006;1,915;5,6;3,868;1,2;2,083;9,5;1,812;17,2;3,134;1,8;2,372;2,729;0,6;2,876;2,1;2,508;24;2,508;4,2;3,629;4,3;2,508;9,6;3,781;5,4;3,781;4,6;3,629;2,4;3,781;0,9;5,877;1,5;460
0905906007;0,197;6,4;1,844;1,8;0;11,4;0,373;18,3;1,265;1,8;0,301;1,266;0,6;0,87;2,5;0,558;28,7;0,558;4,6;1,967;4,9;0,558;11,5;1,752;5,7;1,752;5,2;1,967;2,7;1,752;0,9;5,187;1,5;461
0905906008;1,268;5,6;3,299;1,2;1,465;9,5;1,373;17,2;2,71;1,8;1,761;2,526;0,6;2,334;2,1;2,006;24;2,006;4,2;3,358;4,3;2,006;9,6;2,942;5,4;2,942;4,6;3,358;2,4;2,942;0,9;6,187;1,5;462
0905906009;0;6,4;2,037;1,2;0,197;11,4;0,357;18,3;1,458;1,8;0,495;1,416;0,6;1,066;2,1;0,75;28,7;0,75;4,6;2,149;4,9;0,75;11,5;1,886;5,7;1,886;5,2;2,149;2,7;1,886;0,9;5,312;1,5;463
0905906010;0,152;6,4;2,088;1,2;0,265;11;0,22;17,7;1,459;1,8;0,557;1,348;0,6;1,101;2,1;0,758;27,2;0,758;4,6;2,122;4,3;0,758;10;2,01;5,4;2,01;4,6;2,122;2,4;2,01;0,9;5,214;1,5;464
0905906011;0,357;6,4;2,057;1,8;0,373;11;0;17,7;1,365;1,8;0,594;1,17;0,6;1,064;2,1;0,698;27,2;0,698;4,6;1,985;4,3;0,698;10;2,106;5,4;2,106;4,6;1,985;2,4;2,106;0,9;5,004;1,5;465
0905906012;0,809;6,4;2,84;1,2;0,998;10,3;0,844;17,6;2,202;1,8;1,299;1,987;0,6;1,855;2,1;1,509;24;1,509;4,2;2,827;4,3;1,509;9,6;2,633;5,4;2,633;4,6;2,827;2,4;2,633;0,9;5,672;1,5;466
0905907001;0,532;7,2;1,496;1,8;0,251;11,4;0,458;20,4;0,744;2,2;0,501;0,64;1;0,551;2,5;0,247;35;0,247;5,2;1,366;5,8;0,247;13,9;1,834;7,5;1,834;5,7;1,366;3,9;1,834;1,2;4,573;3;467
0905907002;0,627;7,2;1,607;1,8;0;11;0,363;20,4;0,794;2,2;0,744;0,455;1;0,741;2,5;0,493;35;0,493;5,2;1,291;5,8;0,493;13,9;2,06;7,5;2,06;5,7;1,291;3,9;2,06;1,2;4,358;3;468
0905907003;1,025;5,6;1,931;1,8;0,539;10,2;0,622;19;1,102;1,8;1,137;0,443;1;1,223;2,1;1,03;30,3;1,03;4,8;1,286;5,2;1,03;12;2,561;7,2;2,561;5,1;1,286;3,6;2,561;1,2;3,908;3;469
0905907004;0,672;7,2;1,802;1,8;0,325;11;0,393;19,2;1,04;1,8;0,595;0,777;1;0,842;2,5;0,491;35;0,491;5,2;1,607;5,8;0,491;13,9;2,066;7,5;2,066;5,7;1,607;3,9;2,066;1,2;4,641;3;470
0905907005;0,703;7,2;1,944;1,8;0,409;11;0,372;18,6;1,17;1,8;0,717;0,836;1;0,991;2,5;0,639;33,5;0,639;5,2;1,7;5,2;0,639;12,4;2,208;7,2;2,208;5,1;1,7;3,6;2,208;1,2;4,632;3;471
0905907006;1,19;5,6;2,149;1,8;0,587;10,2;0,827;18,2;1,316;1,8;1,23;0,719;1;1,328;2,1;1,054;30,3;1,054;4,8;1,603;5,2;1,054;12;2,641;7,2;2,641;5,1;1,603;3,6;2,641;1,2;4,15;3;472
0905907007;2,469;5,6;4,757;1,2;2,421;9,5;0;16,9;2,615;1,8;2,575;3,265;0,6;3,577;2,1;3,721;27;3,721;3,3;3,919;5,2;3,721;9,9;4,195;5,7;4,195;3,6;3,919;3,6;4,195;0,9;4,195;3;473
0905907008;1,239;5,6;2,202;1,8;0,77;10,2;0,864;17,8;1,239;1,8;1,239;0,71;1;1,438;2,1;1,262;30,3;1,262;4,8;1,507;5,2;1,262;12;2,819;7,2;2,819;5,1;1,507;3,6;2,819;1,2;3,845;3;474
0905907009;0,536;7,2;1,716;1,8;0,398;11,4;0,356;19,5;1,009;1,8;0,401;0,88;1;0,73;2,5;0,361;35;0,361;5,2;1,645;5,8;0,361;13,9;1,892;7,5;1,892;5,7;1,645;3,9;1,892;1,2;4,789;3;475
0905907010;2,415;5,6;4,171;1,2;2,545;9,5;1,896;17,1;3,296;1,8;2,8;2,837;0,6;3,214;2,1;2,851;24;2,851;4,2;3,719;4,3;2,851;9,6;4,297;5,4;4,297;4,6;3,719;2,4;4,297;0,9;5,446;1,5;476
