Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Índice de Gini;2020;30,7
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Índice de Gini;2019;28,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Índice de Gini;2018;28,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Índice de Gini;2017;28,7
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Índice de Gini;2016;30,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Índice de Gini;2015;30,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Distribución de la renta P80/P20;2023;2,4
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Distribución de la renta P80/P20;2022;2,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Distribución de la renta P80/P20;2021;2,6
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Distribución de la renta P80/P20;2020;2,7
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Distribución de la renta P80/P20;2019;2,5
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Distribución de la renta P80/P20;2018;2,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Distribución de la renta P80/P20;2017;2,3
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Distribución de la renta P80/P20;2016;2,7
34004 Aguilar de Campoo;3400401 Aguilar de Campoo distrito 01;3400401002 Aguilar de Campoo sección 01002;Distribución de la renta P80/P20;2015;2,7
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Índice de Gini;2023;24,3
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Índice de Gini;2022;23,7
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Índice de Gini;2021;23,4
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Índice de Gini;2020;25,6
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Índice de Gini;2019;24,7
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Índice de Gini;2018;25,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Índice de Gini;2017;25,8
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Índice de Gini;2016;26,3
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Índice de Gini;2015;27,5
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Distribución de la renta P80/P20;2023;2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Distribución de la renta P80/P20;2022;2,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Distribución de la renta P80/P20;2021;2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Distribución de la renta P80/P20;2020;2,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Distribución de la renta P80/P20;2019;2,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Distribución de la renta P80/P20;2018;2,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Distribución de la renta P80/P20;2017;2,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Distribución de la renta P80/P20;2016;2,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;;Distribución de la renta P80/P20;2015;2,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Índice de Gini;2023;23
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Índice de Gini;2022;23,3
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Índice de Gini;2021;23,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Índice de Gini;2020;25,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Índice de Gini;2019;24,9
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Índice de Gini;2018;23,7
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Índice de Gini;2017;24,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Índice de Gini;2016;24,9
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Índice de Gini;2015;25,7
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Distribución de la renta P80/P20;2023;2,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Distribución de la renta P80/P20;2022;2,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Distribución de la renta P80/P20;2021;2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Distribución de la renta P80/P20;2020;2,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Distribución de la renta P80/P20;2019;2,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Distribución de la renta P80/P20;2018;2,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Distribución de la renta P80/P20;2017;2,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Distribución de la renta P80/P20;2016;2,2
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402001 Aguilar de Campoo sección 02001;Distribución de la renta P80/P20;2015;2,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402002 Aguilar de Campoo sección 02002;Índice de Gini;2023;25,5
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402002 Aguilar de Campoo sección 02002;Índice de Gini;2022;25,3
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402002 Aguilar de Campoo sección 02002;Índice de Gini;2021;24,7
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402002 Aguilar de Campoo sección 02002;Índice de Gini;2020;27,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402002 Aguilar de Campoo sección 02002;Índice de Gini;2019;25,7
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402002 Aguilar de Campoo sección 02002;Índice de Gini;2018;26,1
34004 Aguilar de Campoo;3400402 Aguilar de Campoo distrito 02;3400402002 Aguilar de Campoo sección 02002;Índice de Gini;2017;27,4
