Municipios;Distritos;Secciones;Índice de Gini y Distribución de la renta P80/P20;Periodo;Total
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Índice de Gini;2021;24,7
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Índice de Gini;2020;30,9
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Índice de Gini;2019;29,9
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Índice de Gini;2018;28,2
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Índice de Gini;2017;28
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Índice de Gini;2016;29,4
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Índice de Gini;2015;27
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Distribución de la renta P80/P20;2023;2,6
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Distribución de la renta P80/P20;2022;2,2
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Distribución de la renta P80/P20;2021;2,2
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Distribución de la renta P80/P20;2020;2,4
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Distribución de la renta P80/P20;2019;2,5
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Distribución de la renta P80/P20;2018;2,4
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Distribución de la renta P80/P20;2017;2,3
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Distribución de la renta P80/P20;2016;2,4
05005 Albornos;0500501 Albornos distrito 01;0500501001 Albornos sección 01001;Distribución de la renta P80/P20;2015;2
05007 Aldeanueva de Santa Cruz;;;Índice de Gini;2023;22,9
05007 Aldeanueva de Santa Cruz;;;Índice de Gini;2022;26,6
05007 Aldeanueva de Santa Cruz;;;Índice de Gini;2021;24
05007 Aldeanueva de Santa Cruz;;;Índice de Gini;2020;25,4
05007 Aldeanueva de Santa Cruz;;;Índice de Gini;2019;24,4
05007 Aldeanueva de Santa Cruz;;;Índice de Gini;2018;24,4
05007 Aldeanueva de Santa Cruz;;;Índice de Gini;2017;27,4
05007 Aldeanueva de Santa Cruz;;;Índice de Gini;2016;30,6
05007 Aldeanueva de Santa Cruz;;;Índice de Gini;2015;25,5
05007 Aldeanueva de Santa Cruz;;;Distribución de la renta P80/P20;2023;2
05007 Aldeanueva de Santa Cruz;;;Distribución de la renta P80/P20;2022;2,2
05007 Aldeanueva de Santa Cruz;;;Distribución de la renta P80/P20;2021;2,1
