Provincia;CMuni;Periodo;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia
Burgos;09134;2023;0;6;8;10;5;10;11;15;10;12;18;26;22;33;23;12;15;13;12;4;2;25;161;81;3,240;0,658
Burgos;09135;2021;1;0;1;0;0;1;1;3;2;2;0;3;3;7;4;4;4;4;1;2;0;1;22;20;20,000;0,955
Burgos;09135;2022;1;0;0;1;0;0;2;2;2;2;2;0;6;7;3;3;5;2;2;1;1;1;23;18;18,000;0,826
Burgos;09135;2023;1;0;0;1;1;1;2;0;4;2;2;0;4;7;5;2;5;2;2;2;0;1;23;19;19,000;0,870
Burgos;09136;2021;2;3;8;2;9;9;8;11;10;19;12;12;24;18;17;21;8;11;13;6;0;15;130;78;5,200;0,715
Burgos;09136;2022;2;4;6;3;9;7;11;8;12;11;14;12;24;19;17;22;8;11;10;9;0;15;125;79;5,267;0,752
Burgos;09136;2023;0;5;9;6;8;10;11;8;12;16;13;14;21;22;18;24;10;6;11;6;2;22;133;77;3,500;0,744
Burgos;09137;2021;0;12;17;12;8;6;20;15;16;23;20;16;18;14;10;6;20;10;7;9;1;43;154;63;1,465;0,688
Burgos;09137;2022;0;13;11;17;8;6;13;21;14;21;18;17;18;15;13;7;19;8;10;7;1;43;149;65;1,512;0,725
Burgos;09137;2023;0;15;11;19;10;6;7;25;18;23;20;16;20;14;11;10;18;7;12;5;2;47;157;65;1,383;0,713
Burgos;09138;2021;0;3;2;3;5;1;5;5;6;5;5;9;8;5;8;10;9;2;8;6;0;9;53;43;4,778;0,981
Burgos;09138;2022;0;5;2;3;5;5;4;5;8;7;7;10;7;7;6;9;11;3;6;5;1;11;64;41;3,727;0,812
Burgos;09138;2023;0;4;2;1;5;3;3;3;6;4;6;10;8;7;10;7;8;5;8;3;1;8;54;42;5,250;0,926
Burgos;09139;2021;0;2;0;0;0;2;4;9;7;6;7;2;13;12;6;9;6;6;4;2;2;2;62;35;17,500;0,597
Burgos;09139;2022;0;1;1;0;0;1;2;9;8;6;6;4;9;14;5;10;6;7;3;1;1;2;59;33;16,500;0,593
Burgos;09139;2023;0;3;1;1;0;0;3;10;8;7;3;5;9;14;6;12;5;4;7;1;0;5;59;35;7,000;0,678
Burgos;09140;2021;0;8;2;1;2;12;3;7;8;12;16;13;7;5;12;16;11;6;4;2;1;11;85;52;4,727;0,741
Burgos;09140;2022;0;5;3;3;3;10;3;6;7;12;13;16;5;7;11;16;11;7;3;3;1;12;81;52;4,333;0,790
Burgos;09140;2023;0;3;3;2;3;6;3;5;7;10;11;17;7;5;9;17;11;9;3;2;1;9;73;52;5,778;0,836
Burgos;09141;2021;0;26;42;45;41;26;20;32;52;62;84;57;60;52;45;38;28;20;23;14;5;121;478;173;1,430;0,615
Burgos;09141;2022;0;24;42;45;49;34;20;30;61;55;88;59;60;55;47;41;31;17;19;14;6;121;501;175;1,446;0,591
Burgos;09141;2023;1;25;42;48;51;34;20;22;54;62;92;54;61;60;44;45;35;18;18;13;6;125;500;180;1,440;0,610
Burgos;09143;2021;0;0;0;1;0;2;3;1;1;1;2;1;3;6;0;3;2;2;0;1;1;1;20;9;9,000;0,500
Burgos;09143;2022;0;0;0;1;0;2;3;1;1;1;2;1;3;5;1;3;1;3;0;0;1;1;19;9;9,000;0,526
Burgos;09143;2023;0;0;0;1;0;2;2;1;2;2;2;1;1;7;1;2;1;2;1;0;1;1;20;8;8,000;0,450
Burgos;09144;2021;0;0;0;0;1;0;2;2;1;1;3;1;7;3;5;2;3;5;3;4;0;0;21;22;inf;1,048
Burgos;09144;2022;0;0;0;1;0;1;2;2;0;2;1;3;6;5;4;3;2;2;7;1;2;1;22;21;21,000;1,000
Burgos;09144;2023;0;0;0;0;1;1;1;3;0;2;1;3;5;5;3;5;2;2;7;0;1;0;22;20;inf;0,909
Burgos;09148;2021;0;4;6;6;6;2;6;7;6;7;12;11;9;8;2;3;11;0;4;2;1;17;73;23;1,353;0,548
Burgos;09148;2022;0;4;5;6;4;3;6;6;5;9;8;12;8;11;4;2;10;2;2;2;2;16;71;24;1,500;0,563
