Provincia;CMuni;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;05096;2022;54;35;89;60,674;39,326
Avila;05096;2023;50;30;80;62,500;37,500
Avila;05097;2021;256;239;495;51,717;48,283
Avila;05097;2022;248;234;482;51,452;48,548
Avila;05097;2023;234;230;464;50,431;49,569
Avila;05099;2021;275;210;485;56,701;43,299
Avila;05099;2022;266;204;470;56,596;43,404
Avila;05099;2023;254;200;454;55,947;44,053
Avila;05100;2021;148;132;280;52,857;47,143
Avila;05100;2022;145;124;269;53,903;46,097
Avila;05100;2023;145;120;265;54,717;45,283
Avila;05101;2021;160;113;273;58,608;41,392
Avila;05101;2022;159;113;272;58,456;41,544
Avila;05101;2023;187;143;330;56,667;43,333
Avila;05102;2021;1097;1057;2154;50,929;49,071
Avila;05102;2022;1116;1051;2167;51,500;48,500
Avila;05102;2023;1122;1042;2164;51,848;48,152
Avila;05103;2021;31;31;62;50,000;50,000
Avila;05103;2022;31;28;59;52,542;47,458
Avila;05103;2023;32;30;62;51,613;48,387
Avila;05104;2021;19;13;32;59,375;40,625
Avila;05104;2022;18;12;30;60,000;40,000
Avila;05104;2023;17;12;29;58,621;41,379
Avila;05105;2021;201;177;378;53,175;46,825
Avila;05105;2022;196;180;376;52,128;47,872
Avila;05105;2023;192;169;361;53,186;46,814
Avila;05106;2021;13;13;26;50,000;50,000
Avila;05106;2022;12;12;24;50,000;50,000
Avila;05106;2023;14;12;26;53,846;46,154
Avila;05107;2021;32;16;48;66,667;33,333
Avila;05107;2022;31;17;48;64,583;35,417
Avila;05107;2023;30;16;46;65,217;34,783
Avila;05108;2021;24;16;40;60,000;40,000
Avila;05108;2022;23;15;38;60,526;39,474
Avila;05108;2023;24;19;43;55,814;44,186
Avila;05109;2021;248;224;472;52,542;47,458
Avila;05109;2022;240;223;463;51,836;48,164
Avila;05109;2023;232;219;451;51,441;48,559
Avila;05110;2021;447;406;853;52,403;47,597
Avila;05110;2022;454;405;859;52,852;47,148
Avila;05110;2023;435;403;838;51,909;48,091
Avila;05112;2021;61;48;109;55,963;44,037
Avila;05112;2022;57;44;101;56,436;43,564
Avila;05112;2023;68;49;117;58,120;41,880
Avila;05113;2021;30;28;58;51,724;48,276
Avila;05113;2022;32;30;62;51,613;48,387
Avila;05113;2023;30;35;65;46,154;53,846
Avila;05114;2021;698;683;1381;50,543;49,457
Avila;05114;2022;683;672;1355;50,406;49,594
Avila;05114;2023;691;650;1341;51,529;48,471
Avila;05115;2021;339;299;638;53,135;46,865
Avila;05115;2022;364;314;678;53,687;46,313
Avila;05115;2023;388;321;709;54,725;45,275
Avila;05116;2021;46;47;93;49,462;50,538
Avila;05116;2022;50;51;101;49,505;50,495
Avila;05116;2023;50;49;99;50,505;49,495
Avila;05117;2021;116;86;202;57,426;42,574
Avila;05117;2022;115;83;198;58,081;41,919
Avila;05117;2023;114;83;197;57,868;42,132
Avila;05118;2021;41;31;72;56,944;43,056
Avila;05118;2022;38;32;70;54,286;45,714
Avila;05118;2023;38;33;71;53,521;46,479
Avila;05119;2021;11;11;22;50,000;50,000
Avila;05119;2022;10;11;21;47,619;52,381
Avila;05119;2023;19;20;39;48,718;51,282
Avila;05120;2021;22;11;33;66,667;33,333
Avila;05120;2022;21;9;30;70,000;30,000
Avila;05120;2023;22;13;35;62,857;37,143
Avila;05121;2021;172;164;336;51,190;48,810
Avila;05121;2022;176;162;338;52,071;47,929
Avila;05121;2023;186;169;355;52,394;47,606
Avila;05122;2021;58;53;111;52,252;47,748
Avila;05122;2022;63;55;118;53,390;46,610
Avila;05122;2023;61;54;115;53,043;46,957
Avila;05123;2021;58;60;118;49,153;50,847
Avila;05123;2022;60;54;114;52,632;47,368
Avila;05123;2023;61;56;117;52,137;47,863
Avila;05124;2021;45;53;98;45,918;54,082
Avila;05124;2022;44;45;89;49,438;50,562
Avila;05124;2023;40;38;78;51,282;48,718
Avila;05125;2021;28;31;59;47,458;52,542
Avila;05125;2022;30;31;61;49,180;50,820
Avila;05125;2023;29;27;56;51,786;48,214
Avila;05126;2021;36;24;60;60,000;40,000
Avila;05126;2022;36;23;59;61,017;38,983
Avila;05126;2023;41;37;78;52,564;47,436
Avila;05127;2021;405;338;743;54,509;45,491
Avila;05127;2022;397;327;724;54,834;45,166
Avila;05127;2023;406;323;729;55,693;44,307
Avila;05128;2021;196;182;378;51,852;48,148
Avila;05128;2022;196;189;385;50,909;49,091
Avila;05128;2023;202;187;389;51,928;48,072
Avila;05129;2021;70;44;114;61,404;38,596
Avila;05129;2022;67;42;109;61,468;38,532
Avila;05129;2023;63;35;98;64,286;35,714
Avila;05130;2021;56;50;106;52,830;47,170
Avila;05130;2022;58;54;112;51,786;48,214
Avila;05130;2023;59;50;109;54,128;45,872
Avila;05131;2021;49;35;84;58,333;41,667
Avila;05131;2022;50;38;88;56,818;43,182
Avila;05131;2023;50;39;89;56,180;43,820
Avila;05132;2021;481;451;932;51,609;48,391
Avila;05132;2022;486;445;931;52,202;47,798
Avila;05132;2023;485;430;915;53,005;46,995
Avila;05133;2021;32;28;60;53,333;46,667
Avila;05133;2022;31;29;60;51,667;48,333
Avila;05133;2023;32;25;57;56,140;43,860
Avila;05134;2021;29;25;54;53,704;46,296
