Provincia;CMuni;CUSEC;area_km2
Avila;05161;0516101001;49,930
Avila;05162;0516201001;60,890
Avila;05163;0516301001;27,853
Avila;05163;0516301002;45,892
Avila;05164;0516401001;9,155
Avila;05165;0516501001;78,809
Avila;05166;0516601001;20,266
Avila;05167;0516701001;39,986
Avila;05168;0516801001;17,306
Avila;05168;0516801002;1,297
Avila;05168;0516802001;30,333
Avila;05168;0516802002;49,097
Avila;05169;0516901001;20,020
Avila;05170;0517001001;11,084
Avila;05171;0517101001;7,895
Avila;05172;0517201001;11,280
Avila;05173;0517301001;43,028
Avila;05174;0517401001;14,381
Avila;05175;0517501001;18,484
Avila;05176;0517601001;36,848
Avila;05177;0517701001;23,230
Avila;05178;0517801001;52,972
Avila;05179;0517901001;21,000
Avila;05180;0518001001;10,886
Avila;05181;0518101001;16,144
Avila;05182;0518201001;68,998
Avila;05183;0518301001;14,076
Avila;05184;0518401001;85,863
Avila;05185;0518501001;23,517
Avila;05186;0518601001;28,697
Avila;05187;0518701001;32,695
Avila;05187;0518702001;22,542
Avila;05188;0518801001;6,514
Avila;05189;0518901001;3,402
Avila;05190;0519001001;11,064
Avila;05191;0519101001;11,289
Avila;05192;0519201001;43,295
Avila;05193;0519301001;40,663
Avila;05194;0519401001;19,769
Avila;05195;0519501001;65,518
Avila;05196;0519601001;24,382
Avila;05197;0519701001;7,548
Avila;05198;0519801001;20,383
Avila;05199;0519901001;16,498
Avila;05200;0520001001;7,362
Avila;05201;0520101001;74,633
Avila;05204;0520401001;26,576
Avila;05205;0520501001;35,310
Avila;05206;0520601001;10,356
Avila;05207;0520701001;36,995
Avila;05208;0520801001;12,984
Avila;05209;0520901001;38,081
Avila;05210;0521001001;17,375
Avila;05211;0521101001;60,463
Avila;05212;0521201001;35,779
Avila;05213;0521301001;30,520
Avila;05214;0521401001;14,509
Avila;05215;0521501001;50,486
Avila;05216;0521601001;45,642
Avila;05217;0521701001;6,837
Avila;05218;0521801001;34,757
Avila;05219;0521901001;18,610
Avila;05220;0522001001;18,548
Avila;05221;0522101001;29,619
Avila;05222;0522201001;41,356
Avila;05224;0522401001;11,133
Avila;05225;0522501001;28,352
Avila;05226;0522601001;22,402
Avila;05227;0522701001;11,946
Avila;05228;0522801001;42,683
Avila;05229;0522901001;13,340
Avila;05230;0523001001;8,414
Avila;05231;0523101001;16,113
Avila;05232;0523201001;7,277
Avila;05233;0523301001;20,737
Avila;05234;0523401001;13,693
Avila;05235;0523501001;20,067
Avila;05236;0523601001;68,397
Avila;05237;0523701001;37,136
Avila;05238;0523801001;52,002
Avila;05239;0523901001;90,142
Avila;05240;0524001001;20,876
Avila;05240;0524002001;22,107
Avila;05241;0524101001;73,706
Avila;05241;0524101002;2,589
Avila;05242;0524201001;27,245
Avila;05243;0524301001;52,078
Avila;05244;0524401001;9,226
Avila;05245;0524501001;95,439
Avila;05246;0524601001;20,780
Avila;05247;0524701001;58,401
Avila;05249;0524901001;11,693
Avila;05251;0525101001;46,154
Avila;05252;0525201001;21,754
Avila;05253;0525301001;18,179
Avila;05254;0525401001;20,439
Avila;05256;0525601001;18,480
Avila;05257;0525701001;39,344
Avila;05258;0525801001;21,092
Avila;05259;0525901001;17,562
Avila;05260;0526001001;45,989
Avila;05261;0526101001;6,880
Avila;05262;0526201001;41,591
Avila;05263;0526301001;56,020
Avila;05264;0526401001;10,247
Avila;05265;0526501001;16,593
Avila;05266;0526601001;40,337
Avila;05267;0526701001;43,880
Avila;05901;0590101001;96,007
Avila;05902;0590201001;65,744
Avila;05903;0590301001;33,811
Avila;05904;0590401001;68,462
Avila;05905;0590501001;21,261
Burgos;09001;0900101001;35,048
Burgos;09003;0900301001;10,272
Burgos;09006;0900601001;17,942
Burgos;09007;0900701001;9,439
Burgos;09009;0900901001;12,343
Burgos;09010;0901001001;8,326
Burgos;09011;0901101001;52,107
Burgos;09012;0901201001;34,367
Burgos;09013;0901301001;8,213
Burgos;09014;0901401001;139,753
Burgos;09016;0901601001;12,473
Burgos;09017;0901701001;13,433
Burgos;09018;0901801001;0,123
Burgos;09018;0901801002;0,554
Burgos;09018;0901801003;0,116
Burgos;09018;0901801004;0,094
Burgos;09018;0901801005;0,382
Burgos;09018;0901801006;0,334
Burgos;09018;0901801007;0,085
Burgos;09018;0901801008;0,084
Burgos;09018;0901801009;0,047
Burgos;09018;0901802001;0,203
Burgos;09018;0901802002;0,137
Burgos;09018;0901802003;0,145
Burgos;09018;0901802004;0,090
Burgos;09018;0901802005;59,730
Burgos;09018;0901803001;0,055
Burgos;09018;0901803002;0,076
Burgos;09018;0901803003;0,091
Burgos;09018;0901803004;0,400
Burgos;09018;0901803005;64,271
Burgos;09018;0901803006;0,095
Burgos;09018;0901803007;0,036
Burgos;09018;0901803008;0,037
Burgos;09019;0901901001;26,665
Burgos;09020;0902001001;57,059
Burgos;09021;0902101001;18,491
Burgos;09022;0902201001;13,579
Burgos;09023;0902301001;31,423
Burgos;09024;0902401001;27,974
Burgos;09025;0902501001;6,960
Burgos;09026;0902601001;77,686
Burgos;09027;0902701001;12,243
Burgos;09029;0902901001;24,733
Burgos;09030;0903001001;41,652
Burgos;09032;0903201001;36,865
Burgos;09033;0903301001;21,371
Burgos;09034;0903401001;64,326
Burgos;09035;0903501001;36,494
Burgos;09036;0903601001;15,416
Burgos;09037;0903701001;64,106
Burgos;09038;0903801001;13,410
Burgos;09039;0903901001;20,749
Burgos;09041;0904101001;3,874
Burgos;09043;0904301001;46,685
Burgos;09044;0904401001;23,469
Burgos;09045;0904501001;120,562
Burgos;09046;0904601001;7,753
Burgos;09047;0904701001;10,228
Burgos;09048;0904801001;0,753
Burgos;09048;0904801002;137,709
Burgos;09050;0905001001;33,694
Burgos;09051;0905101001;15,637
Burgos;09052;0905201001;7,831
Burgos;09054;0905401001;33,134
Burgos;09055;0905501001;21,064
Burgos;09056;0905601001;50,812
Burgos;09056;0905601002;4,873
Burgos;09056;0905601003;0,754
Burgos;09056;0905601004;24,701
Burgos;09057;0905701001;9,918
Burgos;09058;0905801001;13,274
Burgos;09059;0905901001;0,081
Burgos;09059;0905901002;0,044
Burgos;09059;0905902001;0,064
Burgos;09059;0905902002;0,031
Burgos;09059;0905902003;0,030
Burgos;09059;0905902004;0,052
Burgos;09059;0905902005;0,070
Burgos;09059;0905903001;0,052
Burgos;09059;0905903002;0,147
Burgos;09059;0905903003;0,053
Burgos;09059;0905903004;0,093
Burgos;09059;0905903005;15,450
Burgos;09059;0905903006;0,807
Burgos;09059;0905903007;0,144
Burgos;09059;0905903008;0,076
