Provincia;CMuni;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar;100_y_más_años;De_0_a_4_años;De_5_a_9_años;De_10_a_14_años;De_15_a_19_años;De_20_a_24_años;De_25_a_29_años;De_30_a_34_años;De_35_a_39_años;De_40_a_44_años;De_45_a_49_años;De_50_a_54_años;De_55_a_59_años;De_60_a_64_años;De_65_a_69_años;De_70_a_74_años;De_75_a_79_años;De_80_a_84_años;De_85_a_89_años;De_90_a_94_años;De_95_a_99_años;poblacion__menor_16;poblacion_16_64;poblacion_mayor_65;Indice_Envejecimiento;Tasa_Dependencia;Hombres;Mujeres;Población;%_Hombres;%_Mujeres;area_km2;Densidad de población;Rural
Burgos;09391;2023;55,000;44,000;79,500;20,500;2,200;1;8;10;10;8;10;14;18;21;26;27;41;31;38;32;24;24;20;24;11;6;30;232;142;4,733;0,741;222;182;404;54,950;45,050;79,149;5,104;True
Burgos;09392;2021;54,200;33,300;98,000;2,000;2,400;0;1;1;1;1;3;3;3;5;1;3;7;7;1;2;2;8;3;3;0;1;3;34;19;6,333;0,647;31;25;56;55,357;44,643;5,731;9,771;True
Burgos;09392;2022;55,700;28,600;98,100;1,900;2,500;0;1;1;1;0;2;4;3;4;0;2;6;7;3;1;2;7;3;3;0;1;3;31;17;5,667;0,645;27;24;51;52,941;47,059;5,731;8,899;True
Burgos;09392;2023;56,000;25,000;96,200;3,800;2,600;0;0;1;1;1;1;4;4;3;1;2;5;9;3;1;2;4;6;3;1;1;2;33;18;9,000;0,606;28;25;53;52,830;47,170;5,731;9,248;True
Burgos;09394;2021;54,600;44,600;94,300;5,700;2,000;1;6;23;23;28;24;22;31;30;41;47;71;88;61;37;51;42;48;38;33;9;58;437;259;4,466;0,725;370;384;754;49,072;50,928;36,783;20,499;True
Burgos;09394;2022;53,900;44,500;92,500;7,500;2,000;1;9;22;23;23;23;22;24;32;41;48;70;84;65;38;46;47;37;42;29;8;59;427;248;4,203;0,719;366;368;734;49,864;50,136;36,783;19,955;True
Burgos;09394;2023;54,900;45,900;93,000;7,000;2,000;1;10;18;23;28;23;29;21;33;34;54;71;80;68;43;40;50;35;39;28;4;57;435;240;4,211;0,683;363;369;732;49,590;50,410;36,783;19,900;True
Burgos;09395;2021;58,600;69,200;97,000;3,000;1,500;0;2;3;2;3;1;6;2;4;14;6;16;14;13;14;12;16;6;5;3;0;8;78;56;7,000;0,821;86;56;142;60,563;39,437;78,636;1,806;True
Burgos;09395;2022;55,900;67,400;95,700;4,300;1,600;0;1;1;1;3;1;4;4;3;13;5;17;15;12;11;14;14;9;4;1;2;4;76;55;13,750;0,776;86;49;135;63,704;36,296;78,636;1,717;True
Burgos;09395;2023;57,300;67,500;94,500;5,500;1,500;0;1;0;2;7;3;5;5;3;10;7;18;16;16;7;13;12;9;4;0;2;4;89;47;11,750;0,573;85;55;140;60,714;39,286;78,636;1,780;True
Burgos;09396;2021;55,000;37,700;92,100;7,900;2,100;0;3;4;1;3;5;7;8;10;19;12;16;8;7;12;16;14;10;5;6;1;9;94;64;7,111;0,777;89;78;167;53,293;46,707;23,189;7,202;True
Burgos;09396;2022;54,500;40,700;90,500;9,500;2,100;0;3;6;1;2;5;7;5;10;15;17;15;9;7;9;19;12;11;5;4;4;10;92;64;6,400;0,804;87;79;166;52,410;47,590;23,189;7,159;True
Burgos;09396;2023;55,100;44,100;87,200;12,800;2,000;0;4;6;1;0;7;6;7;11;13;17;15;10;9;7;16;14;12;5;4;4;11;95;62;5,636;0,768;89;79;168;52,976;47,024;23,189;7,245;True
Burgos;09398;2021;56,200;53,100;100,000;0,000;2,100;0;2;0;0;0;1;0;2;13;3;2;3;5;11;11;5;3;1;0;4;1;2;40;25;12,500;0,675;44;23;67;65,672;34,328;30,792;2,176;True
Burgos;09398;2022;58,700;57,100;100,000;0,000;1,800;0;2;0;0;0;0;1;2;8;9;2;3;5;11;9;7;4;1;0;1;2;2;41;24;12,000;0,634;43;24;67;64,179;35,821;30,792;2,176;True
Burgos;09398;2023;58,600;65,700;100,000;0,000;1,700;1;0;0;0;0;0;0;1;7;9;4;2;5;8;11;7;4;2;0;0;1;0;36;26;inf;0,722;44;18;62;70,968;29,032;30,792;2,014;True
Burgos;09400;2021;49,800;37,000;96,800;3,200;2,400;1;12;13;11;8;12;18;18;23;21;28;20;33;29;27;26;22;10;9;9;3;38;208;107;2,816;0,697;193;160;353;54,674;45,326;25,671;13,751;True
Burgos;09400;2022;49,200;35,100;95,400;4,600;2,500;1;16;13;14;9;10;18;18;21;20;37;18;30;30;29;29;21;11;12;8;4;45;209;115;2,556;0,766;201;168;369;54,472;45,528;25,671;14,374;True
Burgos;09400;2023;49,600;34,000;96,400;3,600;2,400;1;14;12;18;10;14;13;22;20;25;33;21;23;37;25;29;21;14;11;6;3;46;216;110;2,391;0,722;201;171;372;54,032;45,968;25,671;14,491;True
Burgos;09403;2021;56,100;67,900;97,000;3,000;1,800;0;0;1;1;0;3;10;3;7;5;5;7;12;8;10;5;9;6;7;0;0;2;60;37;18,500;0,650;58;41;99;58,586;41,414;30,963;3,197;True
Burgos;09403;2022;56,900;66,700;95,100;4,900;1,800;0;2;0;2;0;1;9;4;5;8;2;10;10;9;9;7;8;7;6;2;0;4;58;39;9,750;0,741;60;41;101;59,406;40,594;30,963;3,262;True
Burgos;09403;2023;57,900;63,000;96,000;4,000;1,800;0;2;0;2;0;1;10;3;4;8;3;10;9;9;8;7;9;7;5;4;0;4;57;40;10,000;0,772;60;41;101;59,406;40,594;30,963;3,262;True
Burgos;09405;2021;59,500;37,500;98,400;1,600;2,200;0;0;4;1;4;3;7;3;4;4;10;12;11;7;11;8;9;9;8;7;2;6;64;54;9,000;0,938;73;51;124;58,871;41,129;20,461;6,060;True
Burgos;09405;2022;59,200;39,300;99,200;0,800;2,100;1;0;3;1;3;5;7;3;2;5;6;12;9;10;10;11;8;8;9;6;3;5;61;56;11,200;1,000;70;52;122;57,377;42,623;20,461;5,963;True
Burgos;09405;2023;58,000;42,100;97,500;2,500;2,100;1;0;3;1;3;5;7;5;0;6;7;9;8;13;9;9;8;7;8;7;3;5;62;52;10,400;0,919;69;50;119;57,983;42,017;20,461;5,816;True
Burgos;09406;2021;42,900;43,800;92,200;7,800;2,100;0;17;20;20;8;11;17;17;29;31;60;30;19;18;9;13;7;7;4;5;2;59;238;47;0,797;0,445;197;147;344;57,267;42,733;16,630;20,686;True
Burgos;09406;2022;42,400;42,800;91,600;8,400;2,100;0;17;14;19;9;12;16;20;26;31;44;29;21;23;11;11;10;8;1;5;3;52;229;49;0,942;0,441;192;138;330;58,182;41,818;16,630;19,844;True
Burgos;09406;2023;42,100;41,400;91,800;8,200;2,200;0;15;13;25;7;16;13;25;31;25;47;35;27;21;12;11;9;6;3;3;3;54;246;47;0,870;0,411;203;144;347;58,501;41,499;16,630;20,866;True
Burgos;09407;2021;57,700;75,000;96,300;3,700;1,400;0;0;1;0;0;0;0;0;1;0;3;6;3;5;0;2;3;1;0;0;0;1;18;6;6,000;0,389;12;13;25;48,000;52,000;16,951;1,475;True
Burgos;09407;2022;60,300;73,700;96,300;3,700;1,400;0;0;0;0;0;0;0;2;0;0;2;4;6;3;3;2;1;3;0;0;0;0;17;9;inf;0,529;12;14;26;46,154;53,846;16,951;1,534;True
Burgos;09407;2023;59,100;85,700;96,200;3,800;1,200;0;0;0;0;0;0;0;1;1;0;0;7;6;3;3;2;1;3;0;0;0;0;18;9;inf;0,500;13;14;27;48,148;51,852;16,951;1,593;True
Burgos;09408;2021;58,700;50,000;97,700;2,300;2,400;0;0;2;0;1;3;1;0;0;6;5;4;3;2;4;3;6;2;0;3;0;2;25;18;9,000;0,800;29;16;45;64,444;35,556;19,109;2,355;True
Burgos;09408;2022;59,900;50,000;97,600;2,400;2,300;0;0;0;0;1;3;1;0;1;3;5;4;3;3;4;3;5;2;1;3;0;0;24;18;inf;0,750;26;16;42;61,905;38,095;19,109;2,198;True
Burgos;09408;2023;60,800;41,200;97,600;2,400;2,500;0;0;0;0;1;2;2;0;1;3;3;6;3;3;3;2;7;2;1;2;1;0;24;18;inf;0,750;27;15;42;64,286;35,714;19,109;2,198;True
Burgos;09409;2021;56,900;47,100;95,500;4,500;1,900;0;4;1;3;7;4;3;2;2;12;8;8;16;16;9;7;11;10;4;4;1;9;77;46;5,111;0,714;70;62;132;53,030;46,970;70,379;1,876;True
Burgos;09409;2022;56,300;50,800;95,300;4,700;1,900;0;3;1;2;7;5;2;1;1;11;9;6;15;19;8;8;16;6;6;5;1;7;75;50;7,143;0,760;70;62;132;53,030;46,970;70,379;1,876;True
Burgos;09409;2023;56,700;56,900;96,600;3,400;1,800;0;3;1;2;6;6;1;2;3;9;12;6;15;14;9;7;10;8;8;3;2;7;73;47;6,714;0,740;66;61;127;51,969;48,031;70,379;1,805;True
Burgos;09410;2021;49,911;43,059;94,951;5,049;2,100;2;135;189;190;173;146;144;191;230;335;390;340;338;305;233;178;135;129;116;80;16;549;2557;889;1,619;0,562;2032;1963;3995;50,864;49,136;262,969;15,192;True
Burgos;09410;2022;50,062;44,423;94,597;5,403;2,100;2;129;175;194;187;146;143;186;234;307;377;363;349;317;252;178;144;119;128;86;18;536;2571;927;1,729;0,569;2035;1999;4034;50,446;49,554;262,969;15,340;True
Burgos;09410;2023;50,504;44,574;93,988;6,012;2,054;4;129;172;198;186;146;149;187;237;300;367;380;348;310;283;196;156;110;125;79;27;536;2573;980;1,828;0,589;2063;2026;4089;50,452;49,548;262,969;15,549;True
Burgos;09411;2021;52,400;38,900;93,900;6,100;2,300;0;3;5;1;0;8;6;10;17;6;14;9;17;17;21;9;10;5;3;3;1;9;104;52;5,778;0,587;101;64;165;61,212;38,788;38,442;4,292;True
Burgos;09411;2022;52,400;41,100;92,100;7,900;2,300;0;3;5;1;0;7;7;8;16;13;13;9;17;18;18;10;8;7;4;2;2;9;108;51;5,667;0,556;100;68;168;59,524;40,476;38,442;4,370;True
Burgos;09411;2023;52,500;41,100;93,300;6,700;2,300;0;2;5;2;0;9;7;8;13;13;9;12;15;17;18;15;5;8;3;2;2;9;103;53;5,889;0,602;96;69;165;58,182;41,818;38,442;4,292;True
Burgos;09412;2021;52,600;49,000;91,300;8,700;1,900;3;22;22;35;35;30;30;34;38;64;57;94;73;74;77;46;49;45;44;25;8;86;522;297;3,453;0,734;491;414;905;54,254;45,746;157,370;5,751;True
Burgos;09412;2022;53,200;51,300;93,100;6,900;1,900;2;19;15;34;31;32;26;39;31;56;61;83;82;73;77;55;47;49;42;24;9;74;508;305;4,122;0,746;487;400;887;54,904;45,096;157,370;5,636;True
Burgos;09412;2023;53,200;52,400;93,500;6,500;1,900;4;19;17;30;38;33;19;34;34;60;58;73;86;75;75;55;48;49;38;25;9;74;502;303;4,095;0,751;479;400;879;54,494;45,506;157,370;5,586;True
Burgos;09413;2021;51,700;54,300;94,100;5,900;1,900;0;6;12;18;12;18;17;23;25;24;39;33;48;48;31;23;25;22;17;14;2;38;285;134;3,526;0,604;245;212;457;53,611;46,389;156,497;2,920;True
Burgos;09413;2022;52,200;54,500;93,500;6,500;1,900;0;7;15;21;10;16;16;24;26;28;34;37;43;54;28;27;23;24;19;12;2;45;286;135;3,000;0,629;254;212;466;54,506;45,494;156,497;2,978;True
Burgos;09413;2023;51,700;54,400;92,800;7,200;1,900;0;11;10;19;14;15;15;25;16;30;31;43;50;54;34;24;25;24;18;14;2;43;290;141;3,279;0,634;256;218;474;54,008;45,992;156,497;3,029;True
Burgos;09414;2021;58,800;45,600;97,500;2,500;2,200;0;3;3;2;0;4;7;10;7;11;12;11;21;25;12;20;8;16;12;8;2;8;108;78;9,750;0,796;117;77;194;60,309;39,691;92,588;2,095;True
Burgos;09414;2022;58,500;48,400;95,900;4,100;2,100;0;4;3;3;2;2;5;10;9;10;11;12;16;27;17;19;8;13;13;9;3;10;104;82;8,200;0,885;119;77;196;60,714;39,286;92,588;2,117;True
Burgos;09414;2023;58,500;45,600;96,800;3,200;2,100;0;4;3;4;2;3;5;8;8;10;13;14;16;24;15;20;11;13;12;8;3;11;103;82;7,455;0,903;120;76;196;61,224;38,776;92,588;2,117;True
Burgos;09415;2021;53,000;34,800;91,900;8,100;2,400;0;6;8;8;13;16;10;14;20;17;20;25;36;43;26;23;24;6;15;4;6;25;211;104;4,160;0,611;190;150;340;55,882;44,118;95,643;3,555;True
Burgos;09415;2022;53,500;36,600;94,200;5,800;2,300;0;5;9;6;14;9;12;8;21;20;19;21;33;43;32;21;23;9;9;5;6;23;197;105;4,565;0,650;181;144;325;55,692;44,308;95,643;3,398;True
Burgos;09415;2023;53,300;33,100;93,900;6,100;2,300;1;4;7;9;13;10;14;6;17;23;20;23;29;44;30;27;25;8;6;6;4;23;196;107;4,652;0,663;183;143;326;56,135;43,865;95,643;3,409;True
Burgos;09416;2021;50,700;75,900;97,800;2,200;1,600;0;2;0;1;2;0;4;0;4;3;2;5;6;9;5;4;1;0;1;0;0;3;35;11;3,667;0,400;31;18;49;63,265;36,735;19,254;2,545;True
Burgos;09416;2022;50,500;69,000;98,000;2,000;1,700;0;2;0;1;2;0;4;1;2;2;2;2;8;10;5;3;2;0;0;0;0;3;33;10;3,333;0,394;31;15;46;67,391;32,609;19,254;2,389;True
Burgos;09416;2023;52,400;70,400;100,000;0,000;1,700;0;3;0;1;0;3;3;2;2;1;2;3;7;8;7;5;2;0;0;0;0;4;31;14;3,500;0,581;32;17;49;65,306;34,694;19,254;2,545;True
Burgos;09417;2021;60,100;50,000;100,000;0,000;2,200;0;0;1;0;0;2;2;1;1;2;2;3;4;5;2;0;6;4;3;2;0;1;22;17;17,000;0,818;23;17;40;57,500;42,500;18,315;2,184;True
Burgos;09417;2022;60,500;52,600;100,000;0,000;2,200;0;0;0;1;0;2;2;1;1;1;2;3;6;2;5;0;3;5;4;1;0;1;20;18;18,000;0,950;22;17;39;56,410;43,590;18,315;2,129;True
Burgos;09417;2023;61,700;50,000;100,000;0,000;2,200;0;0;0;1;0;2;1;1;1;3;2;4;3;5;4;1;3;4;5;1;0;1;22;18;18,000;0,864;24;17;41;58,537;41,463;18,315;2,239;True
Burgos;09418;2021;52,100;33,300;92,600;7,400;2,500;0;0;0;3;5;2;6;2;5;2;6;8;16;4;4;3;3;6;5;0;0;4;55;21;5,250;0,455;39;41;80;48,750;51,250;20,859;3,835;True
Burgos;09418;2022;53,800;35,300;91,300;8,700;2,400;0;0;0;3;6;2;6;3;5;2;5;7;14;6;4;4;2;6;6;0;0;4;55;22;5,500;0,473;40;41;81;49,383;50,617;20,859;3,883;True
Burgos;09418;2023;56,800;38,200;96,000;4,000;2,200;0;0;0;1;6;5;2;3;6;2;5;4;15;8;2;6;2;5;6;2;0;2;55;23;11,500;0,455;42;38;80;52,500;47,500;20,859;3,835;True
Burgos;09419;2021;60,600;45,700;92,500;7,500;1,900;0;0;0;0;1;0;1;5;2;0;6;8;12;7;2;7;8;4;4;0;0;0;42;25;inf;0,595;45;22;67;67,164;32,836;27,929;2,399;True
Burgos;09419;2022;60,600;51,400;94,000;6,000;1,800;0;0;0;0;1;0;2;4;2;1;3;10;10;9;3;4;8;6;3;1;0;0;42;25;inf;0,595;45;22;67;67,164;32,836;27,929;2,399;True
Burgos;09419;2023;61,500;52,800;96,800;3,200;1,700;0;1;0;0;1;0;2;2;2;2;1;10;8;14;2;3;9;7;2;1;0;1;42;24;24,000;0,595;46;21;67;68,657;31,343;27,929;2,399;True
Burgos;09421;2021;55,200;45,000;95,000;5,000;2,000;0;4;7;9;6;5;13;13;13;14;16;28;23;27;20;20;13;16;19;3;4;21;157;95;4,524;0,739;161;112;273;58,974;41,026;37,550;7,270;True
Burgos;09421;2022;55,000;42,600;96,600;3,400;2,000;0;3;5;8;3;6;11;13;7;13;13;27;24;30;19;25;11;9;22;2;5;17;146;93;5,471;0,753;151;105;256;58,984;41,016;37,550;6,818;True
Burgos;09421;2023;55,100;46,400;98,000;2,000;2,000;0;5;7;6;4;5;10;17;9;14;13;20;27;31;19;25;14;11;18;5;2;19;149;94;4,947;0,758;152;110;262;58,015;41,985;37,550;6,977;True
Burgos;09422;2021;56,500;41,700;95,800;4,200;2,000;0;0;0;1;0;1;0;2;0;1;0;1;1;3;2;4;0;1;2;0;0;1;9;9;9,000;1,111;11;8;19;57,895;42,105;9,735;1,952;True
Burgos;09422;2022;55,400;36,400;95,800;4,200;2,200;0;0;0;1;0;3;0;1;1;1;1;1;1;3;3;5;0;1;2;0;0;1;12;11;11,000;1,000;14;10;24;58,333;41,667;9,735;2,465;True
Burgos;09422;2023;56,400;36,400;95,800;4,200;2,200;0;0;0;1;2;1;1;1;1;1;1;0;2;1;3;6;0;0;2;1;0;1;11;12;12,000;1,182;13;11;24;54,167;45,833;9,735;2,465;True
Burgos;09423;2021;62,900;85,000;100,000;0,000;1,300;0;0;0;0;0;0;0;1;0;2;3;5;5;2;0;2;1;1;3;1;0;0;18;8;inf;0,444;16;10;26;61,538;38,462;6,343;4,099;True
Burgos;09423;2022;63,400;80,000;100,000;0,000;1,300;0;0;0;0;0;0;0;1;0;0;3;4;7;1;1;1;2;1;3;1;0;0;16;9;inf;0,562;15;10;25;60,000;40,000;6,343;3,941;True
Burgos;09423;2023;63,400;75,000;100,000;0,000;1,400;0;0;0;0;0;0;0;1;0;0;3;3;7;3;1;1;1;1;3;2;0;0;17;9;inf;0,529;16;10;26;61,538;38,462;6,343;4,099;True
Burgos;09424;2021;58,900;60,000;91,900;8,100;1,900;0;0;0;2;1;0;0;2;1;2;1;5;2;5;4;6;4;0;2;0;1;2;19;17;8,500;1,000;23;15;38;60,526;39,474;6,942;5,474;True
Burgos;09424;2022;58,300;57,900;91,900;8,100;1,900;0;0;0;2;1;0;1;2;1;2;0;4;3;4;4;4;6;0;1;1;1;2;18;17;8,500;1,056;23;14;37;62,162;37,838;6,942;5,330;True
Burgos;09424;2023;57,600;60,000;91,900;8,100;1,900;0;0;0;2;1;0;1;2;2;1;1;2;4;5;3;4;6;1;1;0;1;2;19;16;8,000;0,947;23;14;37;62,162;37,838;6,942;5,330;True
Burgos;09425;2021;56,000;40,000;97,700;2,300;2,200;1;6;7;9;16;21;22;33;27;22;33;44;46;45;34;22;34;45;39;21;3;25;306;199;7,960;0,732;295;235;530;55,660;44,340;33,870;15,648;True
Burgos;09425;2022;57,200;41,300;97,400;2,600;2,100;0;7;7;6;16;22;24;26;32;20;28;42;51;50;32;26;33;40;42;19;5;23;308;197;8,565;0,714;296;232;528;56,061;43,939;33,870;15,589;True
Burgos;09425;2023;57,200;40,700;95,600;4,400;2,100;0;3;7;5;12;24;24;20;27;22;31;39;44;49;37;27;35;32;38;24;8;17;290;201;11,824;0,752;285;223;508;56,102;43,898;33,870;14,999;True
Burgos;09427;2021;54,330;46,172;94,294;5,706;2,072;2;36;29;26;26;50;73;65;60;95;100;116;136;134;114;111;86;76;82;54;14;96;850;539;5,615;0,747;826;659;1485;55,623;44,377;327,845;4,530;True
Burgos;09427;2022;54,142;46,430;93,792;6,208;2,073;2;33;32;29;23;51;71;71;61;92;98;118;128;138;119;100;96;64;88;59;9;98;847;537;5,480;0,750;823;659;1482;55,533;44,467;327,845;4,520;True
Burgos;09427;2023;54,656;46,539;94,339;5,661;2,044;0;30;32;35;27;48;60;74;64;85;100;127;122;148;127;97;84;79;67;58;12;103;849;524;5,087;0,739;812;664;1476;55,014;44,986;327,845;4,502;True
Burgos;09428;2021;57,100;55,400;95,000;5,000;1,800;0;0;2;2;2;3;3;0;4;6;7;7;7;6;11;11;10;9;6;1;0;4;45;48;12,000;1,156;54;43;97;55,670;44,330;17,488;5,547;True
Burgos;09428;2022;56,400;51,900;95,000;5,000;1,800;0;1;3;2;1;4;6;1;3;6;7;9;7;1;13;11;10;7;6;2;0;6;45;49;8,167;1,222;54;46;100;54,000;46,000;17,488;5,718;True
Burgos;09428;2023;56,700;52,900;93,500;6,500;1,800;0;1;2;2;1;3;4;4;1;7;9;9;8;5;10;11;11;7;2;2;0;5;51;43;8,600;0,941;51;48;99;51,515;48,485;17,488;5,661;True
Burgos;09429;2021;55,700;43,300;89,500;10,500;1,900;0;0;0;0;1;2;3;5;5;2;3;2;4;9;5;5;6;3;1;0;1;0;36;21;inf;0,583;43;14;57;75,439;24,561;16,233;3,511;True
Burgos;09429;2022;56,300;44,800;88,900;11,100;1,900;0;0;0;1;1;2;2;4;5;4;2;3;4;8;4;7;5;2;2;0;1;1;35;21;21,000;0,629;41;16;57;71,930;28,070;16,233;3,511;True
Burgos;09429;2023;53,500;51,500;84,800;15,200;1,800;0;0;0;1;1;2;1;5;3;4;2;2;4;6;5;9;5;2;1;1;0;1;30;23;23,000;0,800;38;16;54;70,370;29,630;16,233;3,327;True
Burgos;09430;2021;59,800;62,500;82,100;17,900;1,800;0;0;0;0;0;0;2;1;0;0;2;2;3;3;6;4;1;1;0;1;1;0;13;14;inf;1,077;16;11;27;59,259;40,741;19,480;1,386;True
Burgos;09430;2022;62,100;56,300;92,300;7,700;1,600;0;0;1;0;0;0;2;0;0;0;3;3;3;3;4;6;1;1;0;1;0;1;14;13;13,000;1,000;17;11;28;60,714;39,286;19,480;1,437;True
Burgos;09430;2023;65,000;60,000;90,900;9,100;1,500;0;0;1;0;0;0;0;1;1;0;1;3;3;2;3;6;3;1;0;1;0;1;11;14;14,000;1,364;16;10;26;61,538;38,462;19,480;1,335;True
Burgos;09431;2021;57,500;59,400;99,100;0,900;1,800;0;2;1;1;0;4;7;4;6;4;4;10;9;12;9;16;6;6;9;2;1;4;60;49;12,250;0,883;68;45;113;60,177;39,823;52,412;2,156;True
Burgos;09431;2022;58,100;56,700;97,500;2,500;1,800;0;2;1;1;0;2;7;8;8;4;3;9;9;13;10;13;9;6;4;6;1;4;63;49;12,250;0,841;70;46;116;60,345;39,655;52,412;2,213;True
Burgos;09431;2023;58,300;58,000;95,900;4,100;1,800;0;1;2;1;0;2;9;4;8;4;4;9;8;13;14;13;10;5;4;6;1;4;61;53;13,250;0,934;72;46;118;61,017;38,983;52,412;2,251;True
Burgos;09432;2021;59,200;50,000;100,000;0,000;1,900;0;2;2;3;4;9;10;4;4;6;5;15;23;22;8;4;9;12;13;10;4;8;101;60;7,500;0,673;101;68;169;59,763;40,237;51,975;3,252;True
Burgos;09432;2022;59,900;48,100;100,000;0,000;1,900;0;1;1;2;4;4;9;4;6;4;6;10;23;23;9;5;7;11;11;12;2;5;92;57;11,400;0,674;93;61;154;60,390;39,610;51,975;2,963;True
Burgos;09432;2023;59,900;48,700;100,000;0,000;1,900;0;1;1;2;4;1;8;6;4;3;7;9;22;23;9;5;8;10;12;6;5;5;86;55;11,000;0,698;88;58;146;60,274;39,726;51,975;2,809;True
Burgos;09433;2021;60,000;63,600;100,000;0,000;1,600;0;0;0;2;1;0;2;2;2;5;1;7;3;8;5;6;8;2;2;1;1;2;31;25;12,500;0,871;34;24;58;58,621;41,379;22,049;2,631;True
Burgos;09433;2022;59,300;60,000;100,000;0,000;1,600;0;0;0;1;1;0;1;2;2;5;0;4;7;6;4;6;9;2;2;0;0;1;28;23;23,000;0,857;30;22;52;57,692;42,308;22,049;2,358;True
Burgos;09433;2023;59,000;66,700;100,000;0,000;1,600;0;1;0;1;1;0;0;3;1;4;3;3;6;9;6;5;10;2;1;0;0;2;30;24;12,000;0,867;33;23;56;58,929;41,071;22,049;2,540;True
Burgos;09434;2021;37,800;17,900;93,600;6,400;2,900;0;100;124;159;128;81;67;94;152;197;194;174;112;84;58;30;32;22;25;12;3;409;1257;182;0,445;0,470;975;873;1848;52,760;47,240;13,769;134,215;True
Burgos;09434;2022;38,300;19,000;92,800;7,200;2,900;0;89;141;153;142;79;63;91;152;191;195;165;129;87;61;34;25;30;23;11;5;411;1266;189;0,460;0,474;982;884;1866;52,626;47,374;13,769;135,522;True
Burgos;09434;2023;38,400;18,600;93,300;6,700;2,900;0;88;133;152;139;87;70;76;143;186;193;174;136;93;71;34;28;32;18;14;5;401;1269;202;0,504;0,475;989;883;1872;52,831;47,169;13,769;135,958;True
Burgos;09437;2021;56,400;48,200;90,600;9,400;2,000;0;0;5;6;11;9;11;18;10;15;15;26;32;21;13;31;24;20;14;5;2;13;166;109;8,385;0,735;151;137;288;52,431;47,569;50,498;5,703;True
Burgos;09437;2022;56,100;49,300;92,700;7,300;2,000;0;4;3;7;5;21;10;24;13;14;18;24;31;21;15;28;26;18;19;4;2;15;180;112;7,467;0,706;169;138;307;55,049;44,951;50,498;6,079;True
Burgos;09437;2023;56,100;51,800;92,100;7,900;2,000;0;5;6;6;7;14;14;21;19;13;21;17;31;25;18;25;27;12;19;8;2;18;181;111;6,167;0,713;168;142;310;54,194;45,806;50,498;6,139;True
Burgos;09438;2021;45,400;22,700;92,600;7,400;2,800;0;17;27;37;33;51;33;31;39;53;58;75;73;53;31;17;21;21;14;13;6;88;492;123;1,398;0,429;370;333;703;52,632;47,368;13,743;51,153;True
Burgos;09438;2022;46,400;22,100;94,000;6,000;2,800;1;19;22;39;34;49;33;32;33;54;62;69;77;55;34;26;18;16;19;12;6;87;491;132;1,517;0,446;376;334;710;52,958;47,042;13,743;51,663;True
Burgos;09438;2023;46,400;23,000;93,100;6,900;2,800;1;21;21;34;37;37;30;33;30;52;62;57;82;61;34;30;17;18;21;10;7;83;474;138;1,663;0,466;366;329;695;52,662;47,338;13,743;50,571;True
Burgos;09439;2021;38,400;31,900;92,900;7,100;2,500;0;94;105;83;57;57;71;91;161;178;126;113;92;92;50;28;22;13;15;6;1;293;1027;135;0,461;0,417;791;664;1455;54,364;45,636;14,379;101,189;True
Burgos;09439;2022;38,700;31,400;92,600;7,400;2,500;0;90;100;94;53;62;61;85;150;177;134;115;94;98;54;33;22;14;13;7;0;295;1018;143;0,485;0,430;785;671;1456;53,915;46,085;14,379;101,259;True
Burgos;09439;2023;38,800;31,500;92,100;7,900;2,500;0;85;94;108;59;58;73;84;138;174;145;125;93;103;56;38;25;10;14;8;0;299;1040;151;0,505;0,433;800;690;1490;53,691;46,309;14,379;103,623;True
Burgos;09440;2021;59,400;52,300;89,500;10,500;1,900;0;1;3;1;0;0;2;2;3;7;6;8;8;2;9;6;7;8;10;2;1;5;38;43;8,600;1,263;54;32;86;62,791;37,209;26,393;3,258;True
Burgos;09440;2022;56,700;52,300;85,400;14,600;2,000;0;1;3;2;1;0;1;2;5;7;4;9;10;1;5;7;6;10;8;2;2;6;40;40;6,667;1,150;54;32;86;62,791;37,209;26,393;3,258;True
Burgos;09440;2023;60,100;55,000;89,200;10,800;1,900;0;0;5;3;1;0;0;4;6;6;6;9;11;3;3;7;6;7;10;1;1;8;46;35;4,375;0,935;57;32;89;64,045;35,955;26,393;3,372;True
Burgos;09441;2021;50,600;30,300;100,000;0,000;2,800;0;2;2;2;2;8;6;5;3;11;3;11;11;4;5;3;8;8;5;0;0;6;64;29;4,833;0,547;56;43;99;56,566;43,434;13,421;7,376;True
Burgos;09441;2022;51,800;33,300;98,900;1,100;2,700;0;2;2;1;2;7;7;6;2;8;5;10;9;4;5;4;7;6;6;0;0;5;60;28;5,600;0,550;54;39;93;58,065;41,935;13,421;6,929;True
Burgos;09441;2023;50,100;29,000;98,900;1,100;2,900;0;1;2;2;2;4;7;6;3;4;8;8;9;7;5;3;5;9;4;1;0;5;58;27;5,400;0,552;53;37;90;58,889;41,111;13,421;6,706;True
Burgos;09442;2021;51,500;41,000;94,100;5,900;2,200;0;6;8;11;20;25;15;20;20;25;28;40;43;28;23;29;23;24;18;8;1;29;260;126;4,345;0,596;227;188;415;54,699;45,301;23,898;17,365;True
