Provincia;CMuni;Periodo;Edad_media_de_la_población;Porcentaje_de_hogares_unipersonales;Porcentaje_de_población_española;Porcentaje_de_población_extranjera;Tamaño_medio_del_hogar
Avila;05097;2023;57,000;44,100;99,100;0,900;2,000
Avila;05099;2021;54,500;34,300;99,400;0,600;2,100
Avila;05099;2022;54,800;37,000;99,100;0,900;2,100
Avila;05099;2023;55,100;39,800;99,300;0,700;2,100
Avila;05100;2021;57,500;41,400;97,400;2,600;1,900
Avila;05100;2022;58,000;44,200;97,700;2,300;1,900
Avila;05100;2023;57,200;45,800;98,200;1,800;1,900
Avila;05101;2021;58,000;50,000;97,800;2,200;1,900
Avila;05101;2022;57,100;49,200;98,200;1,800;1,800
Avila;05101;2023;57,700;53,800;97,100;2,900;1,800
Avila;05102;2021;46,396;34,361;91,381;8,619;2,300
Avila;05102;2022;46,245;35,865;90,552;9,448;2,300
Avila;05102;2023;46,415;36,053;89,977;10,023;2,249
Avila;05103;2021;61,500;47,100;100,000;0,000;1,700
Avila;05103;2022;61,600;47,200;98,400;1,600;1,700
Avila;05103;2023;61,200;50,000;98,400;1,600;1,700
Avila;05104;2021;60,900;30,800;100,000;0,000;2,300
Avila;05104;2022;61,000;38,500;100,000;0,000;2,200
Avila;05104;2023;59,500;25,000;96,600;3,400;2,400
Avila;05105;2021;51,000;45,000;95,600;4,400;2,200
Avila;05105;2022;52,700;45,800;95,600;4,400;2,100
Avila;05105;2023;52,700;45,500;95,800;4,200;2,200
Avila;05106;2021;65,700;50,000;100,000;0,000;1,800
Avila;05106;2022;64,600;70,600;100,000;0,000;1,500
Avila;05106;2023;57,700;68,800;100,000;0,000;1,600
Avila;05107;2021;62,300;41,700;100,000;0,000;2,000
Avila;05107;2022;63,200;43,500;100,000;0,000;2,000
Avila;05107;2023;63,300;40,900;100,000;0,000;2,000
Avila;05108;2021;61,500;59,100;97,400;2,600;1,700
Avila;05108;2022;57,500;56,500;93,000;7,000;1,900
Avila;05108;2023;56,300;57,100;92,500;7,500;1,900
Avila;05109;2021;48,400;29,000;99,800;0,200;2,500
Avila;05109;2022;49,000;29,800;99,800;0,200;2,500
Avila;05109;2023;48,600;29,400;99,800;0,200;2,500
Avila;05110;2021;49,000;41,200;96,500;3,500;2,100
Avila;05110;2022;48,800;41,800;94,600;5,400;2,100
Avila;05110;2023;49,500;41,400;94,800;5,200;2,100
Avila;05112;2021;51,000;64,500;99,000;1,000;1,600
Avila;05112;2022;47,400;62,500;90,600;9,400;1,800
Avila;05112;2023;51,900;65,100;98,100;1,900;1,600
Avila;05113;2021;62,800;55,600;100,000;0,000;1,700
Avila;05113;2022;61,900;60,500;98,500;1,500;1,700
Avila;05113;2023;62,400;64,100;98,400;1,600;1,600
Avila;05114;2021;51,484;31,202;98,881;1,119;2,309
Avila;05114;2022;52,031;31,458;99,180;0,820;2,300
Avila;05114;2023;52,580;32,240;98,987;1,013;2,200
Avila;05115;2021;53,100;48,400;91,900;8,100;1,900
Avila;05115;2022;52,200;49,700;88,200;11,800;2,000
Avila;05115;2023;53,000;49,900;88,200;11,800;1,900
Avila;05116;2021;64,900;50,900;97,000;3,000;1,900
Avila;05116;2022;63,800;49,000;99,000;1,000;1,900
Avila;05116;2023;63,200;46,700;100,000;0,000;2,000
Avila;05117;2021;54,900;27,600;100,000;0,000;2,300
Avila;05117;2022;54,600;25,300;98,500;1,500;2,300
Avila;05117;2023;54,400;27,600;98,500;1,500;2,300
Avila;05118;2021;56,900;53,900;97,100;2,900;1,800
Avila;05118;2022;56,200;53,900;95,800;4,200;1,800
Avila;05118;2023;55,000;56,400;98,600;1,400;1,800
Avila;05119;2021;75,300;71,400;100,000;0,000;1,400
Avila;05119;2022;52,600;42,100;89,700;10,300;2,000
Avila;05119;2023;65,500;60,000;95,700;4,300;1,500
Avila;05120;2021;62,000;60,000;100,000;0,000;1,900
Avila;05120;2022;57,300;63,200;97,100;2,900;1,800
Avila;05120;2023;60,900;66,700;100,000;0,000;1,700
Avila;05121;2021;45,800;29,800;97,600;2,400;2,500
Avila;05121;2022;45,500;29,200;95,200;4,800;2,400
Avila;05121;2023;45,600;33,100;94,000;6,000;2,400
Avila;05122;2021;64,200;42,200;97,400;2,600;1,800
Avila;05122;2022;64,700;45,300;98,300;1,700;1,800
Avila;05122;2023;64,000;45,900;99,100;0,900;1,800
Avila;05123;2021;50,900;40,400;99,100;0,900;2,200
Avila;05123;2022;51,600;42,600;98,300;1,700;2,200
Avila;05123;2023;52,100;42,600;97,400;2,600;2,200
Avila;05124;2021;63,900;64,300;94,400;5,600;1,600
Avila;05124;2022;63,700;69,800;94,900;5,100;1,500
Avila;05124;2023;64,700;69,100;89,700;10,300;1,400
Avila;05125;2021;49,300;45,800;95,100;4,900;2,500
Avila;05125;2022;50,900;47,800;98,200;1,800;2,400
Avila;05125;2023;51,400;45,500;100,000;0,000;2,500
Avila;05126;2021;64,400;53,100;100,000;0,000;1,800
Avila;05126;2022;61,900;55,300;100,000;0,000;2,000
Avila;05126;2023;64,000;47,100;100,000;0,000;2,000
Avila;05127;2021;52,500;42,100;95,700;4,300;2,100
Avila;05127;2022;53,200;43,500;94,200;5,800;2,000
Avila;05127;2023;53,400;43,900;93,400;6,600;2,000
Avila;05128;2021;50,600;34,900;94,800;5,200;2,300
Avila;05128;2022;49,800;33,700;94,700;5,300;2,300
Avila;05128;2023;49,600;33,900;92,400;7,600;2,300
Avila;05129;2021;65,000;58,300;89,900;10,100;1,800
Avila;05129;2022;67,600;61,000;93,900;6,100;1,700
Avila;05129;2023;68,700;61,700;93,900;6,100;1,600
Avila;05130;2021;53,500;45,600;100,000;0,000;2,000
Avila;05130;2022;54,800;49,100;100,000;0,000;1,900
Avila;05130;2023;55,200;47,500;100,000;0,000;1,900
Avila;05131;2021;63,800;45,500;98,900;1,100;2,000
Avila;05131;2022;62,800;47,700;100,000;0,000;2,000
Avila;05131;2023;60,700;47,900;99,000;1,000;2,000
Avila;05132;2021;51,700;39,900;98,200;1,800;2,100
Avila;05132;2022;51,500;43,800;97,700;2,300;2,100
Avila;05132;2023;52,000;43,000;97,100;2,900;2,000
Avila;05133;2021;58,900;58,300;100,000;0,000;1,700
Avila;05133;2022;58,900;60,000;98,300;1,700;1,600
Avila;05133;2023;58,100;61,100;98,300;1,700;1,600
Avila;05134;2021;52,400;36,000;98,300;1,700;2,200
Avila;05134;2022;55,100;37,500;100,000;0,000;2,300
Avila;05134;2023;55,200;34,800;100,000;0,000;2,300
Avila;05135;2021;49,300;46,100;94,800;5,200;2,000
Avila;05135;2022;47,500;47,300;87,900;12,100;2,000
Avila;05135;2023;46,800;39,300;88,200;11,800;2,300
Avila;05136;2021;55,500;53,500;100,000;0,000;1,800
Avila;05136;2022;54,900;55,800;98,700;1,300;1,800
Avila;05136;2023;54,800;54,600;98,800;1,200;1,800
Avila;05138;2021;51,000;34,100;97,400;2,600;2,300
Avila;05138;2022;51,200;32,800;98,000;2,000;2,200
Avila;05138;2023;51,700;32,800;96,700;3,300;2,200
Avila;05139;2021;58,900;29,400;98,600;1,400;2,300
Avila;05139;2022;59,400;29,400;98,700;1,300;2,200
Avila;05139;2023;58,000;34,300;100,000;0,000;2,300
Avila;05140;2021;49,600;50,000;99,100;0,900;2,100
Avila;05140;2022;49,600;47,200;97,300;2,700;2,100
Avila;05140;2023;48,400;42,000;98,200;1,800;2,200
Avila;05141;2021;56,700;37,200;100,000;0,000;2,300
Avila;05141;2022;56,100;29,600;99,000;1,000;2,300
Avila;05141;2023;55,600;31,100;99,000;1,000;2,300
Avila;05142;2021;58,700;52,100;100,000;0,000;1,900
Avila;05142;2022;60,200;50,000;100,000;0,000;1,800
Avila;05142;2023;59,900;46,800;100,000;0,000;1,900
Avila;05143;2021;61,700;56,300;98,200;1,800;1,700
Avila;05143;2022;60,400;56,700;98,000;2,000;1,700
Avila;05143;2023;63,400;58,600;98,000;2,000;1,700
Avila;05144;2021;61,300;52,600;96,800;3,200;1,700
Avila;05144;2022;58,200;55,600;96,700;3,300;1,700
Avila;05144;2023;61,800;59,500;96,500;3,500;1,500
Avila;05145;2021;62,900;64,000;100,000;0,000;1,600
Avila;05145;2022;63,700;68,000;100,000;0,000;1,500
Avila;05145;2023;63,600;61,900;100,000;0,000;1,600
Avila;05147;2021;54,800;38,200;93,500;6,500;2,300
Avila;05147;2022;55,300;45,700;95,300;4,700;2,100
Avila;05147;2023;54,000;40,600;90,900;9,100;2,200
Avila;05148;2021;58,900;44,400;100,000;0,000;1,800
Avila;05148;2022;59,500;55,600;100,000;0,000;1,700
Avila;05148;2023;57,600;63,200;100,000;0,000;1,500
Avila;05149;2021;59,000;59,100;97,200;2,800;1,600
Avila;05149;2022;57,800;55,400;92,000;8,000;1,700
Avila;05149;2023;60,400;55,600;97,200;2,800;1,700
Avila;05151;2021;56,900;52,300;94,500;5,500;2,100
Avila;05151;2022;57,200;52,200;92,600;7,400;2,100
Avila;05151;2023;55,000;52,100;88,900;11,100;2,100
Avila;05152;2021;52,000;33,800;96,400;3,600;2,400
Avila;05152;2022;52,200;31,800;95,900;4,100;2,400
Avila;05152;2023;53,400;33,200;96,800;3,200;2,300
Avila;05153;2021;60,900;56,900;100,000;0,000;1,700
Avila;05153;2022;60,400;60,000;100,000;0,000;1,700
Avila;05153;2023;63,100;66,700;100,000;0,000;1,500
Avila;05154;2021;55,800;35,300;86,500;13,500;2,200
Avila;05154;2022;56,100;33,300;87,200;12,800;2,200
Avila;05154;2023;55,100;58,800;92,900;7,100;1,600
Avila;05155;2021;55,400;47,800;95,500;4,500;2,000
Avila;05155;2022;55,000;42,900;85,500;14,500;2,000
Avila;05155;2023;55,200;43,300;84,200;15,800;1,900
Avila;05156;2021;44,400;47,000;92,600;7,400;2,100
Avila;05156;2022;46,100;47,700;94,400;5,600;2,000
Avila;05156;2023;46,800;47,300;95,100;4,900;2,000
Avila;05157;2021;60,000;52,200;96,700;3,300;1,900
Avila;05157;2022;59,900;52,200;95,900;4,100;1,900
Avila;05157;2023;58,500;55,400;95,700;4,300;1,900
Avila;05158;2021;57,100;50,800;94,400;5,600;1,800
Avila;05158;2022;56,800;52,200;91,600;8,400;1,800
