Provincia;CMuni;CUSEC;Periodo;Hombres;Mujeres;Población;%_Hombres;%_Mujeres
Avila;05092;0509201001;2022;87;67;154;56,490;43,510
Avila;05092;0509201001;2023;82;65;147;55,780;44,220
Avila;05093;0509301001;2021;254;198;452;56,190;43,810
Avila;05093;0509301001;2022;292;225;517;56,480;43,520
Avila;05093;0509301001;2023;287;223;510;56,270;43,730
Avila;05094;0509401001;2021;73;58;131;55,730;44,270
Avila;05094;0509401001;2022;79;62;141;56,030;43,970
Avila;05094;0509401001;2023;86;65;151;56,950;43,050
Avila;05095;0509501001;2021;150;115;265;56,600;43,400
Avila;05095;0509501001;2022;152;116;268;56,720;43,280
Avila;05095;0509501001;2023;154;120;274;56,200;43,800
Avila;05096;0509601001;2021;48;29;77;62,340;37,660
Avila;05096;0509601001;2022;54;35;89;60,670;39,330
Avila;05096;0509601001;2023;50;30;80;62,500;37,500
Avila;05097;0509701001;2021;256;239;495;51,720;48,280
Avila;05097;0509701001;2022;248;234;482;51,450;48,550
Avila;05097;0509701001;2023;234;230;464;50,430;49,570
Avila;05099;0509901001;2021;275;210;485;56,700;43,300
Avila;05099;0509901001;2022;266;204;470;56,600;43,400
Avila;05099;0509901001;2023;254;200;454;55,950;44,050
Avila;05100;0510001001;2021;148;132;280;52,860;47,140
Avila;05100;0510001001;2022;145;124;269;53,900;46,100
Avila;05100;0510001001;2023;145;120;265;54,720;45,280
Avila;05101;0510101001;2021;160;113;273;58,610;41,390
Avila;05101;0510101001;2022;159;113;272;58,460;41,540
Avila;05101;0510101001;2023;187;143;330;56,670;43,330
Avila;05102;0510201001;2021;538;493;1031;52,180;47,820
Avila;05102;0510201001;2022;545;493;1038;52,500;47,500
Avila;05102;0510201001;2023;555;494;1049;52,910;47,090
Avila;05102;0510201002;2021;559;564;1123;49,780;50,220
Avila;05102;0510201002;2022;571;558;1129;50,580;49,420
Avila;05102;0510201002;2023;567;548;1115;50,850;49,150
Avila;05103;0510301001;2021;31;31;62;50,000;50,000
Avila;05103;0510301001;2022;31;28;59;52,540;47,460
Avila;05103;0510301001;2023;32;30;62;51,610;48,390
Avila;05104;0510401001;2021;19;13;32;59,380;40,620
Avila;05104;0510401001;2022;18;12;30;60,000;40,000
Avila;05104;0510401001;2023;17;12;29;58,620;41,380
Avila;05105;0510501001;2021;201;177;378;53,170;46,830
Avila;05105;0510501001;2022;196;180;376;52,130;47,870
Avila;05105;0510501001;2023;192;169;361;53,190;46,810
Avila;05106;0510601001;2021;13;13;26;50,000;50,000
Avila;05106;0510601001;2022;12;12;24;50,000;50,000
Avila;05106;0510601001;2023;14;12;26;53,850;46,150
Avila;05107;0510701001;2021;32;16;48;66,670;33,330
Avila;05107;0510701001;2022;31;17;48;64,580;35,420
Avila;05107;0510701001;2023;30;16;46;65,220;34,780
Avila;05108;0510801001;2021;24;16;40;60,000;40,000
Avila;05108;0510801001;2022;23;15;38;60,530;39,470
Avila;05108;0510801001;2023;24;19;43;55,810;44,190
Avila;05109;0510901001;2021;248;224;472;52,540;47,460
Avila;05109;0510901001;2022;240;223;463;51,840;48,160
Avila;05109;0510901001;2023;232;219;451;51,440;48,560
Avila;05110;0511001001;2021;447;406;853;52,400;47,600
Avila;05110;0511001001;2022;454;405;859;52,850;47,150
Avila;05110;0511001001;2023;435;403;838;51,910;48,090
Avila;05112;0511201001;2021;61;48;109;55,960;44,040
Avila;05112;0511201001;2022;57;44;101;56,440;43,560
Avila;05112;0511201001;2023;68;49;117;58,120;41,880
Avila;05113;0511301001;2021;30;28;58;51,720;48,280
Avila;05113;0511301001;2022;32;30;62;51,610;48,390
Avila;05113;0511301001;2023;30;35;65;46,150;53,850
Avila;05114;0511401001;2021;380;367;747;50,870;49,130
Avila;05114;0511401001;2022;372;365;737;50,470;49,530
Avila;05114;0511401001;2023;372;346;718;51,810;48,190
Avila;05114;0511402001;2021;318;316;634;50,160;49,840
Avila;05114;0511402001;2022;311;307;618;50,320;49,680
Avila;05114;0511402001;2023;319;304;623;51,200;48,800
Avila;05115;0511501001;2021;339;299;638;53,130;46,870
Avila;05115;0511501001;2022;364;314;678;53,690;46,310
