Provincia;CMuni;CUSEC;Periodo;Distribución_de_la_renta_P80_P20;Índice_de_Gini
Avila;05114;0511402001;2022;2,1;24,7
Avila;05114;0511402001;2023;2;24,4
Avila;05115;0511501001;2021;2,7;32,9
Avila;05115;0511501001;2022;2,9;33,6
Avila;05115;0511501001;2023;2,5;31,2
Avila;05117;0511701001;2021;2,2;26,2
Avila;05117;0511701001;2022;2,2;29
Avila;05117;0511701001;2023;2,2;28,2
Avila;05121;0512101001;2021;2,5;29,2
Avila;05121;0512101001;2022;2,4;25,9
Avila;05121;0512101001;2023;2;24,5
Avila;05122;0512201001;2021;2,2;35,5
Avila;05122;0512201001;2022;2,2;34,5
Avila;05122;0512201001;2023;2,7;31,6
Avila;05123;0512301001;2021;2,7;37,5
Avila;05123;0512301001;2022;2,9;32,8
Avila;05123;0512301001;2023;3,1;29,4
Avila;05127;0512701001;2021;2,5;28,6
Avila;05127;0512701001;2022;2,5;29,4
Avila;05127;0512701001;2023;2,3;28
Avila;05128;0512801001;2021;2;24,2
Avila;05128;0512801001;2022;1,9;24,3
Avila;05128;0512801001;2023;2;24,5
Avila;05129;0512901001;2021;2,9;32,5
Avila;05130;0513001001;2021;2,2;27,1
Avila;05130;0513001001;2022;2,4;26,8
Avila;05130;0513001001;2023;2,5;26,9
Avila;05132;0513201001;2021;2,3;28,6
Avila;05132;0513201001;2022;2,3;28,4
Avila;05132;0513201001;2023;2,2;28,1
Avila;05135;0513501001;2021;2,5;36
Avila;05135;0513501001;2022;2,6;39,1
Avila;05135;0513501001;2023;2,5;32,7
Avila;05138;0513801001;2021;2,4;28,4
Avila;05138;0513801001;2022;2,3;25,1
Avila;05138;0513801001;2023;2,3;26,7
Avila;05140;0514001001;2021;2,1;23,7
Avila;05140;0514001001;2022;2;30,4
Avila;05140;0514001001;2023;2,3;31
Avila;05141;0514101001;2022;3;27,5
Avila;05141;0514101001;2023;3;29,9
Avila;05147;0514701001;2021;2,5;27,9
Avila;05147;0514701001;2022;2,2;28,2
Avila;05147;0514701001;2023;3,1;32,2
Avila;05149;0514901001;2021;3;31
Avila;05149;0514901001;2022;2,4;30,3
Avila;05149;0514901001;2023;3,2;31,2
Avila;05152;0515201001;2021;2,4;27,8
Avila;05152;0515201001;2022;2,6;30,4
Avila;05152;0515201001;2023;2,8;32,9
Avila;05156;0515601001;2021;2,8;33,8
Avila;05156;0515601001;2022;2,8;34,1
Avila;05156;0515601001;2023;2,7;31,9
Avila;05157;0515701001;2021;2,9;29,7
Avila;05157;0515701001;2022;2,9;29,2
Avila;05157;0515701001;2023;2,9;29,8
Avila;05158;0515801001;2021;2,4;30,2
Avila;05158;0515801001;2022;2,6;31,7
Avila;05158;0515801001;2023;2,6;30,8
Avila;05159;0515901001;2021;2,5;28,1
Avila;05159;0515901001;2022;2,4;28,1
Avila;05159;0515901001;2023;2,3;27,1
Avila;05160;0516001001;2021;2,3;24,5
Avila;05160;0516001001;2022;2,4;25,8
Avila;05160;0516001001;2023;2,2;25,4
Avila;05161;0516101001;2021;2,8;34,2
Avila;05161;0516101001;2022;3,2;33,8
Avila;05161;0516101001;2023;2,8;34,6
Avila;05163;0516301001;2021;2,7;34,3
Avila;05163;0516301001;2022;2,7;33
Avila;05163;0516301001;2023;2,4;31,1
Avila;05163;0516301002;2021;2,7;33,1
Avila;05163;0516301002;2022;2,7;32,6
Avila;05163;0516301002;2023;2,7;31,6
Avila;05165;0516501001;2021;2,6;29,6
Avila;05165;0516501001;2022;2,5;32,9
Avila;05165;0516501001;2023;2,1;31,3
Avila;05166;0516601001;2021;2;26
Avila;05166;0516601001;2022;2;28,8
Avila;05166;0516601001;2023;2,2;26,6
Avila;05167;0516701001;2021;2,8;31,9
Avila;05167;0516701001;2022;3;33,5
Avila;05167;0516701001;2023;3,7;35,7
Avila;05168;0516801001;2021;2,3;29
Avila;05168;0516801001;2022;2,4;28,6
Avila;05168;0516801001;2023;2,4;28,2
Avila;05168;0516801002;2021;2,9;31,6
Avila;05168;0516801002;2022;3;32,2
Avila;05168;0516801002;2023;2,9;31,1
Avila;05168;0516802001;2021;2,7;29,5
Avila;05168;0516802001;2022;2,5;29,8
Avila;05168;0516802001;2023;2,6;29,3
Avila;05168;0516802002;2021;2,6;30,8
Avila;05168;0516802002;2022;2,6;30,2
Avila;05168;0516802002;2023;2,4;30,9
Avila;05169;0516901001;2021;2,4;26,3
Avila;05169;0516901001;2022;2,1;29
Avila;05169;0516901001;2023;1,9;24,8
Avila;05172;0517201001;2021;2,4;29
Avila;05172;0517201001;2022;2,5;32,8
Avila;05172;0517201001;2023;2,7;35,4
Avila;05175;0517501001;2021;2,6;30,4
Avila;05175;0517501001;2022;2,6;31,3
Avila;05175;0517501001;2023;2,5;30,5
Avila;05176;0517601001;2021;2,7;27
Avila;05176;0517601001;2022;2,6;27
