Provincia;CMuni;CUSEC;Periodo;Media_de_la_renta_por_unidad_de_consumo;Mediana_de_la_renta_por_unidad_de_consumo;Renta_bruta_media_por_hogar;Renta_bruta_media_por_persona;Renta_neta_media_por_hogar;Renta_neta_media_por_persona
Avila;05022;0502201001;2022;17064;15050;32171;13554;27848;11733
Avila;05022;0502201001;2023;18229;16450;34896;14684;30096;12665
Avila;05022;0502201002;2021;15960;15050;27898;12752;24512;11204
Avila;05022;0502201002;2022;16484;15050;28879;12980;25365;11401
Avila;05022;0502201002;2023;17632;16450;31581;14300;27550;12475
Avila;05023;0502301001;2021;19778;16450;38778;15864;32812;13423
Avila;05023;0502301001;2022;19133;15750;37078;15467;31695;13221
Avila;05023;0502301001;2023;20924;17850;42579;17181;36028;14537
Avila;05024;0502401001;2021;15803;14350;22790;13461;20621;12180
Avila;05024;0502401001;2022;16243;14350;22963;13891;20538;12424
Avila;05024;0502401001;2023;17739;15050;25399;15540;22667;13869
Avila;05025;0502501001;2021;;;26888;14274;23577;12516
Avila;05025;0502501001;2022;;;25142;14063;22227;12433
Avila;05025;0502501001;2023;;;26695;15122;23630;13386
Avila;05026;0502601001;2021;16207;15050;27688;13261;24941;11945
Avila;05026;0502601001;2022;16914;15050;27334;13901;24323;12370
Avila;05026;0502601001;2023;18697;17150;30947;15833;27240;13937
Avila;05027;0502701001;2021;20081;17150;39642;16488;33196;13807
Avila;05027;0502701001;2022;20917;19250;38925;17194;32981;14568
Avila;05027;0502701001;2023;22035;19250;41182;18232;34754;15386
Avila;05029;0502901001;2021;;;26888;14274;23577;12516
Avila;05029;0502901001;2022;;;33547;16581;28680;14175
Avila;05029;0502901001;2023;;;35976;18005;30364;15197
Avila;05030;0503001001;2021;;;26888;14274;23577;12516
Avila;05030;0503001001;2022;;;28445;15360;24792;13387
Avila;05030;0503001001;2023;;;30618;16653;26544;14437
Avila;05033;0503301001;2021;14628;13650;26604;11938;23434;10515
Avila;05033;0503301001;2022;15416;13650;28060;12636;24530;11046
Avila;05033;0503301001;2023;15500;13650;29619;12745;25571;11003
Avila;05034;0503401001;2021;;;26888;14274;23577;12516
Avila;05034;0503401001;2022;;;33547;16581;28680;14175
Avila;05034;0503401001;2023;;;35976;18005;30364;15197
Avila;05035;0503501001;2021;;;26888;14274;23577;12516
Avila;05035;0503501001;2022;19738;15750;36599;17609;30181;14521
Avila;05035;0503501001;2023;;;35976;18005;30364;15197
Avila;05036;0503601001;2021;15340;14350;25256;12287;22906;11144
Avila;05036;0503601001;2022;17269;14350;27876;13808;24936;12351
Avila;05036;0503601001;2023;18658;16450;31181;15024;27819;13404
Avila;05037;0503701001;2021;13897;12950;21730;11246;20048;10376
Avila;05037;0503701001;2022;15119;13650;23091;12250;21372;11338
Avila;05037;0503701001;2023;15590;13650;25127;12919;23082;11868
Avila;05038;0503801001;2021;15471;12250;25097;13263;22605;11946
Avila;05038;0503801001;2022;17967;17850;31560;14728;28032;13081
Avila;05038;0503801001;2023;17604;16450;31079;14580;27232;12775
Avila;05039;0503901001;2021;;;26888;14274;23577;12516
Avila;05039;0503901001;2022;;;28445;15360;24792;13387
Avila;05039;0503901001;2023;;;30618;16653;26544;14437
Avila;05040;0504001001;2021;;;26888;14274;23577;12516
Avila;05040;0504001001;2022;;;28445;15360;24792;13387
Avila;05040;0504001001;2023;;;30618;16653;26544;14437
Avila;05041;0504101001;2021;14905;12950;25230;12304;22103;10779
Avila;05041;0504101001;2022;16241;14350;27943;13467;24220;11673
Avila;05041;0504101001;2023;16828;15050;29225;13892;25538;12140
Avila;05042;0504201001;2021;19304;15750;32323;15954;28057;13849
Avila;05042;0504201001;2022;20924;16450;35826;17799;30211;15009
Avila;05042;0504201001;2023;21405;17150;36181;18090;30875;15438
Avila;05043;0504301001;2021;;;26888;14274;23577;12516
Avila;05043;0504301001;2022;;;33547;16581;28680;14175
Avila;05043;0504301001;2023;;;35976;18005;30364;15197
Avila;05044;0504401001;2021;14170;10850;23643;11821;21054;10527
Avila;05044;0504401001;2022;14885;12600;21471;11002;18570;9515
Avila;05044;0504401001;2023;16589;14350;27058;14415;23695;12624
Avila;05045;0504501001;2021;;;26888;14274;23577;12516
Avila;05045;0504501001;2022;;;33547;16581;28680;14175
Avila;05045;0504501001;2023;;;35976;18005;30364;15197
Avila;05046;0504601001;2021;;;26888;14274;23577;12516
Avila;05046;0504601001;2022;;;33547;16581;28680;14175
Avila;05046;0504601001;2023;;;35976;18005;30364;15197
Avila;05047;0504701001;2021;14407;12250;25440;11161;22670;9946
Avila;05047;0504701001;2022;15669;13650;27596;12330;24523;10957
Avila;05047;0504701001;2023;16633;15050;29280;13286;26000;11798
Avila;05047;0504703001;2021;14430;12950;26566;11286;23276;9889
Avila;05047;0504703001;2022;15597;13650;28460;12244;24800;10669
Avila;05047;0504703001;2023;16579;14350;29956;13577;25913;11745
Avila;05047;0504703002;2021;14286;12950;25202;11200;22217;9873
Avila;05047;0504703002;2022;15156;13650;26528;11939;23298;10485
Avila;05047;0504703002;2023;16278;15050;29161;13212;25366;11493
Avila;05047;0504703003;2021;14231;13650;25428;11674;22228;10205
Avila;05047;0504703003;2022;15256;14350;26082;12396;23002;10932
Avila;05048;0504801001;2021;;;26888;14274;23577;12516
Avila;05048;0504801001;2022;;;33547;16581;28680;14175
Avila;05048;0504801001;2023;;;35976;18005;30364;15197
Avila;05049;0504901001;2021;19007;18550;33821;15878;29131;13677
Avila;05049;0504901001;2022;19736;19250;35331;16710;30110;14240
Avila;05049;0504901001;2023;20910;20650;37747;17838;32044;15142
Avila;05051;0505101001;2021;16771;15050;26937;14250;23400;12379
Avila;05051;0505101001;2022;16783;16100;27372;14193;23853;12368
Avila;05051;0505101001;2023;17924;17150;28738;15447;25119;13502
Avila;05052;0505201001;2021;;;26888;14274;23577;12516
Avila;05052;0505201001;2022;;;25142;14063;22227;12433
Avila;05052;0505201001;2023;;;26695;15122;23630;13386
Avila;05053;0505301001;2021;;;26888;14274;23577;12516
Avila;05053;0505301001;2022;;;28445;15360;24792;13387
Avila;05053;0505301001;2023;;;30618;16653;26544;14437
Avila;05054;0505401001;2021;13480;12250;22999;10966;20370;9713
Avila;05054;0505401001;2022;14601;12950;24526;11852;21517;10398
Avila;05054;0505401001;2023;15508;13650;26701;12979;23325;11338
Avila;05055;0505501001;2021;13897;12250;22176;11641;19766;10376
Avila;05055;0505501001;2022;14840;12950;23782;12631;21052;11181
Avila;05055;0505501001;2023;15525;13650;25336;13286;22278;11683
Avila;05056;0505601001;2021;;;26888;14274;23577;12516
Avila;05056;0505601001;2022;23846;19250;53944;19154;44353;15749
Avila;05056;0505601001;2023;26694;23450;56927;21348;46778;17542
Avila;05057;0505701001;2021;14217;12250;25313;11316;22278;9959
Avila;05057;0505701001;2022;14732;12950;25354;11506;22222;10085
Avila;05057;0505701001;2023;15155;14350;25940;12327;23059;10958
Avila;05057;0505702001;2021;13293;12250;22235;10833;20025;9756
Avila;05057;0505702001;2022;14060;12950;23714;11445;21262;10262
Avila;05057;0505702002;2021;16869;12950;33539;13632;27772;11289
Avila;05057;0505702002;2022;16139;14350;31736;12936;27094;11044
Avila;05057;0505702002;2023;16450;14350;32448;13346;27775;11424
Avila;05058;0505801001;2021;;;26888;14274;23577;12516
Avila;05058;0505801001;2022;;;24722;13269;21557;11570
Avila;05058;0505801001;2023;;;27780;15319;23964;13215
Avila;05059;0505901001;2021;;;26888;14274;23577;12516
Avila;05059;0505901001;2022;;;28445;15360;24792;13387
Avila;05059;0505901001;2023;;;30618;16653;26544;14437
Avila;05060;0506001001;2021;18207;15750;34365;13813;30474;12249
Avila;05060;0506001001;2022;18452;15050;34395;14102;30324;12433
Avila;05060;0506001001;2023;19802;17850;37973;14970;33387;13162
Avila;05061;0506101001;2021;16719;15750;32645;13132;28174;11333
Avila;05061;0506101001;2022;17648;17150;33268;13816;28601;11878
Avila;05061;0506101001;2023;19009;17850;36554;15256;31016;12944
Avila;05062;0506201001;2021;18117;15750;31382;15371;26885;13168
Avila;05062;0506201001;2022;19823;17150;35119;16712;29737;14151
Avila;05062;0506201001;2023;22856;17850;40949;19890;33509;16276
Avila;05063;0506301001;2021;;;26888;14274;23577;12516
Avila;05063;0506301001;2022;;;25142;14063;22227;12433
Avila;05063;0506301001;2023;;;26695;15122;23630;13386
Avila;05064;0506401001;2021;17753;16450;29488;15474;25496;13379
Avila;05064;0506401001;2022;;;33547;16581;28680;14175
Avila;05064;0506401001;2023;;;35976;18005;30364;15197
Avila;05065;0506501001;2021;18233;16450;33633;14855;28775;12709
Avila;05065;0506501001;2022;20169;17150;37647;16812;31503;14069
Avila;05065;0506501001;2023;22046;18550;42036;18673;34544;15345
Avila;05066;0506601001;2021;16149;13650;27036;13048;23518;11350
Avila;05066;0506601001;2022;16577;13650;27858;13984;24136;12116
Avila;05066;0506601001;2023;17440;15050;29676;14927;25455;12804
Avila;05067;0506701001;2021;;;26888;14274;23577;12516
Avila;05067;0506701001;2022;;;28445;15360;24792;13387
Avila;05067;0506701001;2023;;;30618;16653;26544;14437
Avila;05069;0506901001;2021;;;26888;14274;23577;12516
Avila;05069;0506901001;2022;;;33547;16581;28680;14175
Avila;05069;0506901001;2023;;;35976;18005;30364;15197
Avila;05070;0507001001;2021;;;26888;14274;23577;12516
Avila;05070;0507001001;2022;;;33547;16581;28680;14175
Avila;05070;0507001001;2023;;;35976;18005;30364;15197
Avila;05072;0507201001;2021;;;26888;14274;23577;12516
Avila;05072;0507201001;2022;;;33547;16581;28680;14175
Avila;05072;0507201001;2023;;;35976;18005;30364;15197
Avila;05073;0507301001;2021;18358;15050;31688;15170;27408;13121
Avila;05073;0507301001;2022;18207;15750;31597;15511;27272;13388
Avila;05073;0507301001;2023;23465;16450;40478;20164;33680;16778
Avila;05074;0507401001;2021;19027;16450;35001;15404;30273;13323
Avila;05074;0507401001;2022;19219;17150;34299;15630;29530;13457
Avila;05074;0507401001;2023;20117;18550;36801;16635;31489;14233
Avila;05075;0507501001;2021;;;26888;14274;23577;12516
Avila;05076;0507601001;2021;17931;17150;35699;13988;30329;11883
Avila;05076;0507601001;2022;18357;17850;36651;14328;31308;12240
Avila;05076;0507601001;2023;19057;18550;38300;15166;32460;12853
Avila;05077;0507701001;2021;15816;13650;29397;12202;26235;10890
Avila;05077;0507701001;2022;16006;14350;29329;12516;26130;11151
Avila;05077;0507701001;2023;16622;15050;29276;13184;26325;11855
Avila;05078;0507801001;2021;;;26888;14274;23577;12516
Avila;05078;0507801001;2022;;;33547;16581;28680;14175
Avila;05078;0507801001;2023;;;35976;18005;30364;15197
Avila;05079;0507901001;2021;;;26888;14274;23577;12516
Avila;05079;0507901001;2022;;;28445;15360;24792;13387
Avila;05079;0507901001;2023;;;30618;16653;26544;14437
Avila;05080;0508001001;2021;;;26888;14274;23577;12516
Avila;05080;0508001001;2022;;;28445;15360;24792;13387
Avila;05080;0508001001;2023;;;30618;16653;26544;14437
Avila;05081;0508101001;2021;;;26888;14274;23577;12516
Avila;05081;0508101001;2022;;;24722;13269;21557;11570
Avila;05081;0508101001;2023;;;27780;15319;23964;13215
Avila;05082;0508201001;2021;14303;12250;24397;11681;21717;10398
Avila;05082;0508201001;2022;15309;12950;25810;12809;22728;11280
Avila;05082;0508201001;2023;16262;13650;27627;13390;24352;11803
Avila;05083;0508301001;2021;18760;14350;31070;15331;27193;13417
Avila;05083;0508301001;2022;19945;18550;33620;16472;28716;14069
Avila;05083;0508301001;2023;22313;18550;39731;18597;33648;15750
Avila;05084;0508401001;2021;;;26888;14274;23577;12516
Avila;05084;0508401001;2022;;;25142;14063;22227;12433
Avila;05084;0508401001;2023;;;26695;15122;23630;13386
Avila;05085;0508501001;2021;;;26888;14274;23577;12516
Avila;05085;0508501001;2022;;;25142;14063;22227;12433
Avila;05085;0508501001;2023;;;26695;15122;23630;13386
Avila;05086;0508601001;2021;;;26888;14274;23577;12516
Avila;05086;0508601001;2022;;;33547;16581;28680;14175
Avila;05086;0508601001;2023;;;35976;18005;30364;15197
Avila;05087;0508701001;2021;18644;15750;34615;15762;29108;13255
Avila;05087;0508701001;2022;17638;13650;32869;14993;27779;12671
Avila;05087;0508701001;2023;18606;15050;34046;15667;28994;13342
Avila;05088;0508801001;2021;;;26888;14274;23577;12516
