Provincia;CMuni;CUSEC;Periodo;Fuente_de_ingreso_otras_prestaciones;Fuente_de_ingreso_otros_ingresos;Fuente_de_ingreso_pensiones;Fuente_de_ingreso_prestaciones_por_desempleo;Fuente_de_ingreso_salario
Avila;05064;0506401001;2021;5;21,4;28,1;1,6;44
Avila;05065;0506501001;2021;3,2;19,7;24,4;1,5;51,4
Avila;05065;0506501001;2022;2,9;21,6;24,1;1;50,3
Avila;05065;0506501001;2023;3,3;23,1;23,3;1,1;49,2
Avila;05066;0506601001;2021;4,4;8,8;34;3,4;49,4
Avila;05066;0506601001;2022;4;9,2;32,8;3,2;50,9
Avila;05066;0506601001;2023;3,7;11,7;30,8;2,5;51,3
Avila;05073;0507301001;2021;5,1;23;30,2;2,8;39
Avila;05073;0507301001;2022;5,9;18,7;33,1;2;40,3
Avila;05073;0507301001;2023;4,7;31,8;27,9;1,2;34,4
Avila;05074;0507401001;2021;5;17,8;28,7;1,7;46,8
Avila;05074;0507401001;2022;4,6;14,9;31,1;1,4;48
Avila;05074;0507401001;2023;5;13,5;29,4;1;51
Avila;05076;0507601001;2021;3,6;14,2;16,9;3,7;61,7
Avila;05076;0507601001;2022;3,4;12,6;18,1;1,5;64,3
Avila;05076;0507601001;2023;3,5;14,1;17,7;1,7;63
Avila;05077;0507701001;2021;5,6;13,9;38;1,7;40,9
Avila;05077;0507701001;2022;4,5;11,3;38,7;1,8;43,8
Avila;05077;0507701001;2023;4,6;10,1;40,3;1,1;43,9
Avila;05082;0508201001;2021;5,3;9,9;36,9;3,6;44,3
Avila;05082;0508201001;2022;4,8;12,3;38,3;3,2;41,4
Avila;05082;0508201001;2023;5,5;10;38,8;2,5;43,3
Avila;05083;0508301001;2021;4,6;8,7;37,5;1,1;48,1
Avila;05083;0508301001;2022;4,1;10,2;35,8;0,9;49
Avila;05083;0508301001;2023;2,5;16,4;34,2;0,8;46,1
Avila;05087;0508701001;2021;5,1;19,1;25,5;1,6;48,7
Avila;05087;0508701001;2022;2,9;15,5;28,1;1;52,6
Avila;05087;0508701001;2023;3,7;10,6;28,3;1,3;56,1
Avila;05089;0508901001;2021;4,6;8,5;36,1;4,1;46,7
Avila;05089;0508901001;2022;4,3;10,6;35,3;2,7;47,2
Avila;05089;0508901001;2023;3,9;14;33,8;2,6;45,8
Avila;05092;0509201001;2021;4,9;24,5;29;1,3;40,4
Avila;05092;0509201001;2022;3,5;22,7;30,8;1,6;41,5
Avila;05092;0509201001;2023;4,9;22,2;32,5;1,2;39,2
Avila;05093;0509301001;2021;5,7;13,9;29,4;3,1;47,9
Avila;05093;0509301001;2022;5,9;14,9;28,7;2,3;48,3
Avila;05093;0509301001;2023;5,2;12,4;27,5;2,8;52,1
Avila;05094;0509401001;2021;3,7;30,4;29,2;1,9;34,8
Avila;05094;0509401001;2022;4;31,1;26,1;1,2;37,6
Avila;05094;0509401001;2023;3,7;35,9;25,1;1,6;33,7
Avila;05095;0509501001;2021;6,5;15,6;28,6;4,7;44,6
Avila;05095;0509501001;2022;5,6;15,2;29,4;3,8;46,2
Avila;05095;0509501001;2023;6,1;16,6;28,5;3,1;45,7
Avila;05097;0509701001;2021;9,5;9,6;38,5;3;39,4
Avila;05097;0509701001;2022;9,4;12,2;38,4;2,6;37,5
Avila;05097;0509701001;2023;7,5;13,3;39,5;2,6;37,1
Avila;05099;0509901001;2021;4,6;22,9;26,1;3,8;42,6
Avila;05099;0509901001;2022;3,8;24,3;26,9;2,1;42,9
Avila;05099;0509901001;2023;5,1;21,5;28,4;2,1;42,8
Avila;05100;0510001001;2021;5,7;6,8;36,8;4,2;46,5
Avila;05100;0510001001;2022;5,3;8,6;36,4;2,7;47,1
Avila;05100;0510001001;2023;6;7,4;36,3;2;48,4
Avila;05101;0510101001;2021;3;12,5;30,8;4;49,7
Avila;05101;0510101001;2022;3;12,2;31,3;2,8;50,8
Avila;05101;0510101001;2023;2,9;12,3;32,5;1,4;50,9
Avila;05102;0510201001;2021;6,7;9,9;27,1;4;52,4
Avila;05102;0510201001;2022;6,6;8,4;27,4;3;54,6
Avila;05102;0510201001;2023;6,6;7,3;27,2;2,8;56,1
Avila;05102;0510201002;2021;6,6;6,7;25,9;4,9;55,9
Avila;05102;0510201002;2022;7,1;6,3;27,2;3,7;55,7
Avila;05102;0510201002;2023;6,6;7,2;27,8;2,8;55,7
Avila;05105;0510501001;2021;3,3;20;27,9;4,6;44,2
Avila;05105;0510501001;2022;4,3;20,4;29,2;1,7;44,5
Avila;05105;0510501001;2023;3,7;19,6;29,8;1,1;45,8
Avila;05109;0510901001;2021;5,9;20,9;18,1;3,4;51,6
Avila;05109;0510901001;2022;5,9;21,2;19,7;2,1;51,2
Avila;05109;0510901001;2023;6,3;21,5;19,9;2,2;50,2
Avila;05110;0511001001;2021;5,4;13,4;33,6;4,1;43,6
Avila;05110;0511001001;2022;4,7;12,7;33,6;3,9;45
Avila;05110;0511001001;2023;6,3;12,7;34,4;3,3;43,4
Avila;05112;0511201001;2021;3,4;14,7;25,6;3,4;52,9
Avila;05112;0511201001;2022;3,9;14,6;24,1;1,2;56,3
Avila;05112;0511201001;2023;3,4;13,9;21,4;1,3;60
Avila;05114;0511401001;2021;4,5;12,9;32;4,3;46,4
Avila;05114;0511401001;2022;5,4;11,5;33,5;3,4;46,2
Avila;05114;0511401001;2023;5,6;12,2;34,7;2,7;44,9
Avila;05114;0511402001;2021;5;11,6;25,2;4;54,2
Avila;05114;0511402001;2022;4,7;10,4;27,1;3,2;54,7
Avila;05114;0511402001;2023;4,6;9,9;28,3;3,4;53,7
Avila;05115;0511501001;2021;5,5;10,6;27;2,9;53,9
Avila;05115;0511501001;2022;6,7;10;28,3;2,3;52,7
Avila;05115;0511501001;2023;6,2;8,4;31,9;2,4;51,1
Avila;05117;0511701001;2021;2,3;27,7;31,8;2,5;35,7
Avila;05117;0511701001;2022;3,2;30,3;30,2;1,6;34,7
Avila;05117;0511701001;2023;3,5;27,2;31,8;1,6;36
