CUSEC;numero_bienes;superficie_media;antiguedad_media;dispersion_antiguedad;dispersion_superficie;viviendas_pre2000;viviendas_reformadas_2000;pct_reformado_2000;Seccion_id
2412301001;917;229,630;1961;0,020;0,590;819;106;12,940;1156
2412401001;298;261,238;1958;0,020;0,500;271;11;4,060;1157
2412501001;524;347,620;1948;0,020;0,490;480;83;17,290;1158
2412701001;233;321,670;1965;0,010;0,470;213;51;23,940;1159
2412901001;127;350,984;1952;0,010;0,540;119;19;15,970;1160
2413001001;550;146,118;1990;0,010;0,670;433;21;4,850;1161
2413101001;581;404,745;1956;0,020;0,450;541;159;29,390;1162
2413201001;924;292,977;1953;0,020;0,570;872;257;29,470;1163
2413301001;470;306,106;1956;0,010;0,600;451;86;19,070;1164
2413401001;663;142,857;1975;0,010;0,630;567;23;4,060;1165
2413401002;729;225,036;1960;0,020;0,590;598;164;27,420;1166
2413401003;966;137,289;1977;0,010;0,600;902;41;4,550;1167
2413601001;413;275,697;1966;0,010;0,500;372;63;16,940;1168
2413701001;1202;134,386;1961;0,010;0,740;1182;179;15,140;1169
2413901001;770;197,977;1949;0,020;0,690;678;136;20,060;1170
2413901002;1438;176,202;1976;0,020;0,710;1104;131;11,870;1171
2414101001;185;191,789;1962;0,020;0,460;156;46;29,490;1172
2414201001;1208;151,470;1995;0,010;0,620;497;21;4,230;1173
2414201002;1288;172,360;1991;0,010;0,590;635;46;7,240;1174
2414201003;1257;208,040;1987;0,010;0,520;619;72;11,630;1175
2414202001;1233;131,792;1990;0,010;0,510;807;22;2,730;1176
2414202002;1251;140,272;1994;0,010;0,520;615;39;6,340;1177
2414202003;740;123,784;1994;0,010;0,440;377;1;0,270;1178
2414202004;759;147,441;1991;0,010;0,480;471;9;1,910;1179
2414202005;743;130,919;1985;0,010;0,530;454;26;5,730;1180
2414202006;592;105,329;1978;0,010;0,650;520;8;1,540;1181
2414202007;800;104,812;1991;0,010;0,360;526;0;0,000;1182
2414202008;933;139,275;1993;0,010;0,570;488;15;3,070;1183
2414202009;844;161,872;1988;0,010;0,450;721;1;0,140;1184
2414202010;865;153,610;1996;0,010;0,690;345;7;2,030;1185
2414202011;715;116,190;1988;0,010;0,420;615;2;0,330;1186
2414202012;818;131,643;1996;0,000;0,320;537;1;0,190;1187
2414202013;693;148,446;1998;0,010;0,510;185;1;0,540;1188
2414203001;403;120,950;1972;0,000;0,510;393;8;2,040;1189
2414203002;785;91,797;1969;0,010;0,410;770;6;0,780;1190
2414203003;579;135,154;1986;0,010;0,670;494;2;0,400;1191
2414301001;411;237,730;1952;0,020;0,610;337;37;10,980;1192
2414401001;689;306,678;1954;0,020;0,490;639;49;7,670;1193
2414501001;737;288,030;1940;0,020;0,640;671;118;17,590;1194
2414601001;249;352,241;1954;0,020;0,550;231;37;16,020;1195
2414801001;558;302,296;1973;0,010;0,520;437;72;16,480;1196
2414801002;587;366,716;1966;0,010;0,510;497;127;25,550;1197
2414901001;120;249,442;1972;0,020;0,680;102;10;9,800;1198
2415001001;218;254,537;1953;0,010;0,550;212;25;11,790;1199
2415101001;615;313,472;1937;0,020;0,590;537;122;22,720;1200
2415201001;1233;194,721;1915;0,020;0,790;1163;160;13,760;1201
2415301001;250;328,952;1926;0,020;0,530;232;59;25,430;1202
2415401001;813;252,606;1967;0,020;0,530;711;104;14,630;1203
2415501001;362;404,713;1962;0,010;0,470;339;28;8,260;1204
2415601001;369;315,298;1956;0,020;0,540;343;57;16,620;1205
2415701001;1016;171,548;1981;0,010;0,660;736;97;13,180;1206
2415701002;1032;175,851;1987;0,010;0,690;720;57;7,920;1207
2415801001;495;294,317;1951;0,020;0,620;458;177;38,650;1208
2415901001;1339;313,081;1962;0,010;0,490;1202;303;25,210;1209
2416001001;894;270,782;1959;0,010;0,560;804;240;29,850;1210
2416101001;350;305,477;1959;0,020;0,570;293;99;33,790;1211
2416201001;1196;218,793;1981;0,010;0,570;904;61;6,750;3525
2416301001;735;251,495;1987;0,010;0,470;394;65;16,500;3472
2416301002;503;245,461;1995;0,010;0,340;354;17;4,800;1212
2416301003;786;281,957;1995;0,010;0,440;426;26;6,100;1213
2416301004;527;234,903;1989;0,010;0,510;277;36;13,000;3473
2416401001;427;233,084;1939;0,020;0,620;389;94;24,160;1214
2416501001;424;206,432;1925;0,020;0,640;399;79;19,800;3515
2416601001;1213;298,396;1970;0,020;0,510;1028;181;17,610;1215
2416701001;832;228,370;1947;0,020;0,700;754;81;10,740;1216
2416801001;370;280,362;1975;0,020;0,570;304;42;13,820;1217
2416901001;1082;151,831;1975;0,010;0,750;890;13;1,460;1218
2416901002;1360;161,707;1963;0,020;0,840;1307;44;3,370;1219
2416901003;839;111,393;1970;0,020;0,890;806;24;2,980;3477
2417001001;981;152,345;1954;0,010;0,590;940;84;8,940;1220
2417001002;725;189,106;1968;0,010;0,620;622;39;6,270;3482
2417101001;360;214,064;1912;0,020;0,670;350;28;8,000;3522
2417201001;980;145,782;1925;0,020;0,570;882;139;15,760;1221
2417301001;855;327,098;1964;0,020;0,540;752;104;13,830;1222
2417401001;418;283,124;1966;0,020;0,520;387;42;10,850;1223
2417501001;1675;268,910;1977;0,020;0,600;1176;186;15,820;3509
2417601001;182;371,764;1972;0,010;0,540;159;33;20,750;1224
2417701001;466;213,217;1951;0,020;0,560;408;43;10,540;1225
2417801001;79;231,557;1949;0,020;0,530;76;12;15,790;1226
2417901001;518;196,876;1943;0,020;0,590;477;41;8,600;3474
2418001001;1014;305,736;1952;0,020;0,560;909;288;31,680;1227
2418101001;536;167,496;1960;0,020;0,760;501;23;4,590;1228
2418101002;821;175,062;1979;0,020;0,730;725;7;0,970;1229
2418201001;475;331,642;1951;0,020;0,500;440;23;5,230;1230
2418301001;1293;203,090;1954;0,020;0,590;1177;216;18,350;1231
2418401001;308;181,873;1942;0,020;0,580;291;19;6,530;1232
2418501001;566;261,654;1960;0,020;0,660;519;132;25,430;1233
2418701001;925;235,182;1959;0,020;0,560;802;219;27,310;1234
2418801001;1415;156,107;1982;0,020;0,770;802;80;9,980;1235
2418801002;1289;151,472;1980;0,020;0,660;904;34;3,760;1236
2418801003;1482;149,694;1989;0,010;0,620;898;59;6,570;1237
2418901001;1388;218,327;1986;0,010;0,520;665;115;17,290;1238
2418901002;1057;130,997;1994;0,010;0,540;529;14;2,650;1239
2418901003;848;124,552;1989;0,010;0,630;494;75;15,180;1240
2418901004;342;174,705;1994;0,010;0,680;163;8;4,910;3526
2418901005;575;133,433;1999;0,010;0,520;238;6;2,520;1241
2419001001;155;338,568;1925;0,020;0,500;152;22;14,470;1242
2419101001;157;286,605;1931;0,020;0,530;147;42;28,570;1243
2419301001;587;199,414;1947;0,020;0,670;536;49;9,140;3475
2419401001;338;197,621;1941;0,020;0,620;284;62;21,830;1244
2419601001;1080;179,198;1975;0,010;0,650;978;111;11,350;1245
2419601002;908;196,863;1960;0,020;0,600;785;238;30,320;1246
2419701001;622;229,630;1968;0,020;0,550;474;83;17,510;1247
2419801001;697;220,626;1928;0,020;0,610;644;80;12,420;1248
2419901001;666;228,707;1943;0,020;0,570;578;132;22,840;1249
2420101001;1634;278,647;1965;0,020;0,650;1369;364;26,590;3507
2420201001;465;145,015;1964;0,010;0,670;462;15;3,250;1250
2420201002;667;147,748;1981;0,010;0,610;659;3;0,460;1251
2420201003;303;218,403;1961;0,020;0,640;261;25;9,580;1252
2420201004;517;130,089;1982;0,010;0,540;503;3;0,600;1253
2420201005;418;194,945;1959;0,020;0,700;392;86;21,940;1254
2420201006;776;161,407;1977;0,010;0,750;753;12;1,590;1255
2420202001;319;263,533;1947;0,020;0,550;299;34;11,370;1256
2420202002;703;158,994;1948;0,020;0,810;690;139;20,140;1257
2420203001;929;211,886;1956;0,020;0,670;855;135;15,790;1258
2420203002;372;192,336;1961;0,010;0,770;362;89;24,590;1259
2420301001;128;282,945;1944;0,020;0,620;112;23;20,540;1260
2420501001;844;259,733;1975;0,010;0,620;665;202;30,380;1261
2420601001;1415;207,921;1965;0,020;0,600;1220;150;12,300;3524
2420701001;304;268,095;1956;0,020;0,640;280;34;12,140;1262
2420901001;724;176,084;1966;0,020;0,750;572;51;8,920;3516
2420901002;1813;177,217;1947;0,020;0,720;1569;313;19,950;3517
2421001001;755;182,005;1948;0,010;0,620;708;128;18,080;1263
2421101001;291;281,718;1956;0,020;0,560;276;56;20,290;1264
2421201001;1117;199,268;1969;0,020;0,690;955;190;19,900;1265
2421301001;193;231,249;1938;0,020;0,570;174;18;10,340;1266
2421401001;697;287,271;1958;0,010;0,570;638;62;9,720;1267
2421501001;177;295,740;1950;0,020;0,530;165;34;20,610;1268
